year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1871,,,,,,,,
1872,21.092,1.363,,,,,,
1873,21.335,1.127,21.239,0.9600000000000001,,,,
1874,21.157999999999998,1.143,21.299,0.918,,,,
1875,21.538,1.1440000000000001,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,,,,,,,,
1883,,,,,,,,
1884,,,,,,,,
1885,,,,,,,,
1886,,,,,,,,
1887,21.423,1.139,,,,,,
1888,20.989,1.2309999999999999,21.256,0.839,21.243,0.742,,
1889,21.195,1.521,21.354,0.812,21.242,0.7290000000000001,,
1890,21.480999999999998,1.032,21.293,0.8360000000000001,21.242,0.748,,
1891,21.683,1.4609999999999999,21.302,0.805,21.266,0.738,21.32,0.656
1892,21.118,1.1400000000000001,21.313,0.823,21.335,0.7270000000000001,21.320999999999998,0.66
1893,21.035,1.029,21.294999999999998,0.808,21.352999999999998,0.7130000000000001,21.323,0.65
1894,21.246,1.173,21.204,0.859,21.314,0.73,21.336,0.632
1895,21.392,1.053,21.338,0.78,21.391,0.728,21.361,0.627
1896,21.227999999999998,1.092,21.384,0.769,21.355,0.7330000000000001,21.374,0.619
1897,21.791,1.279,21.419,0.777,21.383,0.7350000000000001,21.398,0.611
1898,21.264,1.044,21.48,0.796,21.404,0.728,21.391,0.601
1899,21.421,1.452,21.516,0.781,21.431,0.6890000000000001,21.396,0.593
1900,21.697,0.896,21.482,0.873,21.48,0.666,21.393,0.5960000000000001
1901,21.407999999999998,0.963,21.454,0.8180000000000001,21.483,0.646,21.346,0.589
1902,21.62,0.815,21.482,0.679,21.461,0.63,21.33,0.587
1903,21.125999999999998,0.8,21.455,0.724,21.429,0.611,21.346,0.589
1904,21.561,1.089,21.493,0.681,21.477,0.585,21.381,0.587
1905,21.561,0.877,21.418,0.7110000000000001,21.394,0.635,21.381999999999998,0.5760000000000001
1906,21.599,0.934,21.457,0.755,21.338,0.654,21.398,0.5680000000000001
1907,21.245,0.8480000000000001,21.38,0.7310000000000001,21.277,0.685,21.378999999999998,0.573
1908,21.317999999999998,0.8220000000000001,21.233,0.758,21.288999999999998,0.6819999999999999,21.381,0.575
