year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1883,,,,,,,,
1884,29.104000000000003,0.737,,,,,,
1885,28.871000000000002,0.769,29.118000000000002,0.611,,,,
1886,28.974,1.055,29.055,0.619,,,,
1887,29.26,0.821,,,,,,
1888,,,,,29.137,0.562,,
1889,,,,,29.053,0.6060000000000001,,
1890,,,,,29.074,0.648,,
1891,29.171,0.802,,,29.082,0.7010000000000001,29.169,0.571
1892,29.177,0.8540000000000001,28.968,0.8800000000000001,29.079,0.748,29.191000000000003,0.544
1893,28.48,1.481,28.929000000000002,0.974,29.089000000000002,0.766,29.214000000000002,0.491
1894,28.829,1.5590000000000002,28.908,1.103,29.097,0.821,29.236,0.452
1895,28.990000000000002,1.0170000000000001,28.928,1.078,29.106,0.8180000000000001,29.263,0.439
1896,29.065,0.9319999999999999,29.092000000000002,0.9450000000000001,29.149,0.771,29.278000000000002,0.45
1897,29.274,0.687,29.203,0.831,29.223000000000003,0.677,29.289,0.445
1898,29.3,0.8420000000000001,29.319000000000003,0.638,29.291,0.525,29.268,0.42600000000000005
1899,29.388,1.034,29.486,0.446,29.419,0.495,29.265,0.42400000000000004
1900,29.568,0.847,29.554000000000002,0.573,29.451,0.613,29.256,0.41900000000000004
1901,29.900000000000002,1.16,29.66,0.9890000000000001,29.474,0.681,29.255000000000003,0.41400000000000003
1902,29.614,1.206,29.679000000000002,1.2570000000000001,29.498,0.708,29.271,0.41300000000000003
1903,29.830000000000002,2.132,29.613,1.291,29.447000000000003,0.7250000000000001,29.290000000000003,0.42400000000000004
1904,29.483,1.216,29.513,1.102,29.433,0.795,29.327,0.452
1905,29.239,0.9990000000000001,29.379,0.873,29.407,0.802,29.346,0.472
1906,29.399,0.679,29.23,0.577,29.36,0.739,29.372,0.505
1907,28.947000000000003,0.8029999999999999,29.18,0.54,29.319000000000003,0.672,29.368000000000002,0.524
1908,,,29.177,0.541,29.290000000000003,0.5630000000000001,29.334,0.534
1909,29.233,0.879,29.136000000000003,0.554,29.234,0.487,29.332,0.5720000000000001
1910,29.221,0.718,29.252000000000002,0.5680000000000001,29.242,0.493,29.339000000000002,0.5720000000000001
1911,29.198,0.74,29.248,0.571,29.269000000000002,0.503,29.338,0.556
1912,29.524,0.7290000000000001,29.317,0.5780000000000001,29.238,0.465,29.316000000000003,0.528
1913,29.066000000000003,0.626,29.355,0.531,29.222,0.459,29.291,0.474
1914,29.576,0.522,29.376,0.509,29.232000000000003,0.445,29.267,0.467
1915,29.41,0.8760000000000001,29.225,0.45,29.271,0.458,29.265,0.47000000000000003
1916,29.304000000000002,0.601,29.192,0.484,29.316000000000003,0.535,29.263,0.447
1917,28.768,1.086,29.167,0.471,29.313000000000002,0.518,29.259,0.454
1918,28.899,0.622,29.241,0.501,29.291,0.505,29.311,0.465
1919,29.455000000000002,0.765,29.259,0.579,29.299,0.597,29.346,0.455
1920,29.778000000000002,1.5070000000000001,29.363,0.7350000000000001,29.289,0.554,29.364,0.462
1921,29.398,0.851,29.417,0.773,29.257,0.475,29.362000000000002,0.462
1922,29.286,0.5800000000000001,29.41,0.837,29.28,0.5630000000000001,29.365000000000002,0.464
1923,29.17,0.53,29.282,0.505,29.399,0.599,29.381,0.474
1924,29.419,1.022,29.256,0.499,29.46,0.583,29.392,0.481
