year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1853,,,,,,,,
1854,29.555,0.843,,,,,,
1855,29.377,0.941,,,,,,
1856,29.177,0.816,29.309,0.55,29.208,0.449,,
1857,,,29.285,0.5860000000000001,29.267,0.451,,
1858,29.549,1.0230000000000001,29.252,0.703,29.349,0.583,,
1859,29.432,0.831,29.22,0.755,29.313,0.592,,
1860,29.215,0.924,29.361,0.726,29.323999999999998,0.651,29.406,0.476
1861,29.012999999999998,0.948,29.384,0.749,29.393,0.652,29.448,0.499
1862,,,29.335,0.723,29.474,0.617,29.505,0.526
1863,,,29.453,0.728,29.517,0.605,29.551,0.558
1864,29.188,0.914,29.656,0.664,29.56,0.5840000000000001,29.558,0.546
1865,29.803,1.088,29.673,0.651,29.614,0.59,29.561,0.5409999999999999
1866,30.029,1.04,29.688,0.702,29.688,0.643,29.616,0.54
1867,29.685,0.97,29.847,0.728,29.744,0.657,29.668,0.532
1868,29.735,0.949,29.858999999999998,0.845,29.753,0.692,29.692,0.534
1869,29.982,1.2069999999999999,29.820999999999998,0.861,29.804,0.709,29.751,0.5329999999999999
1870,29.868,1.213,29.842,0.878,29.798,0.723,29.803,0.524
1871,29.837,1.029,29.876,0.876,29.838,0.727,29.825,0.52
1872,29.788,1.109,29.747,0.758,29.863,0.722,29.872,0.498
1873,29.904,0.9369999999999999,29.767,0.729,29.868,0.714,29.875,0.489
1874,29.34,0.899,29.878,0.747,29.942,0.719,29.904,0.49
1875,29.965,1.2639999999999998,29.834,0.737,29.992,0.647,29.9,0.497
1876,30.394,0.869,29.933,0.718,29.963,0.625,29.901,0.495
1877,29.567,0.797,30.214,0.795,30.0,0.5569999999999999,29.904,0.484
1878,30.397,0.8089999999999999,30.157,0.65,29.997,0.504,29.912,0.473
1879,30.745,0.779,30.066,0.486,30.005,0.482,29.921,0.458
1880,29.681,0.359,30.173,0.373,30.003,0.447,29.948999999999998,0.419
1881,29.939,0.645,30.055,0.37,29.963,0.4,29.947,0.417
1882,30.102,0.473,29.816,0.40199999999999997,29.944,0.368,29.964,0.40199999999999997
1883,29.807,0.651,29.835,0.472,29.956,0.397,29.958,0.366
1884,29.552,0.501,29.823999999999998,0.508,29.899,0.427,29.927,0.36
1885,29.776,0.652,29.764,0.52,29.905,0.429,29.938,0.35
1886,29.884,0.716,29.787,0.519,29.931,0.429,29.931,0.32899999999999996
1887,29.8,0.394,29.969,0.526,29.928,0.444,29.965,0.318
1888,29.922,0.5800000000000001,30.047,0.455,29.919999999999998,0.40399999999999997,29.994,0.315
1889,30.461,0.5780000000000001,29.998,0.369,29.849,0.364,29.966,0.319
1890,30.168,0.519,30.107,0.385,29.874,0.354,29.94,0.308
1891,29.64,0.5469999999999999,29.897,0.398,29.898,0.353,29.976,0.316
1892,30.345,0.679,29.802,0.362,29.986,0.33299999999999996,29.996,0.321
1893,28.871,0.407,29.712,0.368,30.032,0.32,29.999,0.309
1894,29.987,0.3,29.866,0.33899999999999997,30.033,0.28300000000000003,30.023,0.3
1895,29.717,0.499,29.953,0.27,29.976,0.272,30.035,0.311
1896,30.409,0.426,30.229,0.266,30.022,0.278,30.005,0.306
1897,30.782,0.426,30.173,0.29100000000000004,30.064,0.28700000000000003,30.012,0.295
1898,30.246,0.481,30.25,0.308,30.078,0.263,30.005,0.281
1899,29.711,0.492,30.279,0.314,30.198,0.28400000000000003,30.022,0.27
1900,30.101,0.567,30.153,0.356,30.195999999999998,0.314,29.999,0.26
1901,30.557,0.399,30.148,0.322,30.112,0.319,29.992,0.254
1902,30.151,0.516,30.177,0.33799999999999997,30.038,0.317,29.961,0.245
1903,30.219,0.5469999999999999,30.005,0.40299999999999997,29.977999999999998,0.313,29.957,0.254
1904,29.855999999999998,0.741,29.854,0.413,30.009999999999998,0.29100000000000004,29.979,0.274
1905,29.244,0.65,29.78,0.407,30.023,0.297,29.979,0.281
1906,29.801,0.399,29.811,0.366,29.963,0.28300000000000003,29.974999999999998,0.29000000000000004
1907,29.779,0.297,29.886,0.297,29.858,0.27,29.927,0.295
1908,30.376,0.357,29.979,0.245,29.836,0.29000000000000004,29.887999999999998,0.304
1909,30.232,0.32399999999999995,29.942,0.265,29.759999999999998,0.28500000000000003,29.867,0.294
1910,29.705,0.33099999999999996,29.908,0.273,29.762999999999998,0.276,29.88,0.293
