year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1833,,,,,,,,
1834,16.722,1.81,,,,,,
1835,16.854,1.4300000000000002,,,,,,
1836,,,,,,,,
1837,14.983,1.445,,,,,,
1838,14.068000000000001,1.546,,,,,,
1839,14.637,1.73,14.92,0.9550000000000001,,,,
1840,15.578,1.464,15.108,0.9550000000000001,,,,
1841,15.333,1.259,15.327,0.833,15.251000000000001,0.716,,
1842,15.927,1.308,15.55,0.76,15.249,0.729,,
1843,15.159,1.294,15.477,0.759,15.275,0.6950000000000001,,
1844,15.752,1.262,15.669,0.755,15.382,0.667,,
1845,15.215,1.262,15.452,0.747,15.318,0.655,,
1846,16.292,1.5630000000000002,15.406,0.7889999999999999,15.339,0.657,15.158,0.631
1847,14.842,1.289,15.271,0.8180000000000001,15.204,0.661,15.126000000000001,0.635
1848,14.931000000000001,1.472,15.183,0.8320000000000001,15.19,0.694,15.189,0.621
1849,15.077,1.352,14.937000000000001,0.774,15.144,0.7070000000000001,15.222,0.635
1850,14.774000000000001,1.302,14.905000000000001,0.8089999999999999,15.101,0.722,15.233,0.661
1851,15.059000000000001,1.291,14.943,0.782,15.064,0.734,15.246,0.663
1852,14.682,1.395,14.973,0.783,15.004,0.748,15.216000000000001,0.671
1853,15.124,1.421,15.023,0.8280000000000001,15.103,0.762,15.261000000000001,0.7
1854,15.225,1.349,15.111,0.8560000000000001,15.062000000000001,0.766,15.276,0.708
1855,15.026,1.461,15.14,0.841,15.149000000000001,0.7909999999999999,15.269,0.6739999999999999
1856,15.499,1.502,15.187000000000001,0.871,15.153,0.75,15.313,0.677
1857,14.826,1.367,15.241,0.923,15.228,0.757,15.341000000000001,0.69
1858,15.357000000000001,1.4260000000000002,15.277000000000001,0.968,15.333,0.825,15.434000000000001,0.729
1859,15.497,1.3880000000000001,15.206,0.911,15.408,0.8560000000000001,15.491,0.76
1860,15.206,1.365,15.459,0.9410000000000001,15.437000000000001,0.9390000000000001,15.572000000000001,0.8300000000000001
1861,15.143,1.4200000000000002,15.631,1.11,15.562000000000001,0.944,15.593,0.893
1862,16.089,1.5490000000000002,15.58,1.066,15.677,0.901,15.629,0.9490000000000001
1863,16.22,2.084,15.709,1.134,15.765,1.0,15.716000000000001,1.047
1864,15.242,1.333,15.983,1.107,15.921000000000001,1.079,15.784,1.034
1865,15.853,1.697,16.052,1.162,15.995000000000001,1.134,15.817,1.063
1866,16.51,1.351,16.073,1.233,16.033,1.31,15.843,1.092
1867,16.435,1.552,16.330000000000002,1.4360000000000002,16.031,1.399,15.868,1.074
1868,16.323,1.893,16.299,1.6440000000000001,16.1,1.413,15.886000000000001,1.093
1869,16.53,2.179,16.124,1.829,16.159,1.3900000000000001,15.955,1.112
1870,15.699,2.5,16.055,1.822,16.197,1.3760000000000001,15.941,1.115
1871,15.631,1.897,16.177,1.639,16.124,1.397,15.992,1.133
1872,16.091,1.675,15.995000000000001,1.508,16.059,1.405,15.976,1.148
1873,16.935,1.5330000000000001,16.056,1.304,16.008,1.344,15.965,1.137
1874,15.620000000000001,1.5030000000000001,16.049,1.21,15.989,1.3,15.984,1.088
1875,16.002,1.447,15.973,1.099,15.888,1.226,15.979000000000001,1.07
