year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1886,,,,,,,,
1887,29.8,0.685,,,,,,
1888,29.965,0.587,,,,,,
1889,,,30.062,0.447,,,,
1890,,,,,,,,
1891,30.013,0.6519999999999999,,,,,,
1892,,,,,,,,
1893,,,,,,,,
1894,30.114,0.635,,,,,,
1895,,,,,,,,
1896,,,,,,,,
1897,,,,,,,,
1898,,,,,,,,
1899,29.988000000000003,0.7210000000000001,,,,,,
1900,30.388,0.645,30.272000000000002,0.46499999999999997,,,30.098000000000003,0.32799999999999996
1901,30.484,0.6599999999999999,30.244,0.46399999999999997,30.183,0.398,30.087,0.319
1902,30.305,0.637,30.225,0.441,30.204,0.399,30.080000000000002,0.317
1903,30.053,0.6950000000000001,30.188000000000002,0.439,30.169,0.397,30.098000000000003,0.315
1904,29.894000000000002,0.594,30.153000000000002,0.447,30.155,0.393,30.113000000000003,0.316
1905,30.205000000000002,0.635,30.103,0.431,30.157,0.384,30.125,0.317
1906,30.310000000000002,0.6819999999999999,30.075000000000003,0.429,30.092000000000002,0.377,30.158,0.315
1907,30.051000000000002,0.596,30.094,0.438,30.040000000000003,0.376,30.158,0.318
1908,29.917,0.5740000000000001,30.079,0.427,30.035,0.376,30.133000000000003,0.319
1909,29.989,0.629,29.970000000000002,0.431,30.078000000000003,0.379,30.118000000000002,0.317
1910,30.127000000000002,0.622,29.98,0.425,30.073,0.38,30.113000000000003,0.312
1911,29.768,0.625,30.03,0.427,30.133000000000003,0.382,30.094,0.313
1912,30.098000000000003,0.612,30.081000000000003,0.423,30.113000000000003,0.394,30.083000000000002,0.312
1913,30.166,0.602,30.125,0.431,30.098000000000003,0.395,30.077,0.314
1914,30.246000000000002,0.579,30.290000000000003,0.46499999999999997,30.082,0.393,30.087,0.317
1915,30.35,0.619,30.236,0.47,30.07,0.384,30.080000000000002,0.312
1916,30.591,0.7809999999999999,30.151,0.469,30.097,0.397,30.081000000000003,0.313
1917,29.827,0.7150000000000001,30.093,0.456,30.126,0.394,30.082,0.311
1918,29.741,0.645,30.021,0.448,30.12,0.394,30.094,0.305
1919,29.958000000000002,0.595,29.941000000000003,0.458,30.095000000000002,0.394,30.117,0.301
1920,29.987000000000002,0.669,30.001,0.444,30.087,0.379,30.111,0.294
1921,30.194000000000003,0.593,30.057000000000002,0.455,30.03,0.382,30.142000000000003,0.298
1922,30.127000000000002,0.588,30.1,0.446,30.051000000000002,0.371,30.163,0.295
1923,30.019000000000002,0.595,30.109,0.43,30.091,0.352,30.181,0.289
1924,30.175,0.5329999999999999,30.115000000000002,0.395,30.151,0.33299999999999996,30.17,0.287
1925,30.029,0.457,30.121000000000002,0.35,30.153000000000002,0.316,30.182000000000002,0.28
1926,30.225,0.391,30.206000000000003,0.292,30.187,0.299,30.152,0.283
1927,30.156000000000002,0.33599999999999997,30.182000000000002,0.289,30.200000000000003,0.288,30.161,0.281
1928,30.445,0.449,30.248,0.292,30.242,0.278,30.195,0.275
1929,30.053,0.377,30.277,0.31,30.245,0.27,30.228,0.272
1930,30.358,0.347,30.328000000000003,0.314,30.277,0.264,30.233,0.27
1931,30.371000000000002,0.386,30.288,0.298,30.274,0.286,30.261000000000003,0.269
1932,30.415000000000003,0.355,30.314,0.297,30.270000000000003,0.295,30.279,0.274
1933,30.245,0.319,30.316000000000003,0.315,30.299000000000003,0.304,30.3,0.282
1934,30.179000000000002,0.441,30.265,0.33099999999999996,30.305,0.313,30.3,0.297
1935,30.372,0.5549999999999999,30.226000000000003,0.375,30.314,0.32799999999999996,30.339000000000002,0.301
1936,30.115000000000002,0.637,30.284000000000002,0.401,30.336000000000002,0.33599999999999997,30.362000000000002,0.316
1937,30.219,0.645,30.309,0.442,30.358,0.354,30.371000000000002,0.318
1938,30.533,0.5700000000000001,30.355,0.445,30.359,0.373,30.371000000000002,0.315
1939,30.305,0.575,30.42,0.44,30.355,0.399,30.392000000000003,0.303
1940,30.602,0.5820000000000001,30.457,0.44,30.401,0.41300000000000003,30.401,0.303
1941,30.441000000000003,0.616,30.44,0.46699999999999997,30.450000000000003,0.418,30.403000000000002,0.3
1942,30.402,0.59,30.449,0.475,30.472,0.416,30.398,0.302
1943,30.447000000000003,0.728,30.468,0.483,30.442,0.398,30.395000000000003,0.3
1944,30.355,0.532,30.505000000000003,0.481,30.48,0.38,30.416,0.301
1945,30.695,0.523,30.493000000000002,0.447,30.488000000000003,0.372,30.429000000000002,0.303
