year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1853,29.353,1.9060000000000001,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,29.612,1.6229999999999998,,,,,,
1857,,,,,,,,
1858,28.813,1.7799999999999998,29.091,1.197,,,,
1859,29.083,1.397,29.026,1.258,,,,
1860,29.162,1.4089999999999998,29.217,1.206,29.228,1.057,,
1861,29.286,1.6509999999999998,29.355,1.222,29.288,1.056,29.305,0.978
1862,,,29.318,1.143,29.248,1.063,29.37,0.9989999999999999
1863,,,,,29.326999999999998,1.0979999999999999,29.445,1.034
1864,28.896,1.2799999999999998,,,29.389,1.0859999999999999,29.444,1.019
1865,29.777,1.337,29.35,1.092,29.514,1.08,29.451999999999998,1.018
1866,29.341,1.573,29.341,1.302,29.539,1.1440000000000001,29.496,1.001
1867,29.233,1.7199999999999998,29.64,1.285,29.570999999999998,1.164,29.514,0.974
1868,29.461,2.12,29.621,1.419,29.616,1.184,29.587,0.969
1869,30.386,1.8159999999999998,29.691,1.4649999999999999,29.643,1.1669999999999998,29.669999999999998,0.962
1870,29.683,1.8199999999999998,29.831,1.4049999999999998,29.676,1.177,29.683,0.967
1871,29.693,1.5859999999999999,29.936,1.3639999999999999,29.703,1.131,29.701,0.952
1872,29.93,1.617,29.725,1.192,29.779,1.097,29.701,0.9359999999999999
1873,29.988,1.366,29.775,1.0979999999999999,29.847,1.059,29.675,0.919
1874,29.329,1.3159999999999998,29.778,1.0819999999999999,29.95,1.072,29.698,0.9039999999999999
1875,29.934,1.3359999999999999,29.791999999999998,0.994,29.852,1.001,29.689,0.907
1876,29.709,1.362,29.908,0.959,29.863,0.9369999999999999,29.673,0.8919999999999999
1877,29.998,1.1829999999999998,30.043,0.984,29.83,0.883,29.736,0.8719999999999999
1878,30.570999999999998,1.278,29.924,0.96,29.733999999999998,0.8079999999999999,29.759,0.831
1879,30.001,1.552,29.943,0.905,29.752,0.7929999999999999,29.769,0.823
1880,29.34,1.3479999999999999,29.773,0.864,29.701999999999998,0.8099999999999999,29.754,0.788
1881,29.805,1.229,29.570999999999998,0.8779999999999999,29.643,0.8119999999999999,29.762999999999998,0.768
1882,29.149,1.2389999999999999,29.43,0.8759999999999999,29.694,0.816,29.732,0.7829999999999999
1883,29.557,1.293,29.399,0.98,29.671,0.814,29.708,0.751
1884,29.3,1.334,29.415,1.009,29.587,0.831,29.694,0.772
1885,29.181,1.305,29.567,0.911,29.657,0.879,29.676,0.7789999999999999
1886,29.89,1.206,29.634,0.8719999999999999,29.664,0.856,29.663,0.7749999999999999
1887,29.907,1.573,29.823999999999998,0.992,29.634,0.87,29.659,0.7769999999999999
1888,29.892,1.162,29.944,1.0779999999999998,29.683,0.854,29.646,0.7809999999999999
1889,30.249,1.6,29.836,1.1179999999999999,29.634999999999998,0.864,29.592,0.7789999999999999
1890,29.783,1.186,29.788,0.961,29.65,0.8899999999999999,29.59,0.79
