year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1853,28.376,1.849,,,,,,
1854,,,,,,,,
1855,,,28.494,0.873,,,,
1856,29.089000000000002,1.554,28.304000000000002,0.859,28.127000000000002,0.8160000000000001,,
1857,28.153000000000002,1.494,28.202,0.929,28.255000000000003,0.768,,
1858,27.427000000000003,1.729,28.139000000000003,1.065,28.373,0.915,,
1859,28.018,1.154,28.003,1.19,28.347,0.914,28.25,0.871
1860,28.01,1.3410000000000002,28.192,1.1099999999999999,28.228,0.8320000000000001,28.343,0.932
1861,28.407,1.602,28.42,1.104,28.302000000000003,0.8300000000000001,28.388,0.994
1862,,,28.309,0.96,28.191000000000003,0.982,28.481,1.04
1863,,,28.395000000000003,0.9710000000000001,28.306,1.06,28.558,1.0590000000000002
1864,27.461000000000002,1.7690000000000001,28.484,0.8600000000000001,28.406000000000002,1.045,28.569000000000003,1.064
1865,28.44,1.731,28.253,1.153,28.560000000000002,1.09,28.603,1.066
1866,28.852,2.785,28.277,1.3980000000000001,28.650000000000002,1.211,28.642000000000003,1.045
1867,27.944000000000003,2.448,28.698,1.479,28.708000000000002,1.287,28.625,1.017
1868,28.688000000000002,2.355,28.8,1.79,28.742,1.3599999999999999,28.694000000000003,1.01
1869,29.563000000000002,1.997,28.951,1.817,28.790000000000003,1.363,28.755000000000003,0.999
1870,28.953000000000003,2.2720000000000002,29.185000000000002,1.7670000000000001,28.978,1.463,28.774,1.002
1871,29.608,2.035,29.265,1.746,28.983,1.405,28.811,0.992
1872,29.114,2.032,29.176000000000002,1.587,29.059,1.346,28.810000000000002,0.9730000000000001
1873,29.086000000000002,1.571,29.220000000000002,1.4380000000000002,29.082,1.276,28.791,0.9610000000000001
1874,29.117,1.37,29.047,1.365,29.105,1.248,28.828000000000003,0.936
1875,29.173000000000002,1.384,28.971,1.163,28.988000000000003,1.121,28.886000000000003,0.962
1876,28.747,1.707,29.003,1.058,28.973000000000003,1.061,28.857000000000003,0.944
1877,28.73,0.9610000000000001,28.856,1.074,28.913,0.9670000000000001,28.915000000000003,0.927
1878,29.247,0.917,28.776,1.005,28.84,0.835,28.929000000000002,0.902
1879,28.383000000000003,1.361,28.78,0.837,28.865000000000002,0.829,28.934,0.876
1880,28.774,0.968,28.809,0.797,28.794,0.8700000000000001,28.902,0.793
1881,28.764000000000003,1.328,28.718,0.803,28.732000000000003,0.774,28.898000000000003,0.786
1882,28.875,1.169,28.781000000000002,0.9690000000000001,28.771,0.777,28.862000000000002,0.769
1883,28.795,1.1800000000000002,28.739,1.0390000000000001,28.776,0.796,28.817,0.716
1884,28.695,1.1880000000000002,28.745,0.988,28.763,0.831,28.817,0.757
1885,28.565,0.9770000000000001,28.770000000000003,0.867,28.816000000000003,0.881,28.778000000000002,0.767
1886,28.794,1.056,28.773000000000003,0.835,28.824,0.823,28.746000000000002,0.747
