year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,23.208,1.396,,,,,,
1860,23.18,1.388,,,,,,
1861,23.108999999999998,1.367,,,,,,
1862,,,,,,,,
1863,,,,,23.569,0.9690000000000001,,
1864,,,,,23.646,0.984,,
1865,24.407999999999998,1.66,,,23.711,1.01,,
1866,23.929,1.163,23.811999999999998,1.059,23.758,1.087,23.617,0.9570000000000001
1867,23.857,1.282,23.983999999999998,1.209,23.804,1.119,23.647,0.938
1868,23.863,1.545,23.837999999999997,1.28,23.829,1.135,23.685,0.935
1869,23.861,1.9189999999999998,23.836,1.3739999999999999,23.9,1.137,23.758,0.931
1870,23.68,1.867,23.835,1.386,23.837,1.059,23.782999999999998,0.923
1871,23.919,1.4169999999999998,23.923,1.274,23.816,1.078,23.81,0.931
1872,23.852999999999998,1.4669999999999999,23.768,1.181,23.79,1.08,23.785,1.011
1873,24.304,1.4349999999999998,23.823,1.082,23.801,1.053,23.753,1.029
1874,23.082,1.524,23.765,1.06,23.871,1.019,23.817,0.962
1875,23.955,1.343,23.75,0.996,23.855,0.97,23.767,0.931
1876,23.631,1.323,23.698,1.005,23.861,0.931,23.791,0.938
1877,23.776999999999997,1.277,23.961,0.9690000000000001,23.767,0.9969999999999999,23.791,0.937
1878,24.043,1.464,23.907,0.9550000000000001,23.677,1.012,23.823,0.925
1879,24.4,1.2269999999999999,23.837,1.059,23.733999999999998,0.873,23.835,0.9139999999999999
1880,23.685,1.192,23.605999999999998,1.324,23.695999999999998,0.867,23.849,0.8839999999999999
1881,23.279999999999998,2.369,23.634,1.1219999999999999,23.767,0.854,23.871,0.874
1882,22.621,2.351,23.544,0.935,23.793,0.857,23.878999999999998,0.861
1883,24.183999999999997,1.5499999999999998,23.570999999999998,0.8799999999999999,23.845,0.895,23.869999999999997,0.835
1884,23.951,1.283,23.775,0.792,23.798,0.9099999999999999,23.846999999999998,0.808
1885,23.820999999999998,0.903,23.991,0.996,23.843,0.9079999999999999,23.846999999999998,0.8009999999999999
1886,24.3,1.147,24.066,0.962,23.881,0.9530000000000001,23.837,0.7689999999999999
1887,23.701,1.4429999999999998,24.122,1.09,23.991,0.9079999999999999,23.839,0.754
1888,24.557,1.177,24.189,1.1099999999999999,24.063,0.887,23.782999999999998,0.748
1889,24.233999999999998,1.282,24.122999999999998,1.057,23.96,0.854,23.750999999999998,0.715
1890,24.153,1.067,24.179,0.935,23.997,0.84,23.756,0.685
1891,23.968999999999998,0.9690000000000001,23.930999999999997,0.802,23.907999999999998,0.788,23.756999999999998,0.667
1892,23.983999999999998,0.996,23.766,0.681,23.886,0.74,23.867,0.651
1893,23.314,0.702,23.715,0.626,23.721,0.6619999999999999,23.907999999999998,0.6579999999999999
1894,23.410999999999998,0.7889999999999999,23.529999999999998,0.58,23.703,0.568,23.881,0.6499999999999999
1895,23.897,0.7,23.503999999999998,0.636,23.668,0.532,23.901999999999997,0.645
1896,23.046,0.723,23.454,0.609,23.634,0.564,23.878,0.627
1897,23.849999999999998,0.9530000000000001,23.602999999999998,0.585,23.743,0.548,23.862,0.615
1898,23.066,0.734,23.578,0.701,23.753,0.593,23.779,0.565
1899,24.154,1.1119999999999999,23.884999999999998,0.717,23.803,0.603,23.727,0.5539999999999999
1900,23.772,1.318,24.019,0.78,23.808,0.583,23.730999999999998,0.5579999999999999
1901,24.585,0.899,24.189,0.762,23.848,0.589,23.692999999999998,0.563
1902,24.518,0.7589999999999999,24.102999999999998,0.628,23.837,0.582,23.665,0.577
1903,23.915,1.093,24.041999999999998,0.7609999999999999,23.837999999999997,0.617,23.641,0.622
1904,23.724,0.9079999999999999,23.881,0.784,23.750999999999998,0.61,23.647,0.632
1905,23.468999999999998,1.187,23.628999999999998,0.748,23.793,0.618,23.644,0.636
1906,23.776999999999997,0.724,23.457,0.617,23.752,0.609,23.675,0.673
1907,23.262,0.7829999999999999,23.422,0.635,23.586,0.6499999999999999,23.712999999999997,0.675
1908,23.051,0.925,23.502,0.7609999999999999,23.528,0.6759999999999999,23.776,0.679
1909,23.549,0.885,23.335,0.862,23.491,0.687,23.77,0.6639999999999999
1910,23.872,0.978,23.465,0.956,23.48,0.7769999999999999,23.758,0.653
