year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1833,,,,,,,,
1834,13.088999999999999,1.956,,,,,,
1835,13.046,1.183,,,,,,
1836,,,,,,,,
1837,10.915999999999999,1.211,,,,,,
1838,10.351999999999999,1.493,,,,,,
1839,11.174,1.891,11.046999999999999,1.077,,,,
1840,11.725999999999999,1.365,11.286999999999999,1.09,,,,
1841,11.068,0.8320000000000001,11.508,0.8720000000000001,11.273,0.754,,
1842,12.113,1.009,11.59,0.716,11.303999999999998,0.796,,
1843,11.457999999999998,0.875,11.299,0.729,11.363,0.75,,
1844,11.587,0.7929999999999999,11.642,0.7050000000000001,11.511999999999999,0.6799999999999999,,
1845,10.268999999999998,0.8859999999999999,11.447,0.698,11.434999999999999,0.653,,
1846,12.780999999999999,1.454,11.481,0.8620000000000001,11.523,0.648,11.325,0.677
1847,11.142,0.915,11.513,0.9319999999999999,11.431,0.647,11.299,0.6930000000000001
1848,11.626,1.429,11.66,0.8839999999999999,11.479999999999999,0.716,11.405999999999999,0.671
1849,11.745,1.214,11.338,0.7909999999999999,11.353,0.704,11.44,0.7110000000000001
1850,11.004999999999999,0.9770000000000001,11.395999999999999,0.843,11.411999999999999,0.752,11.482999999999999,0.748
1851,11.17,0.958,11.367999999999999,0.808,11.376999999999999,0.769,11.459999999999999,0.763
1852,11.434999999999999,1.097,11.258999999999999,0.744,11.293999999999999,0.8140000000000001,11.471,0.768
1853,11.482,1.774,11.175999999999998,0.77,11.449,0.8520000000000001,11.516,0.8280000000000001
1854,11.202,1.116,11.238,0.825,11.367999999999999,0.8799999999999999,11.556999999999999,0.849
1855,10.591,1.318,11.267999999999999,0.9390000000000001,11.53,0.9179999999999999,11.559,0.766
1856,11.478,1.094,11.362,1.044,11.396999999999998,0.861,11.651,0.7809999999999999
1857,11.584,1.633,11.62,1.157,11.511999999999999,0.869,11.66,0.817
1858,11.953999999999999,1.83,11.770999999999999,1.309,11.552,1.024,11.724,0.871
1859,12.495,1.446,11.677999999999999,1.305,11.761,1.107,11.787999999999998,0.903
1860,11.343,1.138,11.879,1.221,11.705,1.204,11.851999999999999,0.9890000000000001
1861,11.014,1.238,12.011999999999999,1.355,11.924,1.23,11.815,1.049
1862,12.59,1.5210000000000001,11.864999999999998,1.311,12.027,1.184,11.815,1.12
