year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1846,,,,,,,,
1847,28.455000000000002,0.78,,,,,,
1848,28.55,0.933,,,,,,
1849,28.365000000000002,0.764,,,,,,
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,28.999000000000002,1.786,,,,,,
1854,29.201,0.851,28.982,0.5489999999999999,,,28.933,0.506
1855,29.044,1.042,29.163,0.618,28.828,0.565,28.878,0.499
1856,29.706,1.314,29.001,0.624,28.841,0.5509999999999999,28.904,0.504
1857,28.863,1.176,28.904,0.707,28.959,0.515,28.864,0.526
1858,28.188000000000002,1.563,28.862000000000002,0.8859999999999999,29.069000000000003,0.7,28.929000000000002,0.573
1859,28.720000000000002,0.942,28.755000000000003,1.007,29.049,0.7010000000000001,28.978,0.584
1860,28.831,1.007,28.91,0.9239999999999999,28.983,0.661,29.068,0.665
1861,29.173000000000002,1.294,29.122,0.905,29.038,0.667,29.11,0.728
1862,29.638,1.188,29.071,0.761,28.943,0.76,29.209,0.794
1863,29.248,1.3880000000000001,29.173000000000002,0.663,29.048000000000002,0.7809999999999999,29.3,0.8280000000000001
1864,28.465,1.276,29.209,0.6659999999999999,29.165,0.751,29.325,0.8340000000000001
1865,29.34,1.153,29.026,0.8580000000000001,29.308,0.8220000000000001,29.359,0.8420000000000001
1866,29.353,2.041,29.093,0.99,29.378,0.9570000000000001,29.396,0.831
1867,28.722,1.768,29.443,1.1219999999999999,29.458000000000002,1.048,29.385,0.8049999999999999
1868,29.585,1.778,29.508,1.4000000000000001,29.53,1.154,29.456,0.774
1869,30.216,1.714,29.665,1.491,29.602,1.163,29.52,0.754
1870,29.662000000000003,2.058,29.931,1.58,29.736,1.2409999999999999,29.532,0.75
1871,30.139,1.678,30.029,1.565,29.754,1.215,29.549,0.749
1872,30.052,1.911,29.987000000000002,1.465,29.827,1.162,29.543,0.735
1873,30.075,1.303,30.037000000000003,1.333,29.864,1.062,29.524,0.727
1874,30.006,1.373,29.853,1.194,29.875,0.988,29.536,0.6970000000000001
1875,29.911,1.319,29.761,0.931,29.757,0.8739999999999999,29.558,0.6990000000000001
1876,29.224,1.259,29.762,0.802,29.719,0.7929999999999999,29.547,0.675
1877,29.592000000000002,0.737,29.611,0.8009999999999999,29.627000000000002,0.692,29.595000000000002,0.6539999999999999
1878,30.080000000000002,1.076,29.448,0.798,29.517,0.594,29.603,0.624
1879,29.251,1.07,29.481,0.731,29.471,0.5700000000000001,29.602,0.593
1880,29.096,0.948,29.403000000000002,0.667,29.381,0.5800000000000001,29.584,0.531
1881,29.385,0.8759999999999999,29.251,0.592,29.341,0.546,29.577,0.512
1882,29.206,0.721,29.213,0.55,29.363,0.548,29.545,0.508
1883,29.32,0.8420000000000001,29.249000000000002,0.61,29.342000000000002,0.512,29.486,0.483
1884,29.057000000000002,0.812,29.273,0.609,29.329,0.517,29.459,0.503
1885,29.279,0.77,29.330000000000002,0.536,29.411,0.596,29.419,0.511
1886,29.505000000000003,0.927,29.372,0.521,29.434,0.5429999999999999,29.388,0.523
1887,29.490000000000002,1.18,29.555,0.6930000000000001,29.462,0.5589999999999999,29.394000000000002,0.529
1888,29.531000000000002,0.594,29.617,0.736,29.454,0.554,29.383,0.51
1889,29.971,1.22,29.618000000000002,0.724,29.447,0.5569999999999999,29.351,0.508
1890,29.591,0.759,29.622,0.655,29.458000000000002,0.5760000000000001,29.342000000000002,0.536
1891,29.508,0.8360000000000001,29.527,0.6950000000000001,29.436,0.611,29.339000000000002,0.516
1892,29.508,0.8919999999999999,29.373,0.618,29.426000000000002,0.593,29.343,0.512
1893,29.054000000000002,0.792,29.265,0.628,29.423000000000002,0.598,29.364,0.494
1894,29.201,0.723,29.225,0.629,29.373,0.593,29.377000000000002,0.483
1895,29.052,0.788,29.239,0.617,29.272000000000002,0.581,29.387,0.498
1896,29.311,0.5409999999999999,29.299,0.582,29.245,0.5760000000000001,29.408,0.512
1897,29.575,0.6859999999999999,29.256,0.626,29.223000000000003,0.615,29.397000000000002,0.509
1898,29.357,0.751,29.228,0.6439999999999999,29.273,0.5349999999999999,29.400000000000002,0.521
1899,28.984,1.05,29.275000000000002,0.6459999999999999,29.308,0.509,29.395,0.512
1900,28.912,0.786,29.236,0.642,29.316000000000003,0.523,29.365000000000002,0.497
1901,29.546,0.733,29.315,0.5369999999999999,29.380000000000003,0.514,29.347,0.483
1902,29.381,0.637,29.351,0.515,29.369,0.496,29.35,0.472
1903,29.754,0.873,29.468,0.584,29.377000000000002,0.518,29.381,0.45499999999999996
1904,29.163,0.7929999999999999,29.506,0.5349999999999999,29.417,0.486,29.379,0.45299999999999996
1905,29.497,0.8320000000000001,29.495,0.558,29.457,0.517,29.402,0.45499999999999996
1906,29.737000000000002,0.647,29.488,0.527,29.449,0.518,29.427,0.45799999999999996
1907,29.324,0.798,29.527,0.604,29.476,0.502,29.42,0.45499999999999996
1908,29.719,0.659,29.452,0.587,29.490000000000002,0.497,29.407,0.45799999999999996
1909,29.358,0.599,29.377000000000002,0.604,29.45,0.51,29.431,0.44799999999999995
1910,29.119,0.624,29.488,0.531,29.488,0.527,29.478,0.45099999999999996
1911,29.363,0.768,29.41,0.503,29.475,0.544,29.504,0.45799999999999996
1912,29.882,0.411,29.378,0.501,29.470000000000002,0.522,29.513,0.44
1913,29.329,0.579,29.51,0.527,29.437,0.484,29.506,0.427
1914,29.198,0.753,29.563000000000002,0.546,29.445,0.45999999999999996,29.522000000000002,0.429
1915,29.775000000000002,0.734,29.442,0.563,29.5,0.44899999999999995,29.551000000000002,0.44399999999999995
1916,29.631,0.755,29.444000000000003,0.519,29.558,0.45899999999999996,29.544,0.429
1917,29.279,0.516,29.543,0.485,29.551000000000002,0.46299999999999997,29.57,0.414
1918,29.339000000000002,0.5529999999999999,29.539,0.432,29.523,0.45599999999999996,29.581,0.40199999999999997
1919,29.693,0.606,29.543,0.395,29.595000000000002,0.45899999999999996,29.589000000000002,0.4
1920,29.753,0.5589999999999999,29.591,0.426,29.614,0.45099999999999996,29.604,0.40199999999999997
1921,29.653000000000002,0.504,29.636,0.492,29.614,0.439,29.636,0.398
1922,29.519000000000002,0.653,29.71,0.527,29.669,0.436,29.645,0.394
1923,29.565,0.825,29.676000000000002,0.523,29.725,0.426,29.655,0.389
1924,30.060000000000002,0.512,29.743000000000002,0.509,29.734,0.412,29.681,0.389
1925,29.583000000000002,0.49,29.77,0.46299999999999997,29.708000000000002,0.411,29.677,0.38
1926,29.990000000000002,0.46199999999999997,29.828,0.375,29.714000000000002,0.42,29.666,0.377
1927,29.654,0.474,29.727,0.377,29.739,0.398,29.681,0.38
1928,29.855,0.5640000000000001,29.726,0.383,29.787000000000003,0.386,29.704,0.374
1929,29.555,0.505,29.717000000000002,0.395,29.766000000000002,0.386,29.696,0.374
1930,29.576,0.512,29.761,0.417,29.739,0.383,29.686,0.367
1931,29.944000000000003,0.5640000000000001,29.75,0.45199999999999996,29.719,0.372,29.692,0.362
1932,29.875,0.525,29.745,0.424,29.693,0.369,29.722,0.348
1933,29.801000000000002,0.519,29.746000000000002,0.387,29.684,0.385,29.756,0.33599999999999997
1934,29.532,0.48,29.678,0.393,29.658,0.377,29.757,0.33299999999999996
1935,29.580000000000002,0.615,29.633,0.422,29.664,0.356,29.757,0.33599999999999997
1936,29.601,0.573,29.563000000000002,0.44799999999999995,29.671,0.349,29.756,0.33899999999999997
1937,29.653000000000002,0.496,29.549,0.40499999999999997,29.706,0.344,29.745,0.33099999999999996
1938,29.447,0.606,29.606,0.374,29.725,0.354,29.756,0.33899999999999997
1939,29.466,0.639,29.689,0.389,29.748,0.363,29.768,0.35
1940,29.865000000000002,0.475,29.819000000000003,0.436,29.775000000000002,0.361,29.77,0.355
1941,30.013,0.486,29.887,0.46799999999999997,29.794,0.392,29.742,0.356
1942,30.305,0.526,30.003,0.422,29.797,0.391,29.733,0.359
1943,29.785,0.44599999999999995,29.962,0.417,29.829,0.413,29.734,0.364
1944,30.047,0.413,29.884,0.42,29.879,0.424,29.759,0.371
1945,29.661,0.46699999999999997,29.784000000000002,0.393,29.876,0.417,29.764,0.369
1946,29.621000000000002,0.483,29.833000000000002,0.414,29.814,0.409,29.754,0.37
1947,29.804000000000002,0.833,29.785,0.486,29.76,0.392,29.739,0.388
1948,30.031000000000002,0.54,29.708000000000002,0.5,29.744,0.389,29.749000000000002,0.391
1949,29.809,0.603,29.668,0.498,29.77,0.398,29.778000000000002,0.391
1950,29.275000000000002,0.477,29.695,0.424,29.753,0.40199999999999997,29.793,0.389
1951,29.421,0.429,29.687,0.395,29.714000000000002,0.408,29.792,0.389
1952,29.938000000000002,0.506,29.729,0.436,29.681,0.429,29.766000000000002,0.39
1953,29.991,0.499,29.743000000000002,0.407,29.668,0.43,29.749000000000002,0.392
1954,30.02,0.601,29.716,0.437,29.677,0.426,29.747,0.398
1955,29.345000000000002,0.429,29.668,0.516,29.711000000000002,0.438,29.738,0.40399999999999997
1956,29.285,0.663,29.651,0.492,29.77,0.43,29.726,0.401
1957,29.7,0.677,29.648,0.44799999999999995,29.771,0.44999999999999996,29.715,0.40199999999999997
1958,29.903000000000002,0.504,29.775000000000002,0.469,29.753,0.44999999999999996,29.689,0.40499999999999997
1959,30.007,0.40599999999999997,29.876,0.434,29.724,0.437,29.67,0.40199999999999997
1960,29.979,0.46299999999999997,29.864,0.419,29.723000000000003,0.437,29.694000000000003,0.40399999999999997
1961,29.79,0.439,29.834,0.413,29.738,0.432,29.713,0.394
1962,29.64,0.5369999999999999,29.822,0.429,29.75,0.401,29.701,0.40499999999999997
1963,29.756,0.433,29.69,0.42,29.709,0.391,29.693,0.401
1964,29.943,0.489,29.627000000000002,0.41,29.664,0.386,29.658,0.392
1965,29.32,0.45299999999999996,29.583000000000002,0.386,29.677,0.387,29.646,0.389
1966,29.474,0.477,29.527,0.379,29.657,0.383,29.671,0.387
1967,29.422,0.439,29.558,0.393,29.632,0.386,29.694000000000003,0.383
1968,29.476,0.487,29.642,0.413,29.632,0.378,29.691000000000003,0.374
1969,30.095000000000002,0.45899999999999996,29.638,0.44399999999999995,29.592000000000002,0.384,29.676000000000002,0.362
1970,29.744,0.45399999999999996,29.663,0.45499999999999996,29.568,0.389,29.662000000000003,0.352
1971,29.451,0.62,29.697,0.426,29.605,0.41,29.683,0.348
1972,29.548000000000002,0.5800000000000001,29.557000000000002,0.45299999999999996,29.638,0.42,29.692,0.34099999999999997
1973,29.648,0.44399999999999995,29.555,0.46399999999999997,29.673000000000002,0.397,29.692,0.33299999999999996
1974,29.392,0.482,29.559,0.435,29.689,0.392,29.706,0.33099999999999996
1975,29.737000000000002,0.504,29.69,0.417,29.647000000000002,0.378,29.712,0.33499999999999996
1976,29.468,0.59,29.663,0.39,29.708000000000002,0.376,29.734,0.345
1977,30.204,0.516,29.738,0.409,29.752000000000002,0.376,29.752000000000002,0.344
1978,29.514,0.8959999999999999,29.781000000000002,0.439,29.753,0.366,29.787000000000003,0.34099999999999997
1979,29.765,0.533,29.889,0.474,29.821,0.383,29.806,0.34099999999999997
1980,29.954,0.52,29.847,0.479,29.856,0.384,29.794,0.33199999999999996
1981,30.008,0.45999999999999996,29.912000000000003,0.437,29.863,0.401,29.819000000000003,0.33199999999999996
1982,29.991,0.5780000000000001,29.971,0.44099999999999995,29.866,0.429,29.852,0.33799999999999997
1983,29.841,0.46599999999999997,29.926000000000002,0.44099999999999995,29.900000000000002,0.418,29.854,0.33599999999999997
1984,30.062,0.486,29.861,0.45399999999999996,29.923000000000002,0.399,29.887,0.34099999999999997
1985,29.731,0.44199999999999995,29.865000000000002,0.436,29.942,0.369,29.931,0.34299999999999997
1986,29.683,0.516,29.95,0.411,29.93,0.363,29.955000000000002,0.344
1987,30.006,0.481,29.885,0.37,29.952,0.368,29.96,0.351
1988,30.269000000000002,0.589,29.951,0.391,29.954,0.379,30.003,0.349
1989,29.735,0.531,30.051000000000002,0.45299999999999996,29.954,0.386,30.043,0.345
1990,30.064,0.6,30.035,0.46299999999999997,30.007,0.396,30.062,0.32999999999999996
1991,30.184,0.45899999999999996,29.926000000000002,0.483,30.048000000000002,0.409,30.049,0.33399999999999996
1992,29.925,0.479,30.047,0.471,30.054000000000002,0.422,30.07,0.33599999999999997
1993,29.723000000000003,0.613,30.115000000000002,0.422,30.106,0.401,30.096,0.33499999999999996
1994,30.339000000000002,0.423,30.101,0.419,30.163,0.392,30.11,0.33299999999999996
1995,30.405,0.44199999999999995,30.127000000000002,0.428,30.182000000000002,0.364,30.123,0.33299999999999996
1996,30.113,0.492,30.348000000000003,0.384,30.167,0.369,30.146,0.33999999999999997
1997,30.058,0.501,30.323,0.392,30.188000000000002,0.378,30.183,0.33999999999999997
1998,30.827,0.46799999999999997,30.23,0.417,30.238,0.377,30.193,0.33299999999999996
1999,30.211000000000002,0.607,30.218,0.45099999999999996,30.266000000000002,0.381,30.202,0.33599999999999997
2000,29.942,0.596,30.27,0.45099999999999996,30.238,0.39,30.229,0.33399999999999996
2001,30.054000000000002,0.493,30.221,0.436,30.245,0.389,30.247,0.347
2002,30.317,0.46699999999999997,30.204,0.401,30.312,0.40299999999999997,30.256,0.356
2003,30.580000000000002,0.495,30.224,0.398,30.28,0.385,30.287,0.36
2004,30.125,0.433,30.312,0.422,30.241,0.363,,
2005,30.046,0.44499999999999995,30.379,0.40399999999999997,30.277,0.378,,
2006,30.492,0.516,30.302,0.40199999999999997,30.328,0.397,,
2007,30.653000000000002,0.46399999999999997,30.264,0.436,30.324,0.424,,
2008,30.195,0.5680000000000001,30.42,0.46599999999999997,30.336000000000002,0.44099999999999995,,
2009,29.935000000000002,0.599,30.368000000000002,0.506,,,,
2010,30.825,0.478,30.29,0.542,,,,
2011,30.231,0.597,30.322,0.522,,,,
2012,30.263,0.573,,,,,,
2013,30.358,0.558,,,,,,
