year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1852,,,,,,,,
1853,29.341,1.138,,,,,,
1854,29.183,1.1059999999999999,28.942,0.741,,,,
1855,28.934,1.296,29.033,0.757,29.027,0.712,,
1856,29.101,1.1219999999999999,29.06,0.774,29.05,0.7,,
1857,28.607,1.157,29.075,0.8420000000000001,29.127,0.7070000000000001,,
1858,29.476,1.325,29.146,0.949,29.216,0.742,,
1859,29.255,1.197,29.147,0.957,29.203,0.819,29.296,0.758
1860,29.288,1.12,29.402,0.9420000000000001,29.308,0.896,29.344,0.8049999999999999
1861,29.107,1.183,29.385,1.025,29.394,0.951,29.396,0.855
1862,29.882,1.2,29.421,1.014,29.522,0.946,29.451,0.888
1863,,,29.547,1.111,29.629,1.01,29.512999999999998,0.916
1864,29.435,1.198,29.794999999999998,1.111,29.626,1.066,29.537,0.928
1865,29.919,1.6949999999999998,29.838,1.21,29.662,1.103,29.571,0.967
1866,30.351,1.233,29.862,1.171,29.741,1.1949999999999998,29.619,0.988
1867,30.095,1.4889999999999999,29.904,1.241,29.776,1.224,29.674,0.985
1868,29.511,1.5350000000000001,29.862,1.357,29.81,1.225,29.741,1.001
1869,29.646,1.6960000000000002,29.768,1.4420000000000002,29.871,1.1480000000000001,29.812,0.979
1870,29.707,1.896,29.733,1.395,29.834,1.165,29.821,0.957
1871,29.883,1.5539999999999998,29.866,1.3439999999999999,29.844,1.158,29.837,0.966
1872,29.919999999999998,1.553,29.789,1.2650000000000001,29.826999999999998,1.127,29.845,0.951
1873,30.173,1.717,29.844,1.2189999999999999,29.853,1.1019999999999999,29.825,0.921
1874,29.262,1.233,29.845,1.181,29.998,1.0630000000000002,29.834,0.852
1875,29.98,1.274,29.924,1.104,29.98,0.959,29.792,0.839
1876,29.892,1.19,29.980999999999998,0.937,29.932,0.9410000000000001,29.793,0.806
1877,30.313,1.177,30.186,0.876,29.914,0.902,29.765,0.773
1878,30.456,1.03,30.05,0.8300000000000001,29.84,0.792,29.748,0.731
1879,30.291,0.982,30.048,0.813,29.797,0.6890000000000001,29.753,0.6890000000000001
1880,29.298,1.0070000000000001,29.845,0.772,29.75,0.641,29.737,0.616
1881,29.884,1.182,29.644,0.6930000000000001,29.741,0.609,29.659,0.5660000000000001
1882,29.297,0.981,29.418,0.653,29.704,0.628,29.658,0.544
1883,29.45,1.1840000000000002,29.462,0.677,29.644,0.645,29.627,0.531
1884,29.162,1.119,29.435,0.852,29.508,0.649,29.652,0.554
1885,29.518,1.06,29.487,0.936,29.494,0.661,29.659,0.5780000000000001
1886,29.748,1.189,29.531,0.841,29.385,0.764,29.696,0.5800000000000001
1887,29.559,0.988,29.561,0.788,29.402,0.825,29.651,0.587
1888,29.669999999999998,0.8340000000000001,29.462,0.7929999999999999,29.413,0.8340000000000001,29.669999999999998,0.6
1889,29.311,0.907,29.292,0.778,29.506,0.776,29.623,0.583
1890,29.022,1.049,29.326999999999998,0.812,29.568,0.751,29.658,0.589
1891,28.901,1.226,29.362,0.8380000000000001,29.651,0.688,29.69,0.616
1892,29.73,0.963,29.447,0.835,29.598,0.643,29.713,0.631
1893,29.844,0.97,29.744,0.6930000000000001,29.696,0.63,29.751,0.6
1894,29.737,0.893,29.919999999999998,0.652,29.739,0.588,29.765,0.552
1895,30.508,1.126,30.031,0.651,29.822,0.573,29.797,0.523
1896,29.781,0.862,30.085,0.584,29.995,0.543,29.779,0.5
1897,30.282,0.979,30.108,0.602,30.025,0.546,29.776,0.484
1898,30.115,0.992,30.051,0.581,30.089,0.547,29.771,0.483
1899,29.852,0.829,30.147,0.639,30.023,0.547,29.78,0.476
1900,30.224,0.784,30.12,0.639,30.026,0.565,29.788,0.463
1901,30.261,0.865,30.041,0.663,29.906,0.565,29.868,0.46599999999999997
1902,30.147,0.7949999999999999,29.988,0.615,29.953,0.575,29.862,0.475
1903,29.72,1.1139999999999999,29.86,0.669,29.847,0.5740000000000001,29.866,0.511
1904,29.588,0.756,29.726,0.6699999999999999,29.822,0.5589999999999999,29.874,0.519
1905,29.586,1.024,29.624,0.632,29.754,0.565,29.884,0.528
1906,29.587,0.865,29.581,0.589,29.74,0.575,29.85,0.5569999999999999
1907,29.639,0.859,29.559,0.638,29.698,0.598,29.899,0.5569999999999999
1908,29.505,0.853,29.64,0.6659999999999999,29.643,0.615,29.855,0.563
1909,29.475,1.095,29.617,0.75,29.725,0.62,29.823,0.546
1910,29.991,0.843,29.777,0.746,29.742,0.607,29.772,0.547
1911,29.474,0.764,29.79,0.74,29.793,0.6639999999999999,29.76,0.547
1912,30.441,0.77,29.949,0.667,29.844,0.654,29.73,0.558
1913,29.569,0.868,29.893,0.649,29.862,0.658,29.711,0.558
1914,30.271,0.8440000000000001,30.044,0.656,29.824,0.636,29.709,0.5640000000000001
1915,29.708,0.852,29.947,0.6779999999999999,29.791,0.594,29.726,0.551
1916,30.231,1.041,29.884,0.6990000000000001,29.78,0.609,29.741,0.554
1917,29.957,0.945,29.74,0.6930000000000001,29.761,0.613,29.769,0.5569999999999999
1918,29.255,0.777,29.672,0.718,29.779,0.628,29.801,0.56
1919,29.547,0.99,29.522,0.7090000000000001,29.693,0.6619999999999999,29.814,0.5640000000000001
1920,29.372,0.986,29.541,0.731,29.709,0.6719999999999999,29.793,0.563
1921,29.479,0.819,29.568,0.749,29.69,0.656,29.801,0.573
1922,30.053,0.892,29.663,0.735,29.693,0.615,29.847,0.586
1923,29.387,0.874,29.7,0.7,29.741,0.626,29.863,0.615
1924,30.024,0.887,29.858,0.66,29.805,0.635,29.835,0.637
1925,29.555,0.753,29.887,0.5820000000000001,29.794999999999998,0.621,29.804,0.638
1926,30.273,0.7869999999999999,29.987,0.549,29.822,0.614,29.81,0.639
1927,30.197,0.784,29.887999999999998,0.5549999999999999,29.933,0.612,29.775,0.629
1928,29.887999999999998,0.675,29.891,0.603,29.948,0.645,29.792,0.626
1929,29.528,0.8340000000000001,29.913,0.619,29.978,0.645,29.8,0.624
1930,29.568,0.73,29.96,0.72,29.898,0.649,29.822,0.6
1931,30.385,0.792,29.924,0.8089999999999999,29.93,0.6779999999999999,29.835,0.594
1932,30.428,1.13,29.908,0.752,29.855999999999998,0.685,29.861,0.59
1933,29.711,1.036,29.931,0.761,29.843,0.69,29.892,0.581
1934,29.448999999999998,0.6970000000000001,29.897,0.78,29.796,0.6799999999999999,29.905,0.5760000000000001
1935,29.681,0.7210000000000001,29.737,0.722,29.85,0.665,29.889,0.587
1936,30.214,0.947,29.675,0.73,29.848,0.663,29.926,0.597
1937,29.629,0.957,29.676,0.762,29.789,0.661,29.93,0.601
1938,29.399,0.8480000000000001,29.847,0.751,29.835,0.649,29.961,0.608
1939,29.458,0.904,29.79,0.731,29.832,0.639,29.971,0.606
1940,30.536,0.656,29.895,0.669,29.879,0.625,30.004,0.601
1941,29.926,0.937,30.018,0.587,29.923,0.612,29.983,0.602
1942,30.154,0.652,30.093,0.541,30.004,0.601,29.956,0.594
1943,30.015,0.7230000000000001,29.999,0.55,30.08,0.5800000000000001,29.97,0.592
1944,29.832,0.7030000000000001,30.063,0.587,30.146,0.5760000000000001,29.969,0.584
1945,30.067,0.6910000000000001,30.204,0.633,30.158,0.5740000000000001,29.988,0.575
1946,30.246,0.736,30.257,0.648,30.118,0.596,30.009,0.556
1947,30.861,0.746,30.252,0.677,30.123,0.625,29.991,0.549
1948,30.278,0.764,30.235,0.7090000000000001,30.105,0.621,29.951,0.537
1949,29.806,0.8200000000000001,30.205,0.6859999999999999,30.107,0.609,29.994,0.533
1950,29.983,0.7889999999999999,29.999,0.671,30.096,0.601,30.001,0.515
1951,30.098,0.634,29.94,0.631,30.096,0.5720000000000001,30.007,0.522
1952,29.831,0.6839999999999999,29.874,0.565,29.977,0.573,30.023,0.537
1953,29.982,0.628,29.967,0.538,29.823,0.556,29.994,0.528
1954,29.476,0.5780000000000001,29.918,0.541,29.843,0.533,30.004,0.534
1955,30.447,0.603,29.797,0.527,29.844,0.499,30.003,0.538
1956,29.853,0.675,29.757,0.516,29.895,0.489,29.976,0.524
1957,29.225,0.651,29.829,0.525,29.922,0.49,29.962,0.511
1958,29.784,0.633,29.771,0.497,29.883,0.487,29.896,0.502
1959,29.837,0.643,29.819,0.497,29.901,0.506,29.908,0.499
1960,30.154,0.579,29.982,0.506,29.91,0.523,29.93,0.49
1961,30.093,0.585,30.006,0.494,29.857,0.526,29.948,0.476
1962,30.043,0.619,30.072,0.556,29.947,0.513,29.919999999999998,0.473
1963,29.902,0.571,29.947,0.593,29.97,0.516,29.871,0.457
1964,30.165,0.808,30.007,0.567,29.973,0.513,29.875,0.454
1965,29.533,0.613,29.913,0.5529999999999999,30.017,0.523,29.845,0.452
1966,30.39,0.5720000000000001,29.882,0.571,30.0,0.512,29.788,0.447
1967,29.573,0.5700000000000001,29.953,0.519,29.919,0.498,29.784,0.442
1968,29.746,0.6639999999999999,30.064,0.491,29.858999999999998,0.46799999999999997,29.831,0.442
1969,30.523,0.583,29.934,0.477,29.85,0.46,29.829,0.44
1970,30.086,0.584,29.879,0.493,29.781,0.46,29.829,0.444
1971,29.742,0.632,29.863,0.5,29.718,0.46699999999999997,29.807,0.446
1972,29.294999999999998,0.6739999999999999,29.652,0.532,29.62,0.462,29.821,0.443
1973,29.667,0.537,29.463,0.548,29.693,0.448,29.796,0.439
1974,29.471,0.592,29.282,0.52,29.686,0.434,29.825,0.434
1975,29.139,0.614,29.448999999999998,0.475,29.641,0.43,29.813,0.427
1976,28.836,0.579,29.539,0.465,29.613,0.434,29.817,0.432
1977,30.132,0.616,29.64,0.488,29.723,0.441,29.805,0.428
1978,30.115,0.597,29.825,0.526,29.733,0.444,29.874,0.42
1979,29.98,0.66,30.049,0.527,29.8,0.444,29.872,0.42
1980,30.065,0.528,30.037,0.52,29.845,0.441,29.871,0.419
1981,29.954,0.541,29.975,0.494,29.916,0.449,29.9,0.417
1982,30.071,0.542,29.994,0.479,29.989,0.459,29.899,0.41200000000000003
1983,29.804,0.533,29.967,0.496,30.055,0.454,29.906,0.41000000000000003
1984,30.074,0.5660000000000001,29.951,0.485,30.058,0.447,29.93,0.40900000000000003
1985,29.933,0.552,29.986,0.483,30.101,0.444,29.988,0.40900000000000003
1986,29.873,0.506,30.201,0.462,30.187,0.439,30.056,0.40900000000000003
1987,30.244,0.514,30.119,0.439,30.075,0.444,30.125,0.40700000000000003
1988,30.878,0.542,30.262999999999998,0.442,30.079,0.442,30.137999999999998,0.41000000000000003
1989,29.668,0.511,30.292,0.436,30.059,0.43,30.156,0.416
