year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1833,,,,,,,,
1834,19.654,1.45,,,,,,
1835,19.874,0.9800000000000001,,,,,,
1836,,,,,,,,
1837,18.118,1.005,,,,,,
1838,17.887999999999998,1.13,,,,,,
1839,18.448,1.4209999999999998,18.477,0.79,,,,
1840,19.221,1.1119999999999999,18.689999999999998,0.805,,,,
1841,18.711,0.9600000000000001,18.744,0.7020000000000001,18.599,0.629,,
1842,19.180999999999997,0.931,18.874,0.636,18.636,0.654,,
1843,18.160999999999998,0.89,18.701,0.676,18.674,0.637,,
1844,19.096999999999998,0.884,18.855999999999998,0.654,18.715999999999998,0.602,,
1845,18.354,0.993,18.666,0.654,18.636,0.593,,
1846,19.488,1.23,18.689999999999998,0.632,18.639,0.583,18.514,0.501
1847,18.23,0.904,18.576999999999998,0.632,18.537,0.5740000000000001,18.494,0.511
1848,18.285,1.131,18.575,0.649,18.521,0.5740000000000001,18.535999999999998,0.496
1849,18.529999999999998,0.92,18.355,0.587,18.512999999999998,0.531,18.582,0.526
1850,18.343,0.914,18.285,0.593,18.454,0.519,18.579,0.544
1851,18.387,0.889,18.372999999999998,0.593,18.429,0.504,18.569,0.538
1852,17.88,0.9450000000000001,18.363999999999997,0.506,18.352,0.476,18.567999999999998,0.543
1853,18.723,0.912,18.311,0.491,18.398999999999997,0.46699999999999997,18.593,0.554
1854,18.49,0.8470000000000001,18.334999999999997,0.473,18.447,0.512,18.625,0.577
1855,18.076999999999998,1.04,18.392,0.539,18.523,0.525,18.648,0.523
1856,18.506,0.8530000000000001,18.448,0.603,18.5,0.537,18.703,0.526
1857,18.165,1.083,18.584,0.734,18.599,0.533,18.735,0.523
1858,19.002,1.3439999999999999,18.688,0.876,18.665,0.622,18.808999999999997,0.5660000000000001
1859,19.171,1.157,18.692,0.899,18.737,0.755,18.839,0.628
1860,18.596,0.676,18.968,0.8520000000000001,18.843,0.868,18.881999999999998,0.6940000000000001
1861,18.525,0.884,18.980999999999998,0.9590000000000001,18.977,0.924,18.916999999999998,0.761
1862,19.548,0.986,18.994,0.9430000000000001,19.119,0.891,18.974,0.801
1863,19.067,1.934,19.148,1.1199999999999999,19.22,0.9600000000000001,19.035999999999998,0.8570000000000001
1864,19.233999999999998,1.2189999999999999,19.432,1.14,19.232,1.045,19.107,0.8530000000000001
1865,19.366,1.7449999999999999,19.47,1.242,19.241,1.086,19.166,0.889
1866,19.945999999999998,1.061,19.508,1.1749999999999998,19.334999999999997,1.23,19.227999999999998,0.9
1867,19.736,1.323,19.503,1.2189999999999999,19.349,1.2329999999999999,19.307,0.899
1868,19.259,1.5779999999999998,19.465,1.404,19.407,1.218,19.369999999999997,0.915
1869,19.209999999999997,1.8379999999999999,19.291999999999998,1.48,19.477,1.06,19.401999999999997,0.87
1870,19.175,2.045,19.267,1.424,19.49,1.055,19.372,0.8340000000000001
1871,19.078,1.418,19.41,1.305,19.479,1.04,19.429,0.8170000000000001
1872,19.613,1.53,19.447,1.1909999999999998,19.494999999999997,1.031,19.432,0.767
1873,19.974999999999998,2.0380000000000003,19.528,1.19,19.52,1.012,19.398,0.749
1874,19.394,1.091,19.619999999999997,1.1749999999999998,19.572,0.997,19.368,0.675
1875,19.579,1.2389999999999999,19.726,1.098,19.503999999999998,0.8570000000000001,19.314999999999998,0.659
1876,19.538,1.01,19.683999999999997,0.862,19.523999999999997,0.788,19.288,0.633
1877,20.145,1.174,19.625,0.801,19.516,0.6960000000000001,19.233,0.604
1878,19.767,0.7270000000000001,19.468,0.613,19.39,0.5730000000000001,19.195999999999998,0.56
1879,19.096999999999998,0.865,19.462999999999997,0.45999999999999996,19.258,0.491,19.174,0.53
1880,18.794999999999998,0.7180000000000001,19.208,0.44500000000000006,19.14,0.43200000000000005,19.141,0.45199999999999996
1881,19.512999999999998,0.557,18.935,0.42800000000000005,19.096,0.379,19.096999999999998,0.44300000000000006
1882,18.866,0.638,18.819,0.41500000000000004,18.971,0.41000000000000003,19.078,0.43000000000000005
1883,18.406,0.487,18.817999999999998,0.42300000000000004,18.871,0.473,19.038,0.396
1884,18.512999999999998,0.45599999999999996,18.669,0.521,18.776,0.501,19.067999999999998,0.42900000000000005
1885,18.791,0.8310000000000001,18.641,0.577,18.779,0.486,19.044,0.44700000000000006
1886,18.767,0.8460000000000001,18.663,0.643,18.671,0.499,19.067999999999998,0.474
1887,18.726,0.86,18.686,0.64,18.641,0.543,19.009999999999998,0.482
1888,18.515,0.657,18.651,0.618,18.686999999999998,0.5720000000000001,19.026,0.504
1889,18.628999999999998,0.8300000000000001,18.567999999999998,0.588,18.878,0.604,19.023,0.505
1890,18.619999999999997,0.681,18.688,0.644,18.948999999999998,0.613,19.118,0.507
1891,18.349,0.736,18.948999999999998,0.673,19.038999999999998,0.677,19.137999999999998,0.528
1892,19.328,1.005,19.098,0.643,19.048,0.634,19.133,0.549
1893,19.817999999999998,0.781,19.238,0.736,19.182,0.627,19.160999999999998,0.553
1894,19.375,0.7050000000000001,19.558999999999997,0.7100000000000001,19.270999999999997,0.5750000000000001,19.203,0.544
1895,19.32,1.133,19.544999999999998,0.632,19.456,0.5750000000000001,19.262999999999998,0.548
