year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,29.15,0.808,,,,,,
1877,29.281,0.702,,,,,,
1878,29.666,0.6839999999999999,29.311,0.472,,,,
1879,,,29.368,0.498,29.271,0.5529999999999999,,
1880,,,29.387,0.581,29.292,0.592,,
1881,29.431,0.942,29.293,0.633,29.308,0.645,,
1882,29.38,0.9989999999999999,29.228,0.706,29.357,0.716,29.253,0.63
1883,29.195,0.7669999999999999,29.258,0.831,29.304,0.7290000000000001,29.221,0.624
1884,29.136,0.8640000000000001,29.291,0.891,29.267,0.7829999999999999,29.22,0.625
1885,29.146,1.139,29.276,0.8919999999999999,29.332,0.812,29.225,0.634
1886,29.6,1.204,29.26,0.907,29.358,0.76,29.205,0.636
1887,29.304,0.998,29.358,0.881,29.273,0.734,29.206,0.639
1888,29.115,0.7789999999999999,29.425,0.798,29.208,0.736,29.206,0.638
1889,29.626,0.784,29.329,0.659,29.169,0.7290000000000001,29.207,0.603
1890,29.481,0.8759999999999999,29.231,0.636,29.158,0.704,29.237,0.581
1891,29.12,0.798,29.091,0.636,29.102,0.653,29.247,0.546
1892,28.816,1.3199999999999998,28.962,0.642,29.056,0.5860000000000001,29.229,0.5289999999999999
1893,28.413,0.8739999999999999,28.852,0.6859999999999999,29.108,0.5780000000000001,29.231,0.513
1894,28.979,0.728,28.892,0.7629999999999999,29.147,0.46599999999999997,29.229,0.479
