year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1846,,,,,,,,
1847,28.253999999999998,0.645,,,,,,
1848,28.336,0.7749999999999999,,,,,,
1849,28.243,0.64,,,,,,
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,28.849999999999998,1.7209999999999999,,,,,,
1854,28.993,0.861,28.732999999999997,0.502,,,28.738999999999997,0.398
1855,28.953,1.102,28.909,0.532,,,28.718999999999998,0.387
1856,29.083,0.77,28.834999999999997,0.492,28.689999999999998,0.41100000000000003,28.743,0.392
1857,28.663999999999998,1.047,28.776,0.589,28.785,0.397,28.733999999999998,0.418
1858,28.479,1.3379999999999999,28.738,0.8119999999999999,28.866,0.603,28.805,0.469
1859,28.701999999999998,0.7999999999999999,28.676,0.9099999999999999,28.854999999999997,0.597,28.860999999999997,0.513
1860,28.758999999999997,0.8999999999999999,28.791999999999998,0.843,28.860999999999997,0.665,28.933,0.58
1861,28.776999999999997,0.9359999999999999,28.901999999999997,0.83,28.912,0.662,28.977999999999998,0.642
1862,29.241,0.877,28.923,0.723,28.915,0.655,29.064999999999998,0.697
1863,29.031,1.428,29.040999999999997,0.656,28.996,0.6809999999999999,29.136999999999997,0.724
1864,28.807,1.067,29.162999999999997,0.63,29.096,0.74,29.165999999999997,0.72
1865,29.349999999999998,1.0170000000000001,29.105999999999998,0.742,29.194,0.7879999999999999,29.194,0.721
1866,29.386,1.287,29.183,1.0010000000000001,29.264999999999997,0.9239999999999999,29.217,0.715
1867,28.955,1.076,29.392,1.091,29.345,0.977,29.224999999999998,0.6839999999999999
1868,29.415999999999997,1.648,29.404,1.325,29.407999999999998,1.081,29.273999999999997,0.648
1869,29.854999999999997,1.519,29.476999999999997,1.379,29.476999999999997,1.1,29.317,0.622
1870,29.407999999999998,1.912,29.636999999999997,1.43,29.526,1.129,29.326999999999998,0.602
1871,29.749,1.474,29.677,1.3659999999999999,29.522,1.093,29.325,0.603
1872,29.755,1.649,29.641,1.291,29.534,0.999,29.337999999999997,0.593
1873,29.615,1.088,29.671,1.156,29.551,0.863,29.337,0.603
1874,29.676,1.3459999999999999,29.496,0.993,29.537999999999997,0.7849999999999999,29.336,0.58
1875,29.56,1.097,29.432,0.76,29.459999999999997,0.664,29.322,0.581
1876,28.872,1.04,29.444999999999997,0.585,29.383999999999997,0.604,29.322,0.551
1877,29.435,0.846,29.342,0.693,29.33,0.514,29.325999999999997,0.499
1878,29.68,0.953,29.169999999999998,0.713,29.266,0.46399999999999997,29.319,0.46199999999999997
1879,29.163999999999998,0.942,29.232999999999997,0.632,29.194999999999997,0.46399999999999997,29.313,0.422
1880,28.7,0.616,29.171,0.547,29.118,0.47,29.319999999999997,0.365
