year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1853,28.418,1.851,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,28.532,1.416,,,,,,
1857,,,28.138,1.101,,,,
1858,27.965,1.6600000000000001,28.118000000000002,1.236,,,,
1859,28.126,1.321,28.048000000000002,1.3079999999999998,,,,
1860,28.128,1.425,28.242,1.258,28.229,1.082,,
1861,28.185000000000002,1.554,28.348000000000003,1.267,,,,
1862,,,28.299,1.1600000000000001,,,28.397000000000002,0.983
1863,,,,,28.364,1.117,28.458000000000002,1.055
1864,27.881,1.287,,,28.401,1.1179999999999999,28.454,1.042
1865,,,,,28.536,1.082,28.462,1.043
1866,,,28.366,1.3239999999999998,28.583000000000002,1.142,28.502000000000002,1.03
1867,28.467000000000002,1.421,28.702,1.245,28.611,1.1560000000000001,28.516000000000002,0.999
1868,28.150000000000002,2.486,28.709,1.388,28.634,1.1829999999999998,28.575,0.999
1869,29.563000000000002,1.987,28.745,1.4100000000000001,28.655,1.1760000000000002,28.644000000000002,0.998
1870,28.748,1.7850000000000001,28.823,1.379,28.696,1.192,28.665000000000003,0.991
1871,28.799,1.5619999999999998,28.949,1.399,28.705000000000002,1.1560000000000001,28.677,0.965
1872,28.854000000000003,1.508,28.671,1.242,28.737000000000002,1.108,28.694000000000003,0.94
1873,28.783,1.387,28.718,1.1560000000000001,28.786,1.083,28.676000000000002,0.9179999999999999
1874,28.171,1.296,28.688000000000002,1.108,28.888,1.115,28.715,0.909
1875,28.983,1.278,28.681,1.048,28.794,1.035,28.733,0.9119999999999999
1876,28.651,1.311,28.8,0.993,28.77,0.946,28.709,0.903
1877,28.819000000000003,1.143,28.939,1.01,28.777,0.887,28.744,0.878
1878,29.378,1.237,28.845000000000002,0.9319999999999999,28.718,0.8220000000000001,28.752000000000002,0.87
1879,28.864,1.44,28.873,0.853,28.776,0.815,28.76,0.89
1880,28.514,1.095,28.82,0.856,28.77,0.832,28.727,0.859
1881,28.791,1.334,28.676000000000002,0.929,28.714000000000002,0.835,28.727,0.846
1882,28.552,1.292,28.651,0.993,28.751,0.879,28.691000000000003,0.874
1883,28.656000000000002,1.2149999999999999,28.62,1.033,28.717000000000002,0.94,28.679000000000002,0.851
1884,28.743000000000002,1.088,28.608,1.037,28.633000000000003,0.996,28.676000000000002,0.887
1885,28.359,1.206,28.666,1.026,28.66,1.034,28.665000000000003,0.905
1886,28.731,1.317,28.626,1.116,28.684,1.014,28.646,0.898
1887,28.84,1.466,28.637,1.2029999999999998,28.605,1.035,28.643,0.9039999999999999
1888,28.457,1.5,28.736,1.217,28.64,1.036,28.649,0.911
1889,28.798000000000002,1.4220000000000002,28.631,1.196,28.576,1.055,28.602,0.913
1890,28.857,1.233,28.592000000000002,1.112,28.561,1.074,28.589000000000002,0.917
1891,28.202,1.721,28.588,1.054,28.578,1.062,28.611,0.898
1892,28.646,1.2810000000000001,28.499000000000002,1.029,28.535,1.01,28.631,0.898
1893,28.44,1.111,28.42,1.021,28.581,0.9550000000000001,28.656000000000002,0.887
1894,28.352,1.3599999999999999,28.467000000000002,0.937,28.57,0.905,28.653000000000002,0.884
1895,28.457,0.97,28.549,0.899,28.519000000000002,0.885,28.651,0.883
1896,28.437,0.9259999999999999,28.632,0.87,28.537000000000003,0.844,28.661,0.889
1897,29.056,1.174,28.628,0.845,28.656000000000002,0.825,28.644000000000002,0.873
1898,28.858,1.01,28.602,0.784,28.671,0.781,28.653000000000002,0.847
1899,28.334,1.3439999999999999,28.845000000000002,0.824,28.73,0.831,28.682000000000002,0.838
1900,28.325,1.108,28.762,0.7929999999999999,28.741,0.869,28.681,0.823
1901,29.654,1.415,28.792,0.9550000000000001,28.743000000000002,0.826,28.676000000000002,0.8140000000000001
1902,28.639,1.017,28.837,1.131,28.753,0.813,28.721,0.815
1903,29.009,2.132,28.829,1.005,28.724,0.8029999999999999,28.713,0.794
1904,28.558,1.1019999999999999,28.621000000000002,0.9410000000000001,28.794,0.841,28.724,0.791
1905,28.284000000000002,1.143,28.699,0.9179999999999999,28.843,0.871,28.725,0.777
1906,28.616,1.462,28.686,0.903,28.814,0.853,28.756,0.756
1907,29.026,1.054,28.796,0.976,28.785,0.831,28.757,0.751
1908,28.945,1.146,28.824,0.978,28.756,0.85,28.729000000000003,0.749
1909,29.111,1.153,28.851000000000003,1.025,28.718,0.859,28.744,0.753
1910,28.425,1.2029999999999998,28.848000000000003,1.002,28.709,0.832,28.776,0.759
