year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1877,11.067,1.6119999999999999,,,,,,
1878,11.349,1.578,11.274000000000001,0.755,,,,
1879,11.597,1.56,11.314,0.737,11.23,0.569,,
1880,11.251,1.542,11.24,0.676,11.194,0.538,,
1881,11.304,1.4709999999999999,11.233,0.646,11.159,0.525,,
1882,10.7,1.189,11.151,0.63,11.116,0.481,11.144,0.499
1883,11.312,1.204,11.015,0.605,11.145,0.481,11.119,0.469
1884,11.187,1.236,10.914,0.565,11.108,0.473,11.164,0.477
1885,10.572000000000001,1.3439999999999999,11.038,0.579,11.135,0.45299999999999996,11.163,0.476
1886,10.796,1.155,11.092,0.602,11.107,0.45499999999999996,11.159,0.487
1887,11.321,1.3479999999999999,11.091,0.599,11.094,0.45699999999999996,11.144,0.45099999999999996
1888,11.585,1.323,11.24,0.625,11.073,0.443,11.134,0.44899999999999995
1889,11.18,1.154,11.203,0.584,11.098,0.46699999999999997,11.114,0.429
1890,11.317,1.171,11.249,0.587,11.132,0.49,11.134,0.428
1891,10.61,1.3359999999999999,11.074,0.563,11.158,0.526,11.125,0.433
1892,11.554,1.1,11.156,0.668,11.171,0.494,11.173,0.422
1893,10.711,1.177,11.096,0.706,11.123,0.482,11.196,0.417
1894,11.587,1.381,11.15,0.6829999999999999,11.120000000000001,0.45999999999999996,11.131,0.414
1895,11.016,0.991,11.01,0.641,11.134,0.479,11.171,0.418
1896,10.883000000000001,0.8039999999999999,11.056000000000001,0.602,11.143,0.505,11.157,0.424
1897,10.853,0.941,11.162,0.545,11.253,0.486,11.197000000000001,0.443
1898,10.943,1.072,11.11,0.44799999999999995,11.318,0.492,11.126,0.421
1899,12.116,0.9169999999999999,11.331,0.45999999999999996,11.163,0.44999999999999996,11.049,0.45399999999999996
1900,10.754,0.766,11.484,0.469,11.209,0.432,11.095,0.47
1901,11.989,0.767,11.465,0.43,11.155,0.382,11.089,0.477
1902,11.620000000000001,0.663,11.171,0.44999999999999996,11.222,0.45199999999999996,11.084,0.46799999999999997
1903,10.847,0.66,11.083,0.507,11.129,0.425,11.092,0.498
1904,10.648,0.982,11.078,0.492,10.978,0.51,11.093,0.493
1905,10.313,0.838,10.935,0.5579999999999999,11.056000000000001,0.513,11.108,0.503
1906,11.963000000000001,0.66,10.695,0.549,11.034,0.485,11.153,0.492
1907,10.905,0.699,10.726,0.611,10.914,0.489,11.182,0.537
1908,9.647,0.632,11.08,0.569,10.866,0.54,11.215,0.543
1909,10.801,1.2109999999999999,10.868,0.5589999999999999,11.023,0.5599999999999999,11.135,0.573
1910,12.083,0.725,10.852,0.576,11.007,0.596,11.128,0.576
1911,10.907,0.664,11.082,0.677,11.15,0.633,11.064,0.568
1912,10.825,0.6849999999999999,11.352,0.62,11.142,0.65,10.989,0.58
1913,10.796,1.101,11.233,0.694,11.301,0.699,10.989,0.608
1914,12.148,0.9139999999999999,11.351,0.7819999999999999,11.293,0.661,11.058,0.61
1915,11.492,1.002,11.521,0.8089999999999999,11.2,0.654,11.041,0.597
1916,11.493,0.951,11.569,0.7789999999999999,11.093,0.666,11.118,0.575
1917,11.678,0.763,11.128,0.761,11.063,0.6819999999999999,11.073,0.563
1918,11.035,0.85,11.079,0.703,11.113,0.689,11.121,0.565
1919,9.941,0.707,10.758000000000001,0.617,11.092,0.676,11.116,0.526
1920,11.247,0.9049999999999999,10.595,0.655,11.076,0.633,11.012,0.507
1921,9.888,0.711,10.639,0.637,11.087,0.553,10.998,0.503
