year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1846,,,,,,,,
1847,27.64,0.847,,,,,,
1848,27.724,0.98,,,,,,
1849,27.619999999999997,0.839,,,,,,
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,28.227,1.915,,,,,,
1854,28.38,1.034,28.127,0.68,,,28.125,0.5940000000000001
1855,28.320999999999998,1.263,28.304,0.7230000000000001,28.052,0.633,28.099999999999998,0.583
1856,28.538999999999998,1.0270000000000001,28.215999999999998,0.6930000000000001,28.07,0.609,28.124,0.587
1857,28.052999999999997,1.236,28.151,0.787,28.168,0.593,28.111,0.61
1858,27.788,1.5390000000000001,28.113,1.0070000000000001,28.253,0.801,28.18,0.655
1859,28.057,1.0,28.044999999999998,1.109,28.241,0.797,28.233999999999998,0.69
1860,28.128999999999998,1.093,28.165,1.04,28.237,0.8480000000000001,28.308,0.762
1861,28.198,1.155,28.291999999999998,1.025,28.288999999999998,0.847,28.352,0.823
1862,28.654,1.091,28.305,0.91,28.276999999999997,0.8480000000000001,28.442,0.88
1863,28.421,1.6110000000000002,28.421,0.829,28.36,0.867,28.518,0.916
1864,28.121,1.251,28.529,0.8089999999999999,28.462,0.908,28.547,0.914
1865,28.709999999999997,1.1720000000000002,28.451,0.911,28.564,0.9600000000000001,28.576,0.916
1866,28.738,1.516,28.523,1.142,28.634999999999998,1.095,28.601,0.912
1867,28.264,1.2229999999999999,28.750999999999998,1.238,28.715999999999998,1.153,28.605,0.881
1868,28.782999999999998,1.786,28.766,1.4780000000000002,28.782999999999998,1.263,28.657999999999998,0.843
1869,29.258,1.7040000000000002,28.851,1.5419999999999998,28.852999999999998,1.28,28.706,0.817
1870,28.788,2.102,29.034,1.621,28.913999999999998,1.316,28.715999999999998,0.799
1871,29.162,1.661,29.09,1.572,28.912,1.29,28.715999999999998,0.799
1872,29.179,1.871,29.055999999999997,1.5030000000000001,28.933,1.203,28.724999999999998,0.788
1873,29.061999999999998,1.2690000000000001,29.089,1.367,28.957,1.0670000000000002,28.721999999999998,0.796
1874,29.092,1.548,28.912,1.197,28.951,0.979,28.721,0.77
1875,28.951,1.324,28.840999999999998,0.9420000000000001,28.868,0.859,28.711,0.771
1876,28.276999999999997,1.216,28.854,0.766,28.798,0.788,28.708,0.7430000000000001
1877,28.825,0.998,28.744,0.843,28.735,0.698,28.718,0.696
1878,29.125999999999998,1.107,28.573999999999998,0.876,28.66,0.648,28.712999999999997,0.662
1879,28.541999999999998,1.1019999999999999,28.631999999999998,0.813,28.589,0.646,28.709,0.622
1880,28.099,0.841,28.561999999999998,0.7410000000000001,28.508,0.663,28.712,0.5670000000000001
1881,28.567,0.988,28.419999999999998,0.6859999999999999,28.503999999999998,0.687,28.686999999999998,0.547
1882,28.477999999999998,0.925,28.346,0.7150000000000001,28.502,0.6890000000000001,28.674,0.537
1883,28.415,0.8640000000000001,28.422,0.7370000000000001,28.47,0.638,28.631,0.547
1884,28.169999999999998,0.734,28.442999999999998,0.761,28.467,0.68,28.607,0.5780000000000001
1885,28.48,0.9550000000000001,28.407999999999998,0.7050000000000001,28.555999999999997,0.73,28.572,0.593
1886,28.675,1.22,28.487,0.683,28.575,0.718,28.552999999999997,0.62
1887,28.302999999999997,0.865,28.715,0.81,28.613,0.664,28.558999999999997,0.631
1888,28.808999999999997,0.804,28.709,0.767,28.602,0.661,28.541999999999998,0.614
1889,29.308999999999997,1.1840000000000002,28.727999999999998,0.657,28.625999999999998,0.664,28.514,0.626
1890,28.45,1.1400000000000001,28.825,0.7,28.636,0.639,28.511,0.652
1891,28.767,0.906,28.730999999999998,0.752,28.602999999999998,0.66,28.521,0.638
1892,28.79,1.025,28.557,0.6890000000000001,28.616,0.668,28.512,0.614
1893,28.337,0.839,28.506,0.714,28.613,0.673,28.521,0.601
1894,28.439,0.702,28.459,0.7,28.56,0.676,28.558,0.595
1895,28.198,0.773,28.439999999999998,0.666,28.465999999999998,0.676,28.573,0.595
1896,28.529999999999998,0.781,28.483999999999998,0.659,28.465999999999998,0.66,28.576,0.617
1897,28.694,0.792,28.448999999999998,0.777,28.410999999999998,0.681,28.587999999999997,0.62
1898,28.56,0.8420000000000001,28.444,0.792,28.439,0.641,28.593,0.62
1899,28.261,1.229,28.447,0.742,28.49,0.64,28.584,0.615
1900,28.174,0.841,28.398999999999997,0.73,28.509999999999998,0.666,28.555,0.601
1901,28.548,0.591,28.473,0.685,28.549,0.664,28.57,0.579
1902,28.451,0.7410000000000001,28.538,0.624,28.558999999999997,0.631,28.552999999999997,0.5670000000000001
1903,28.932,0.877,28.634,0.649,28.572,0.634,28.561,0.548
1904,28.583,0.835,28.689999999999998,0.663,28.607,0.5940000000000001,28.548,0.547
1905,28.654,0.882,28.715,0.676,28.645,0.611,28.569,0.551
1906,28.83,0.775,28.676,0.663,28.674,0.603,28.601,0.549
1907,28.575,0.839,28.688,0.6970000000000001,28.694,0.5980000000000001,28.602,0.544
1908,28.737,0.801,28.665,0.655,28.683,0.5780000000000001,28.601,0.551
1909,28.644,0.677,28.631,0.661,28.607,0.593,28.619999999999997,0.54
1910,28.541,0.8089999999999999,28.671,0.641,28.627,0.599,28.662,0.542
1911,28.66,0.902,28.572,0.639,28.653,0.614,28.688,0.545
1912,28.773,0.653,28.52,0.644,28.645,0.608,28.703,0.543
1913,28.241999999999997,0.69,28.619999999999997,0.6000000000000001,28.63,0.5820000000000001,28.701999999999998,0.524
1914,28.381999999999998,0.647,28.692999999999998,0.621,28.631999999999998,0.5740000000000001,28.701999999999998,0.52
1915,29.044999999999998,0.688,28.599,0.609,28.68,0.558,28.727999999999998,0.525
1916,29.023,0.899,28.695999999999998,0.608,28.701,0.531,28.739,0.519
1917,28.302999999999997,0.531,28.805,0.605,28.711,0.53,28.762999999999998,0.514
1918,28.727,0.803,28.787,0.5650000000000001,28.721,0.518,28.769,0.511
1919,28.926,0.675,28.733,0.547,28.798,0.512,28.779999999999998,0.507
1920,28.956,0.747,28.826999999999998,0.537,28.83,0.525,28.776999999999997,0.502
1921,28.753,0.597,28.820999999999998,0.534,28.825,0.497,28.801,0.487
1922,28.775,0.5980000000000001,28.886,0.554,28.881,0.516,28.826,0.47500000000000003
1923,28.692999999999998,0.661,28.869999999999997,0.537,28.909,0.51,28.854,0.486
1924,29.250999999999998,0.511,28.954,0.509,28.929,0.495,28.887,0.47700000000000004
1925,28.878999999999998,0.5880000000000001,28.962,0.503,28.875,0.49,28.887,0.487
1926,29.173,0.6930000000000001,28.997999999999998,0.47800000000000004,28.9,0.48500000000000004,28.869999999999997,0.48000000000000004
1927,28.813,0.667,28.904999999999998,0.519,28.941,0.463,28.872999999999998,0.47700000000000004
1928,28.874,0.527,28.862,0.562,28.987,0.494,28.895999999999997,0.466
1929,28.788,0.651,28.924,0.517,28.977,0.498,28.88,0.456
1930,28.662,0.635,28.971999999999998,0.52,28.944,0.524,28.868,0.453
1931,29.482,0.643,28.996,0.528,28.915,0.503,28.872999999999998,0.455
1932,29.055,0.545,28.968,0.504,28.865,0.47700000000000004,28.903,0.457
1933,28.991999999999997,0.549,28.974999999999998,0.501,28.884,0.46900000000000003,28.932,0.455
1934,28.651,0.587,28.863,0.507,28.831,0.461,28.927999999999997,0.458
1935,28.695999999999998,0.5630000000000001,28.779999999999998,0.498,28.861,0.466,28.925,0.462
1936,28.919999999999998,0.658,28.721999999999998,0.522,28.846,0.48400000000000004,28.916999999999998,0.46900000000000003
1937,28.64,0.62,28.692,0.5650000000000001,28.864,0.511,28.904,0.46900000000000003
1938,28.701999999999998,0.732,28.756999999999998,0.5860000000000001,28.877,0.526,28.929,0.465
1939,28.5,0.583,28.805999999999997,0.575,28.878999999999998,0.536,28.932,0.47700000000000004
1940,29.023999999999997,0.677,28.954,0.556,28.904999999999998,0.543,28.938,0.47000000000000003
1941,29.165,0.631,28.989,0.562,28.918,0.534,28.903,0.48200000000000004
1942,29.378999999999998,0.5720000000000001,29.105,0.575,28.942999999999998,0.526,28.886,0.49
1943,28.878999999999998,0.63,29.073,0.5630000000000001,28.973,0.516,28.887999999999998,0.486
1944,29.08,0.65,29.012,0.554,29.032,0.529,28.906,0.488
1945,28.864,0.635,28.974,0.553,29.015,0.534,28.907999999999998,0.48400000000000004
1946,28.858,0.577,29.034,0.5660000000000001,28.959999999999997,0.543,28.915,0.486
1947,29.189,0.595,28.977999999999998,0.562,28.907999999999998,0.552,28.907999999999998,0.488
1948,29.18,0.625,28.886,0.545,28.898999999999997,0.538,28.907999999999998,0.493
1949,28.796,0.617,28.845,0.559,28.933,0.537,28.954,0.494
1950,28.407,0.5710000000000001,28.846,0.545,28.912,0.512,28.968999999999998,0.493
