year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1864,,,,,,,,
1865,23.576999999999998,2.21,,,,,,
1866,22.941,1.651,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,22.936,1.549,,
1870,22.761,2.321,,,22.857,1.46,,
1871,22.962,1.9609999999999999,22.948,1.691,,,,
1872,22.896,1.995,22.794,1.6059999999999999,,,,
1873,23.243,1.9489999999999998,22.843,1.5190000000000001,,,,
1874,22.108,2.03,,,,,,
1875,,,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,22.891,1.334
1879,23.444,1.792,,,,,22.902,1.33
1880,22.798,1.7309999999999999,22.794999999999998,1.544,,,22.918,1.307
1881,22.604,2.358,22.777,1.432,22.866,1.242,22.943,1.307
1882,21.993,2.063,22.653,1.292,22.89,1.2530000000000001,22.951,1.3
1883,23.044,1.534,22.661,1.252,22.937,1.329,22.945,1.2770000000000001
1884,22.826,1.5070000000000001,22.813,1.199,22.887,1.3679999999999999,22.937,1.258
1885,22.838,1.276,22.983,1.3820000000000001,22.924,1.38,22.939,1.2570000000000001
1886,23.363,1.658,23.105,1.52,22.976,1.4420000000000002,22.936,1.238
1887,22.842,2.255,23.206,1.7109999999999999,23.043,1.412,22.936,1.224
1888,23.655,2.013,23.271,1.751,23.104,1.397,22.882,1.211
1889,23.335,1.768,23.215,1.701,23.051,1.409,22.851,1.183
1890,23.161,1.4729999999999999,23.248,1.499,23.079,1.405,22.855999999999998,1.165
1891,23.081,1.45,23.028,1.309,23.005,1.3639999999999999,22.852,1.157
1892,23.007,1.3820000000000001,22.869,1.193,22.982,1.299,22.939,1.137
1893,22.557,1.18,22.84,1.1440000000000001,22.826,1.139,22.97,1.131
1894,22.539,1.3,22.649,1.052,22.816,1.025,22.949,1.138
1895,23.015,1.174,22.652,1.0110000000000001,22.789,1.009,22.957,1.131
1896,22.123,1.127,22.582,1.018,22.729,1.033,22.926,1.108
1897,23.025,1.2,22.717,1.084,22.835,1.023,22.912,1.089
1898,22.208,1.255,22.674,1.211,22.836,1.067,22.829,1.032
1899,23.213,1.526,22.973,1.206,22.847,1.075,22.788,1.028
1900,22.801,1.55,23.063,1.165,22.835,1.078,22.799,1.031
1901,23.618,1.1320000000000001,23.173,1.15,22.847,1.09,22.759,1.038
1902,23.475,1.258,23.043,1.109,22.841,1.087,22.726,1.037
1903,22.757,1.534,22.958,1.275,22.833,1.106,22.712,1.074
1904,22.565,1.417,22.789,1.301,22.76,1.112,22.71,1.073
1905,22.375,1.626,22.587,1.267,22.809,1.127,22.712,1.077
1906,22.771,1.274,22.466,1.187,22.789,1.13,22.729,1.096
1907,22.469,1.23,22.516,1.131,22.617,1.124,22.768,1.085
1908,22.151,1.198,22.654,1.107,22.588,1.098,22.832,1.081
1909,22.817,1.2,22.475,1.134,22.573,1.082,22.818,1.068
1910,23.064,1.203,22.581,1.182,22.589,1.1400000000000001,22.808,1.064
1911,21.875,1.3780000000000001,22.617,1.2469999999999999,22.612,1.165,22.759,1.047
1912,22.996,1.561,22.578,1.33,22.695,1.166,22.674,1.058
1913,22.335,1.494,22.57,1.321,22.832,1.161,22.674,1.077
1914,22.623,1.583,22.879,1.316,22.876,1.181,22.696,1.078
1915,23.021,1.2810000000000001,22.929,1.203,22.806,1.18,22.709,1.1
1916,23.422,1.146,22.988,1.149,22.728,1.155,22.731,1.108
1917,23.246,1.2770000000000001,23.046,1.103,22.731,1.138,22.747,1.1179999999999999
1918,22.63,1.1320000000000001,22.923,1.077,22.76,1.114,22.818,1.12
1919,22.91,1.134,22.619,1.085,22.819,1.111,22.864,1.116
1920,22.404,1.22,22.531,1.09,22.828,1.106,22.835,1.097
1921,21.906,1.134,22.611,1.1280000000000001,22.85,1.112,22.884,1.08
1922,22.803,1.226,22.668,1.143,22.799,1.121,22.925,1.071
1923,23.031,1.338,22.721,1.184,22.803,1.124,22.954,1.054
1924,23.197,1.169,22.994,1.173,22.852,1.117,22.953,1.042
1925,22.665,1.2650000000000001,23.036,1.167,22.863,1.107,22.983999999999998,1.033
1926,23.275,1.172,23.105999999999998,1.158,23.04,1.094,23.02,1.036
1927,23.012,1.201,23.033,1.126,23.119,1.075,22.992,1.03
1928,23.38,1.234,23.153,1.08,23.149,1.05,23.023,1.018
1929,22.832,1.058,23.192,1.053,23.088,1.024,23.031,1.0150000000000001
1930,23.268,1.139,23.213,1.034,23.14,1.0070000000000001,23.062,1.013
1931,23.467,1.027,23.1,1.016,23.189,1.009,23.143,1.014
1932,23.117,1.093,23.149,1.04,23.185,1.0070000000000001,23.195,1.012
1933,22.817,1.101,23.227,1.012,23.243,1.002,23.209,1.0070000000000001
1934,23.078,1.2610000000000001,23.216,1.02,23.209,1.01,23.204,1.001
1935,23.656,1.11,23.251,1.02,23.26,1.0110000000000001,23.221,1.002
1936,23.41,1.193,23.306,0.997,23.246,1.008,23.196,1.008
1937,23.292,1.242,23.34,1.031,23.27,0.997,23.217,1.001
1938,23.094,1.171,23.306,1.027,23.269,0.999,23.27,1.002
1939,23.247,1.11,23.435,1.021,23.321,1.006,23.223,1.0110000000000001
1940,23.487,1.017,23.386,1.04,23.303,1.026,23.186,1.009
1941,24.054,1.151,23.181,1.028,23.204,1.026,23.174,1.0070000000000001
1942,23.044999999999998,1.242,23.313,1.054,23.249,1.023,23.183,1.004
1943,22.073,1.1360000000000001,23.137999999999998,1.085,23.297,1.04,23.193,1.002
1944,23.907,1.171,22.916,1.07,23.237,1.059,23.185,1.001
1945,22.608999999999998,1.197,23.175,1.057,23.112,1.053,23.192,1.0
1946,22.947,1.071,23.386,1.084,23.103,1.051,23.198,1.0
1947,24.337,1.157,23.006,1.068,23.095,1.041,23.187,1.005
