year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,28.672,1.245,,,,,,
1877,28.804,1.131,,,,,,
1878,29.206,1.1059999999999999,28.826999999999998,0.958,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,,,,,,,,
1883,,,,,,,,
1884,,,,,,,,
1885,,,,,,,,
1886,,,,,,,,
1887,,,,,,,,
1888,,,,,,,,
1889,,,,,,,,
1890,,,,,,,,
1891,,,,,,,,
1892,,,,,,,,
1893,28.282,1.167,,,,,,
1894,28.53,1.202,28.533,0.984,,,,
1895,28.515,1.146,28.531,0.959,28.576999999999998,0.881,,
1896,28.629,1.109,28.632,0.9349999999999999,28.635,0.871,,
1897,28.701999999999998,1.1219999999999999,28.636,0.9189999999999999,28.648,0.873,28.671,0.828
1898,28.785,1.1749999999999998,28.733,0.873,28.691,0.854,28.659,0.827
1899,28.551,1.169,28.782,0.867,28.768,0.827,28.676,0.825
1900,28.997,1.21,28.752,0.858,28.73,0.8009999999999999,28.685,0.824
1901,28.875,1.059,28.877,0.8879999999999999,28.747,0.814,28.683,0.828
1902,28.551,1.2389999999999999,28.87,0.9089999999999999,28.781,0.818,28.675,0.826
1903,29.41,1.3969999999999998,28.728,0.824,28.715,0.816,28.704,0.813
1904,28.518,1.182,28.774,0.845,28.737,0.815,28.741,0.8059999999999999
1905,28.286,1.259,28.772,0.858,28.793,0.824,28.784,0.7959999999999999
