year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,34.557,1.065,,,,,,
1867,34.444,1.327,34.505,0.933,,,,
1868,34.398,1.358,34.438,1.021,34.35,0.8819999999999999,,
1869,34.505,1.346,34.397000000000006,1.064,34.38,0.8420000000000001,,
1870,34.285000000000004,1.508,34.367000000000004,1.041,34.333000000000006,0.8520000000000001,34.344,0.685
1871,34.354000000000006,1.275,34.36000000000001,1.012,34.291000000000004,0.883,34.36600000000001,0.655
1872,34.294000000000004,1.337,34.143,1.014,34.307,0.8280000000000001,34.381,0.633
1873,34.362,1.241,34.142,0.952,34.351000000000006,0.7929999999999999,34.395,0.614
1874,33.42,1.328,34.129000000000005,0.9119999999999999,34.418000000000006,0.792,34.42400000000001,0.593
1875,34.281000000000006,1.097,34.220000000000006,0.798,34.417,0.702,34.395,0.595
1876,34.288000000000004,0.994,34.377,0.687,34.386,0.6699999999999999,34.383,0.587
1877,34.75,0.9079999999999999,34.655,0.681,34.401,0.616,34.384,0.563
1878,35.147000000000006,0.819,34.628,0.5760000000000001,34.439,0.543,34.388000000000005,0.53
1879,34.811,0.8799999999999999,34.658,0.5860000000000001,34.467000000000006,0.483,34.372,0.515
1880,34.145,1.02,34.606,0.5680000000000001,34.457,0.476,34.359,0.45999999999999996
1881,34.435,1.16,34.516000000000005,0.6739999999999999,34.475,0.474,34.29900000000001,0.45799999999999996
1882,34.492000000000004,0.8320000000000001,34.361000000000004,0.712,34.462,0.506,34.31,0.437
1883,34.696000000000005,1.28,34.342000000000006,0.675,34.425000000000004,0.558,34.303000000000004,0.418
1884,34.038000000000004,0.911,34.35,0.677,34.326,0.6,34.321000000000005,0.418
1885,34.050000000000004,0.927,34.323,0.6659999999999999,34.300000000000004,0.569,34.32,0.432
1886,34.476000000000006,0.849,34.283,0.596,34.212,0.543,34.338,0.44
1887,34.354000000000006,0.905,34.297000000000004,0.614,34.218,0.575,34.32,0.46499999999999997
1888,34.496,1.002,34.227000000000004,0.5700000000000001,34.167,0.5700000000000001,34.332,0.472
1889,34.108000000000004,0.8400000000000001,34.098000000000006,0.608,34.176,0.5660000000000001,34.284000000000006,0.46599999999999997
1890,33.704,1.395,34.083000000000006,0.648,34.18300000000001,0.5880000000000001,34.31,0.478
1891,33.828,1.069,34.057,0.762,34.201,0.5780000000000001,34.347,0.514
1892,34.283,0.7829999999999999,34.029,0.8260000000000001,34.178000000000004,0.613,34.370000000000005,0.538
1893,34.36300000000001,1.028,34.136,0.736,34.239000000000004,0.659,34.365,0.554
1894,33.966,0.909,34.294000000000004,0.759,34.242000000000004,0.6659999999999999,34.36900000000001,0.5609999999999999
1895,34.239000000000004,0.974,34.396,0.7889999999999999,34.321000000000005,0.652,34.383,0.548
1896,34.620000000000005,0.9199999999999999,34.419000000000004,0.673,34.481,0.6579999999999999,34.36600000000001,0.528
1897,34.790000000000006,0.875,34.49,0.646,34.521,0.681,34.364000000000004,0.537
1898,34.483000000000004,0.751,34.633,0.651,34.562000000000005,0.6839999999999999,34.337,0.5549999999999999
1899,34.318000000000005,1.17,34.724000000000004,0.696,34.563,0.657,34.343,0.592
1900,34.955000000000005,0.915,34.705000000000005,0.786,34.583000000000006,0.618,34.36000000000001,0.567
