year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1846,,,,,,,,
1847,28.235,0.7,,,,,,
1848,28.317999999999998,0.831,,,,,,
1849,28.22,0.6930000000000001,,,,,,
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,28.826999999999998,1.766,,,,,,
1854,28.974999999999998,0.908,28.715,0.55,,,28.72,0.449
1855,28.927999999999997,1.1400000000000001,28.89,0.5840000000000001,,,28.698,0.437
1856,29.076,0.828,28.814,0.546,28.669,0.463,28.723,0.443
1857,28.645999999999997,1.096,28.753999999999998,0.641,28.765,0.448,28.712999999999997,0.46799999999999997
1858,28.445999999999998,1.388,28.715999999999998,0.862,28.846999999999998,0.655,28.784,0.518
1859,28.674999999999997,0.851,28.653,0.961,28.834999999999997,0.65,28.84,0.5589999999999999
1860,28.735,0.95,28.77,0.894,28.839,0.7130000000000001,28.912,0.627
1861,28.764,0.989,28.884,0.88,28.891,0.71,28.956999999999997,0.6890000000000001
1862,29.23,0.934,28.901999999999997,0.772,28.892,0.7050000000000001,29.044999999999998,0.744
1863,29.016,1.472,29.02,0.7010000000000001,28.973,0.729,29.118,0.774
1864,28.767,1.1099999999999999,29.141,0.6779999999999999,29.073999999999998,0.785,29.147,0.771
1865,29.323,1.056,29.08,0.786,29.172,0.832,29.174999999999997,0.773
1866,29.369,1.339,29.154999999999998,1.038,29.244,0.968,29.198999999999998,0.768
1867,28.924,1.111,29.369,1.1280000000000001,29.325,1.0230000000000001,29.206,0.737
1868,29.395,1.684,29.384,1.363,29.389,1.129,29.255,0.7
1869,29.834999999999997,1.564,29.458,1.419,29.459,1.1480000000000001,29.299,0.6739999999999999
1870,29.395,1.958,29.622999999999998,1.479,29.512,1.1800000000000002,29.308,0.654
1871,29.743,1.525,29.666999999999998,1.423,29.508,1.149,29.307,0.654
1872,29.747999999999998,1.726,29.634,1.355,29.520999999999997,1.056,29.319,0.644
1873,29.613999999999997,1.146,29.663999999999998,1.2229999999999999,29.537,0.92,29.317999999999998,0.654
1874,29.671,1.411,29.485999999999997,1.06,29.523999999999997,0.838,29.317,0.63
1875,29.546,1.167,29.419,0.8170000000000001,29.445,0.7190000000000001,29.304,0.631
1876,28.851,1.085,29.426,0.635,29.371,0.655,29.302999999999997,0.6020000000000001
1877,29.412,0.876,29.317999999999998,0.731,29.314,0.5640000000000001,29.308,0.552
1878,29.651,1.004,29.148,0.755,29.247,0.513,29.302,0.516
1879,29.131999999999998,0.985,29.211,0.679,29.174999999999997,0.509,29.294999999999998,0.476
1880,28.694,0.683,29.148999999999997,0.601,29.096,0.518,29.301,0.41900000000000004
