year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,,,,,,,,
1883,28.244000000000003,1.2189999999999999,28.147000000000002,0.837,,,,
1884,28.125,1.224,28.240000000000002,0.881,28.157,0.719,,
1885,28.148000000000003,1.355,28.233,0.886,28.203000000000003,0.71,,
1886,28.520000000000003,1.431,28.199,0.884,28.198,0.717,,
1887,28.128,1.153,28.262,0.868,28.199,0.739,28.288,0.654
1888,28.074,1.238,28.214000000000002,0.815,28.17,0.739,28.278000000000002,0.65
1889,28.438000000000002,1.116,28.132,0.8200000000000001,28.239,0.753,28.243000000000002,0.648
1890,27.91,1.2850000000000001,28.143,0.8240000000000001,28.273000000000003,0.753,28.258000000000003,0.654
1891,28.109,1.1829999999999998,28.25,0.833,28.287000000000003,0.764,28.311,0.677
1892,28.184,1.157,28.244000000000003,0.846,28.272000000000002,0.74,28.322000000000003,0.6819999999999999
1893,28.611,1.64,28.327,0.9119999999999999,28.311,0.733,28.336000000000002,0.6779999999999999
1894,28.407,1.213,28.371000000000002,0.899,28.330000000000002,0.731,28.329,0.6739999999999999
1895,28.324,1.252,28.417,0.9019999999999999,28.314,0.743,28.337000000000003,0.667
1896,28.328000000000003,1.202,28.392000000000003,0.859,28.423000000000002,0.772,28.342000000000002,0.6779999999999999
1897,28.416,1.158,28.368000000000002,0.8300000000000001,28.445,0.754,28.328000000000003,0.657
1898,28.485000000000003,1.174,28.412000000000003,0.8160000000000001,28.502000000000002,0.753,28.315,0.65
1899,28.286,1.139,28.546000000000003,0.8180000000000001,28.42,0.717,28.333000000000002,0.656
1900,28.544,1.119,28.557000000000002,0.81,28.400000000000002,0.708,28.343,0.645
1901,28.998,1.17,28.544,0.8240000000000001,28.396,0.707,28.365000000000002,0.649
1902,28.473000000000003,1.226,28.447000000000003,0.81,28.384,0.696,28.362000000000002,0.641
1903,28.416,1.263,28.353,0.8300000000000001,28.32,0.6930000000000001,28.394000000000002,0.644
1904,27.805000000000003,1.245,28.252000000000002,0.8089999999999999,28.336000000000002,0.705,28.393,0.628
1905,28.074,1.117,28.169,0.7789999999999999,28.373,0.685,28.395000000000003,0.623
1906,28.491000000000003,1.125,28.117,0.7749999999999999,28.306,0.677,28.404000000000003,0.62
1907,28.057000000000002,1.03,28.264000000000003,0.78,28.279000000000003,0.6679999999999999,28.429000000000002,0.611
1908,28.159000000000002,1.084,28.380000000000003,0.7729999999999999,28.287000000000003,0.6719999999999999,28.409000000000002,0.614
1909,28.540000000000003,1.073,28.252000000000002,0.77,28.365000000000002,0.6699999999999999,28.384,0.617
1910,28.652,1.1219999999999999,28.371000000000002,0.756,28.39,0.675,28.382,0.619
1911,27.852,1.133,28.462000000000003,0.752,28.413,0.6859999999999999,28.356,0.62
1912,28.651000000000003,1.055,28.486,0.763,28.474,0.679,28.343,0.615
1913,28.614,1.12,28.438000000000002,0.7849999999999999,28.499000000000002,0.673,28.358,0.606
1914,28.664,1.113,28.669,0.8029999999999999,28.432000000000002,0.667,28.388,0.609
1915,28.411,1.065,28.675,0.7949999999999999,28.39,0.673,28.393,0.616
1916,29.005000000000003,1.06,28.437,0.77,28.407,0.6859999999999999,28.385,0.636
1917,28.680000000000003,1.186,28.32,0.74,28.407,0.688,28.384,0.642
1918,27.424000000000003,1.081,28.303,0.752,28.429000000000002,0.6739999999999999,28.403000000000002,0.657
1919,28.081000000000003,1.2349999999999999,28.218,0.759,28.412000000000003,0.685,28.41,0.6739999999999999
1920,28.326,1.081,28.185000000000002,0.8009999999999999,28.396,0.711,28.391000000000002,0.675
1921,28.581000000000003,1.0150000000000001,28.360000000000003,0.772,28.357000000000003,0.736,28.382,0.6890000000000001
1922,28.512,0.9359999999999999,28.551000000000002,0.7909999999999999,28.293000000000003,0.756,28.414,0.703
1923,28.303,1.121,28.407,0.871,28.307000000000002,0.776,28.397000000000002,0.712
1924,29.033,1.298,28.396,0.9339999999999999,28.388,0.798,28.369000000000003,0.707
1925,27.609,1.349,28.357000000000003,1.0070000000000001,28.392000000000003,0.825,28.358,0.718
1926,28.523000000000003,1.055,28.35,1.0110000000000001,28.358,0.836,28.337000000000003,0.738
1927,28.315,1.081,28.282,0.9139999999999999,28.42,0.866,28.301000000000002,0.723
1928,28.267000000000003,1.377,28.355,0.8979999999999999,28.365000000000002,0.873,28.324,0.718
1929,28.696,0.988,28.358,0.878,28.327,0.831,28.380000000000003,0.734
1930,27.970000000000002,1.0979999999999999,28.361,0.865,28.319000000000003,0.8089999999999999,28.373,0.722
1931,28.540000000000003,1.112,28.471,0.778,28.318,0.817,28.380000000000003,0.716
1932,28.333000000000002,1.028,28.295,0.8140000000000001,28.309,0.7729999999999999,28.455000000000002,0.701
1933,28.816000000000003,0.985,28.355,0.7729999999999999,28.342000000000002,0.747,28.457,0.692
