year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,35.056,1.299,,,,,,
1880,34.504,1.262,34.836,0.867,,,,
1881,34.83,1.274,34.702,0.837,34.698,0.759,,
1882,34.54,1.2429999999999999,34.539,0.823,34.687,0.759,,
1883,34.58,1.27,34.522,0.815,34.604,0.752,34.528,0.736
1884,34.238,1.26,34.5,0.8260000000000001,34.483,0.758,34.552,0.734
1885,34.419,1.326,34.445,0.845,34.486,0.78,34.57,0.735
1886,34.722,1.307,34.388,0.851,34.407,0.873,34.592,0.7230000000000001
1887,34.268,1.23,34.446999999999996,0.926,34.387,0.91,34.586,0.708
1888,34.293,1.191,34.381,1.066,34.362,0.9,34.598,0.6900000000000001
1889,34.533,1.5150000000000001,34.256,1.1280000000000001,34.399,0.869,34.558,0.686
1890,34.089,1.518,34.307,1.127,34.442,0.8660000000000001,34.567,0.682
1891,34.099,1.468,34.324,1.0150000000000001,34.487,0.8240000000000001,34.591,0.677
1892,34.522,1.123,34.378,0.911,34.486,0.777,34.596,0.664
1893,34.375,1.2810000000000001,34.573,0.837,34.592999999999996,0.7310000000000001,34.608,0.652
1894,34.805,1.162,34.658,0.875,34.633,0.7250000000000001,34.6,0.66
1895,35.063,1.357,34.792,0.946,34.647999999999996,0.747,34.586999999999996,0.704
1896,34.525,1.146,34.952,0.944,34.775,0.805,34.559,0.72
1897,35.189,1.3330000000000002,34.907,0.9530000000000001,34.804,0.825,34.577999999999996,0.71
1898,35.175,1.3370000000000002,34.854,0.886,34.853,0.8320000000000001,34.589,0.7170000000000001
1899,34.582,1.191,34.961,0.88,34.801,0.817,34.602,0.7290000000000001
1900,34.798,1.074,34.908,0.827,34.732,0.855,34.612,0.745
1901,35.062,1.0510000000000002,34.769,0.809,34.632,0.873,34.674,0.768
1902,34.922,1.046,34.589999999999996,0.8300000000000001,34.671,0.8600000000000001,34.652,0.769
1903,34.478,1.217,34.444,0.9430000000000001,34.586,0.841,34.677,0.781
1904,33.689,1.7530000000000001,34.388,1.034,34.571,0.8260000000000001,34.725,0.751
1905,34.066,1.719,34.344,1.014,34.576,0.833,34.769999999999996,0.753
1906,34.786,1.391,34.363,1.073,34.574,0.837,34.778,0.746
1907,34.702,1.0030000000000001,34.544,1.002,34.5,0.853,34.815,0.761
1908,34.574,1.604,34.699,0.823,34.501,0.867,34.811,0.762
1909,34.592999999999996,1.062,34.627,0.899,34.649,0.774,34.795,0.732
1910,34.839,0.928,34.677,0.819,34.808,0.7090000000000001,34.778,0.7290000000000001
1911,34.425,0.9490000000000001,34.751,0.869,34.925,0.769,34.73,0.7270000000000001
1912,34.955999999999996,1.3330000000000002,35.002,0.88,34.958,0.792,34.714999999999996,0.738
1913,34.942,1.076,35.074999999999996,0.901,35.037,0.8260000000000001,34.735,0.745
1914,35.845,1.139,35.275,0.935,35.019,0.839,34.745,0.724
1915,35.207,1.255,35.365,0.9470000000000001,34.98,0.8160000000000001,34.795,0.6910000000000001
1916,35.427,1.1600000000000001,35.262,0.9910000000000001,34.885999999999996,0.791,34.852,0.718
1917,35.406,1.3439999999999999,35.042,0.898,34.93,0.78,34.867,0.7270000000000001
1918,34.425,0.994,34.755,0.781,34.967999999999996,0.763,34.896,0.718
1919,34.744,1.2080000000000002,34.531,0.784,34.841,0.756,34.911,0.747
1920,33.774,1.078,34.502,0.835,34.781,0.742,34.868,0.724
1921,34.304,1.2189999999999999,34.547,0.8580000000000001,34.778,0.75,34.865,0.706
1922,35.260999999999996,0.9810000000000001,34.623,0.75,34.775,0.761,34.931,0.71
1923,34.653,0.94,34.789,0.737,34.756,0.7150000000000001,34.952999999999996,0.7130000000000001
1924,35.124,1.086,34.972,0.932,34.803,0.712,34.924,0.6890000000000001
1925,34.602,1.02,34.933,0.914,34.757,0.675,34.902,0.665
