year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1853,29.237000000000002,1.7289999999999999,,,,,,
1854,,,,,,,,
1855,,,29.19,0.831,,,,
1856,29.576,1.4469999999999998,29.066000000000003,0.8320000000000001,28.954,0.714,,
1857,28.714000000000002,1.276,28.989,0.901,29.056,0.702,,
1858,28.619,1.607,28.973,1.032,29.162,0.88,,
1859,28.94,1.164,28.896,1.104,29.134,0.878,,
1860,29.015,1.209,29.089000000000002,1.049,29.102,0.874,29.163,0.77
1861,29.194,1.4949999999999999,29.240000000000002,1.066,29.162,0.876,29.192,0.817
1862,,,29.189,0.97,29.109,0.8999999999999999,29.259,0.838
1863,,,29.307000000000002,0.883,29.194,0.9450000000000001,29.333000000000002,0.876
1864,28.686,1.111,29.315,0.802,29.256,0.94,29.331,0.862
1865,29.604,1.093,29.201,0.9339999999999999,29.399,0.919,29.342000000000002,0.861
1866,29.235,1.509,29.18,1.201,29.43,0.9890000000000001,29.385,0.84
1867,29.105,1.6019999999999999,29.528000000000002,1.148,29.463,1.011,29.397000000000002,0.81
1868,29.27,2.181,29.531000000000002,1.297,29.504,1.035,29.472,0.8069999999999999
1869,30.424,1.785,29.616,1.334,29.528000000000002,1.019,29.553,0.8029999999999999
1870,29.619,1.674,29.759,1.269,29.582,1.037,29.565,0.808
1871,29.662,1.42,29.874000000000002,1.253,29.608,0.988,29.584,0.79
1872,29.822,1.4549999999999998,29.636,1.06,29.685000000000002,0.9510000000000001,29.586000000000002,0.769
1873,29.845000000000002,1.167,29.683,0.964,29.749000000000002,0.921,29.560000000000002,0.751
1874,29.23,1.096,29.666,0.954,29.85,0.9450000000000001,29.59,0.738
1875,29.855,1.116,29.673000000000002,0.857,29.732,0.851,29.594,0.747
1876,29.575,1.208,29.788,0.819,29.739,0.788,29.574,0.736
1877,29.858,0.935,29.900000000000002,0.833,29.709,0.725,29.637,0.718
1878,30.424,1.038,29.773,0.7829999999999999,29.617,0.634,29.657,0.6890000000000001
1879,29.785,1.361,29.805,0.714,29.651,0.631,29.668,0.69
1880,29.224,1.042,29.657,0.665,29.605,0.6659999999999999,29.642,0.643
1881,29.736,1.04,29.470000000000002,0.694,29.541,0.66,29.652,0.629
1882,29.116,1.051,29.374000000000002,0.756,29.59,0.6719999999999999,29.616,0.644
1883,29.488,1.087,29.352,0.872,29.565,0.6759999999999999,29.591,0.606
1884,29.309,1.149,29.351,0.896,29.486,0.7050000000000001,29.578,0.639
1885,29.114,1.072,29.490000000000002,0.7869999999999999,29.553,0.755,29.557000000000002,0.651
1886,29.728,1.024,29.529,0.764,29.565,0.735,29.541,0.641
1887,29.815,1.4409999999999998,29.668,0.885,29.522000000000002,0.748,29.537,0.644
1888,29.683,1.023,29.79,0.9630000000000001,29.566,0.738,29.529,0.649
1889,30.003,1.371,29.69,0.994,29.505,0.752,29.478,0.648
1890,29.720000000000002,0.976,29.626,0.837,29.51,0.7769999999999999,29.475,0.659
1891,29.23,1.246,29.539,0.81,29.542,0.794,29.485,0.646
1892,29.493000000000002,1.095,29.362000000000002,0.751,29.484,0.754,29.51,0.651
1893,29.251,0.9670000000000001,29.301000000000002,0.747,29.493000000000002,0.716,29.538,0.641
1894,29.116,1.005,29.314,0.713,29.470000000000002,0.659,29.553,0.64
1895,29.414,0.835,29.400000000000002,0.6890000000000001,29.398,0.632,29.568,0.651
1896,29.296,0.744,29.473,0.637,29.405,0.614,29.579,0.657
1897,29.921,0.972,29.514,0.611,29.498,0.632,29.549,0.644
1898,29.62,0.7889999999999999,29.495,0.575,29.511,0.588,29.548000000000002,0.629
1899,29.321,1.032,29.694,0.61,29.602,0.628,29.555,0.621
1900,29.315,0.921,29.583000000000002,0.578,29.627000000000002,0.661,29.533,0.604
1901,30.292,1.094,29.681,0.751,29.617,0.611,29.516000000000002,0.594
1902,29.366,0.873,29.688000000000002,0.88,29.613,0.599,29.560000000000002,0.599
1903,30.111,1.8179999999999998,29.693,0.7749999999999999,29.603,0.601,29.562,0.581
1904,29.358,0.896,29.547,0.685,29.639,0.634,29.581,0.574
1905,29.338,0.9770000000000001,29.614,0.6890000000000001,29.668,0.655,29.602,0.5589999999999999
1906,29.563000000000002,1.131,29.548000000000002,0.7110000000000001,29.628,0.638,29.625,0.538
1907,29.7,0.9279999999999999,29.622,0.772,29.622,0.629,29.621000000000002,0.537
1908,29.782,0.899,29.599,0.7769999999999999,29.613,0.649,29.583000000000002,0.539
1909,29.726,0.9079999999999999,29.597,0.76,29.560000000000002,0.665,29.59,0.543
1910,29.222,0.9690000000000001,29.650000000000002,0.719,29.576,0.643,29.625,0.543
1911,29.554000000000002,1.0,29.59,0.706,29.632,0.613,29.606,0.529
1912,29.964000000000002,0.743,29.494,0.621,29.63,0.606,29.586000000000002,0.529
1913,29.483,0.817,29.635,0.6679999999999999,29.564,0.588,29.594,0.5529999999999999
1914,29.248,1.172,29.684,0.596,29.541,0.5609999999999999,29.594,0.5700000000000001
1915,29.926000000000002,1.482,29.576,0.655,29.582,0.529,29.608,0.581
1916,29.797,1.261,29.48,0.6739999999999999,29.585,0.499,29.618000000000002,0.545
1917,29.423000000000002,1.203,29.591,0.5609999999999999,29.551000000000002,0.542,29.639,0.545
1918,29.004,0.708,29.579,0.556,29.575,0.574,29.643,0.53
1919,29.803,1.214,29.446,0.569,29.629,0.5680000000000001,29.644000000000002,0.523
1920,29.869,0.782,29.551000000000002,0.602,29.639,0.593,29.661,0.526
1921,29.131,1.228,29.708000000000002,0.624,29.603,0.589,29.711000000000002,0.516
1922,29.949,0.9989999999999999,29.71,0.716,29.649,0.556,29.727,0.515
1923,29.785,0.9159999999999999,29.652,0.747,29.722,0.544,29.734,0.52
1924,29.814,0.862,29.821,0.639,29.747,0.554,29.755,0.53
1925,29.581,0.658,29.798000000000002,0.615,29.740000000000002,0.601,29.757,0.536
1926,29.976,0.861,29.807000000000002,0.595,29.838,0.596,29.746000000000002,0.5549999999999999
1927,29.832,0.825,29.786,0.611,29.904,0.576,29.754,0.536
1928,29.834,0.681,29.873,0.62,29.893,0.572,29.783,0.537
1929,29.709,0.696,29.918,0.589,29.88,0.571,29.785,0.543
1930,30.014,0.704,29.969,0.62,29.875,0.565,29.776,0.5529999999999999
1931,30.203,0.962,29.982,0.631,29.889,0.59,29.811,0.5700000000000001
1932,30.086000000000002,0.692,29.961000000000002,0.659,29.859,0.577,29.85,0.576
1933,29.898,0.887,29.898,0.639,29.844,0.594,29.855,0.583
