year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1875,,,,,,,,
1876,27.858,0.794,,,,,,
1877,27.103,0.891,27.884,0.603,,,,
1878,27.622,0.8620000000000001,27.704,0.599,27.709,0.491,,
1879,27.957,0.756,27.688,0.5780000000000001,27.718,0.463,,
1880,27.980999999999998,0.583,27.759,0.565,27.644,0.455,27.588,0.46
1881,27.778,0.8140000000000001,27.684,0.488,27.434,0.521,27.569,0.462
1882,27.457,0.851,27.575,0.523,27.421,0.493,27.576,0.466
1883,27.246,0.758,27.189,0.604,27.477,0.482,27.596,0.47000000000000003
1884,27.414,0.656,27.093,0.5569999999999999,27.456,0.482,27.578,0.474
1885,26.05,0.784,27.211,0.504,27.503,0.538,27.564,0.491
1886,27.301,0.567,27.301,0.531,27.415,0.517,27.543,0.508
1887,28.047,0.522,27.36,0.527,27.394,0.518,27.57,0.516
1888,27.695,0.752,27.758,0.526,27.483999999999998,0.5489999999999999,27.598,0.512
1889,27.708,0.7949999999999999,27.598,0.63,27.437,0.563,27.605,0.498
1890,28.042,0.8009999999999999,27.796,0.681,27.483999999999998,0.5920000000000001,27.645,0.524
1891,26.496,1.023,27.591,0.728,27.653,0.591,27.628,0.513
1892,29.039,0.7969999999999999,27.524,0.726,27.719,0.623,27.661,0.5
1893,26.67,0.8839999999999999,27.49,0.7410000000000001,27.718,0.624,27.726,0.502
1894,27.374,0.742,27.858999999999998,0.645,27.754,0.5680000000000001,27.716,0.52
1895,27.87,0.7050000000000001,27.551,0.619,27.787,0.558,27.765,0.526
1896,28.344,0.53,27.858,0.517,27.842,0.552,27.792,0.526
1897,27.499,0.6619999999999999,28.04,0.466,27.928,0.51,27.802,0.531
1898,28.206,0.5549999999999999,28.108999999999998,0.458,27.967,0.474,27.771,0.526
1899,28.283,0.5800000000000001,27.963,0.487,27.995,0.505,27.748,0.501
1900,28.215,0.5900000000000001,28.284,0.448,28.044999999999998,0.498,27.72,0.488
1901,27.61,0.7210000000000001,28.117,0.554,27.931,0.501,27.716,0.472
1902,29.108,0.533,28.027,0.5680000000000001,27.884,0.482,27.714,0.445
1903,27.369,1.022,27.769,0.595,27.824,0.474,27.713,0.436
1904,27.832,0.655,27.693,0.53,27.741,0.46900000000000003,27.744,0.434
1905,26.924,0.724,27.386,0.565,27.652,0.448,27.743,0.42200000000000004
1906,27.231,0.579,27.485,0.41600000000000004,27.591,0.41600000000000004,27.76,0.427
1907,27.573999999999998,0.476,27.348,0.379,27.5,0.399,27.736,0.434
1908,27.866,0.558,27.443,0.354,27.459,0.42200000000000004,27.687,0.437
1909,27.146,0.463,27.469,0.362,27.493,0.402,27.669,0.442
1910,27.4,0.567,27.548,0.40800000000000003,27.44,0.41400000000000003,27.644,0.436
1911,27.36,0.456,27.482,0.487,27.589,0.435,27.634,0.452
1912,27.967,0.601,27.547,0.503,27.587,0.463,27.617,0.479
1913,27.535,0.6859999999999999,27.636,0.501,27.551,0.501,27.578,0.489
1914,27.47,0.651,27.828,0.5780000000000001,27.597,0.514,27.58,0.487
1915,27.848,0.5449999999999999,27.743,0.598,27.635,0.526,27.569,0.483
1916,28.321,0.7290000000000001,27.639,0.587,27.677,0.5609999999999999,27.613,0.475
1917,27.539,0.7070000000000001,27.728,0.5740000000000001,27.733999999999998,0.595,27.603,0.463
1918,27.015,0.651,27.601,0.591,27.696,0.5840000000000001,27.613,0.458
1919,27.915,0.5549999999999999,27.684,0.623,27.667,0.5840000000000001,27.646,0.44
1920,27.215,0.633,27.694,0.637,27.699,0.5660000000000001,27.647,0.448
1921,28.733999999999998,1.071,27.765,0.661,27.637,0.544,27.675,0.443
1922,27.591,0.821,27.667,0.6839999999999999,27.619,0.501,27.688,0.434
1923,27.367,0.764,27.777,0.645,27.675,0.463,27.668,0.429
