year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1853,,,,,,,,
1854,30.345,0.835,,,,,,
1855,30.035,1.017,29.977,0.714,,,,
1856,29.663999999999998,0.895,29.924,0.722,,,,
1857,29.494999999999997,1.124,29.862,0.779,29.913,0.615,,
1858,,,29.828,0.905,29.997999999999998,0.752,,
1859,30.035999999999998,1.001,29.834999999999997,0.948,,,,
1860,29.865,1.054,29.99,0.896,,,,
1861,29.7,1.0470000000000002,,,,,,
1862,,,,,,,30.198999999999998,0.611
1863,,,,,,,30.252,0.654
1864,,,,,,,30.253999999999998,0.624
1865,,,,,,,30.250999999999998,0.617
1866,30.576,1.2469999999999999,,,,,30.29,0.61
1867,30.512999999999998,0.851,30.639,0.738,,,30.325,0.5920000000000001
1868,30.608999999999998,0.995,30.634999999999998,0.825,30.506,0.7250000000000001,30.354,0.579
1869,30.747999999999998,1.261,30.637,0.801,30.561999999999998,0.685,30.406,0.5609999999999999
1870,30.727,1.116,30.610999999999997,0.86,30.544,0.7,30.419999999999998,0.5449999999999999
1871,30.59,0.899,30.613,0.871,30.526,0.7130000000000001,30.413,0.548
1872,30.378999999999998,1.117,30.476,0.808,30.497,0.7110000000000001,30.432,0.5509999999999999
1873,30.618,1.0150000000000001,30.45,0.8210000000000001,30.491,0.7110000000000001,30.412,0.5529999999999999
1874,30.063,1.06,30.374,0.801,30.522,0.724,30.427,0.5469999999999999
1875,30.598,1.037,30.357,0.745,30.483999999999998,0.667,30.384999999999998,0.5509999999999999
1876,30.212999999999997,0.96,30.401,0.6950000000000001,30.395999999999997,0.651,30.349,0.538
1877,30.294,0.893,30.534,0.698,30.38,0.616,30.331999999999997,0.509
1878,30.837999999999997,0.864,30.404999999999998,0.6699999999999999,30.319,0.581,30.297,0.498
1879,30.724999999999998,0.871,30.372,0.636,30.291999999999998,0.5660000000000001,30.279,0.489
1880,29.958,0.831,30.328,0.613,30.227,0.562,30.31,0.451
1881,30.044,0.841,30.179,0.5920000000000001,30.171999999999997,0.5660000000000001,30.302999999999997,0.449
1882,30.078,0.773,30.009,0.619,30.166999999999998,0.536,30.305,0.44
1883,30.090999999999998,0.803,29.948,0.5980000000000001,30.104,0.521,30.256,0.434
1884,29.872999999999998,0.783,29.954,0.581,30.035,0.521,30.241999999999997,0.433
1885,29.657,0.803,29.935,0.565,30.136,0.5760000000000001,30.233999999999998,0.439
1886,30.073,0.886,29.948999999999998,0.552,30.211,0.538,30.227999999999998,0.454
1887,29.98,0.786,30.16,0.61,30.23,0.523,30.247999999999998,0.44
1888,30.162,0.6859999999999999,30.384,0.6819999999999999,30.194,0.517,30.247,0.438
1889,30.927999999999997,1.186,30.45,0.642,30.192,0.508,30.230999999999998,0.43000000000000005
1890,30.776,0.993,30.509,0.6020000000000001,30.24,0.508,30.246,0.433
1891,30.406,0.72,30.424,0.591,30.282999999999998,0.522,30.293,0.438
1892,30.273999999999997,0.762,30.270999999999997,0.5640000000000001,30.329,0.488,30.302999999999997,0.434
1893,29.735,0.732,30.153,0.604,30.391,0.504,30.320999999999998,0.434
1894,30.163999999999998,0.956,30.15,0.5760000000000001,30.426,0.507,30.331999999999997,0.432
1895,30.185,0.6839999999999999,30.244,0.5469999999999999,30.355999999999998,0.548,30.352,0.433
1896,30.39,0.611,30.419999999999998,0.562,30.375999999999998,0.5589999999999999,30.381,0.44
1897,30.744,0.741,30.485999999999997,0.5660000000000001,30.375999999999998,0.5449999999999999,30.395999999999997,0.432
1898,30.616,0.842,30.576,0.644,30.448,0.536,30.407999999999998,0.42900000000000005
1899,30.496,0.969,30.645,0.64,30.471999999999998,0.508,30.407999999999998,0.42600000000000005
1900,30.634999999999998,1.054,30.564999999999998,0.591,30.465,0.478,30.369999999999997,0.436
1901,30.733999999999998,0.759,30.531,0.5569999999999999,30.477999999999998,0.47,30.366,0.432
1902,30.342,1.014,30.426,0.51,30.462999999999997,0.473,30.369,0.42700000000000005
1903,30.447,0.718,30.369999999999997,0.53,30.424999999999997,0.454,30.432,0.41700000000000004
1904,29.973,0.734,30.346,0.496,30.391,0.42900000000000005,30.45,0.396
1905,30.355,0.5529999999999999,30.311,0.42200000000000004,30.384999999999998,0.41700000000000004,30.491,0.38
1906,30.616,0.6819999999999999,30.269,0.379,30.357,0.398,30.523,0.379
1907,30.165,0.5900000000000001,30.355999999999998,0.395,30.363,0.376,30.512,0.381
1908,30.237,0.474,30.369,0.41600000000000004,30.415,0.35,30.49,0.381
1909,30.406,0.488,30.322,0.389,30.429,0.34500000000000003,30.456999999999997,0.368
1910,30.422,0.63,30.511,0.368,30.517,0.351,30.455,0.359
1911,30.383,0.497,30.57,0.367,30.567999999999998,0.354,30.441,0.367
1912,31.107,0.5760000000000001,30.596999999999998,0.375,30.561,0.358,30.436999999999998,0.367
1913,30.531,0.5549999999999999,30.75,0.391,30.554,0.374,30.435,0.358
1914,30.544,0.43100000000000005,30.773999999999997,0.406,30.523999999999997,0.39,30.43,0.356
1915,31.188,0.534,30.616,0.41200000000000003,30.526,0.392,30.453,0.368
1916,30.500999999999998,0.61,30.471,0.46399999999999997,30.523999999999997,0.402,30.435,0.367
1917,30.314999999999998,0.5429999999999999,30.488,0.46599999999999997,30.509999999999998,0.41600000000000004,30.436,0.368
1918,29.807,0.632,30.320999999999998,0.473,30.455,0.439,30.464,0.374
1919,30.628999999999998,0.5800000000000001,30.301,0.487,30.432,0.449,30.471,0.38
1920,30.354,0.5680000000000001,30.325,0.504,30.39,0.432,30.465,0.386
1921,30.401999999999997,0.536,30.391,0.497,30.302,0.42100000000000004,30.480999999999998,0.383
1922,30.433999999999997,0.508,30.366,0.449,30.311,0.41400000000000003,30.499,0.378
1923,30.134,0.541,30.325,0.41200000000000003,30.372999999999998,0.41700000000000004,30.471,0.389
1924,30.505,0.49,30.340999999999998,0.388,30.418,0.40700000000000003,30.474999999999998,0.392
1925,30.151999999999997,0.448,30.337,0.392,30.404,0.41400000000000003,30.432,0.391
1926,30.483,0.443,30.445,0.389,30.438,0.399,30.407999999999998,0.394
1927,30.413999999999998,0.517,30.413,0.41900000000000004,30.488,0.384,30.424999999999997,0.394
1928,30.669999999999998,0.494,30.477999999999998,0.42900000000000005,30.487,0.388,30.462,0.392
1929,30.348,0.523,30.621,0.42200000000000004,30.517999999999997,0.386,30.485,0.388
1930,30.474999999999998,0.463,30.605999999999998,0.40700000000000003,30.474,0.4,30.494,0.386
1931,31.2,0.447,30.586,0.403,30.515,0.398,30.506999999999998,0.374
1932,30.336,0.42900000000000005,30.541,0.385,30.538999999999998,0.401,30.535,0.361
1933,30.57,0.443,30.517,0.395,30.551,0.405,30.547,0.358
1934,30.122999999999998,0.501,30.4,0.432,30.552,0.41600000000000004,30.576999999999998,0.356
1935,30.357,0.507,30.502,0.472,30.583,0.42700000000000005,30.602999999999998,0.364
1936,30.610999999999997,0.525,30.5,0.484,30.576,0.432,30.631,0.376
1937,30.848,0.647,30.584,0.506,30.581999999999997,0.437,30.662,0.399
1938,30.561999999999998,0.507,30.636,0.508,30.607,0.437,30.663999999999998,0.41000000000000003
1939,30.544,0.5880000000000001,30.712,0.501,30.637,0.44,30.674999999999997,0.42000000000000004
1940,30.616999999999997,0.5720000000000001,30.697,0.452,30.730999999999998,0.45,30.683999999999997,0.42700000000000005
1941,30.99,0.6719999999999999,30.727,0.461,30.747999999999998,0.453,30.663999999999998,0.42200000000000004
1942,30.77,0.726,30.787,0.495,30.785999999999998,0.482,30.654999999999998,0.42400000000000004
1943,30.714,0.751,30.823999999999998,0.523,30.778,0.5,30.666,0.42500000000000004
1944,30.842,0.735,30.823,0.567,30.798,0.513,30.683999999999997,0.41800000000000004
1945,30.802,0.661,30.871,0.644,30.784,0.535,30.718999999999998,0.41400000000000003
1946,30.987,0.84,30.871,0.671,30.752,0.539,30.721999999999998,0.41000000000000003
1947,31.009,0.982,30.825,0.652,30.729,0.532,30.706999999999997,0.41200000000000003
1948,30.715,0.688,30.73,0.639,30.724999999999998,0.512,30.712,0.41100000000000003
1949,30.608999999999998,0.515,30.641,0.5489999999999999,30.730999999999998,0.488,30.738,0.40800000000000003
1950,30.326,0.7150000000000001,30.599,0.461,30.706,0.46399999999999997,30.753,0.41000000000000003
1951,30.544999999999998,0.499,30.576999999999998,0.42800000000000005,30.695,0.42500000000000004,30.755,0.41600000000000004
1952,30.798,0.463,30.656,0.396,30.628,0.405,30.747999999999998,0.41300000000000003
1953,30.607,0.369,30.697,0.364,30.645999999999997,0.384,30.74,0.40800000000000003
1954,31.003999999999998,0.397,30.692,0.362,30.679,0.367,30.735999999999997,0.396
1955,30.531,0.401,30.65,0.375,30.721999999999998,0.34500000000000003,30.715,0.379
1956,30.519,0.489,30.756,0.363,30.756999999999998,0.335,30.711,0.362
1957,30.587999999999997,0.47,30.74,0.357,30.766,0.333,30.701999999999998,0.354
1958,31.137999999999998,0.399,30.811999999999998,0.369,30.755,0.336,30.689,0.34500000000000003
1959,30.921,0.379,30.849,0.356,30.74,0.343,30.703,0.34500000000000003
1960,30.894,0.404,30.855,0.366,30.724,0.348,30.733999999999998,0.346
1961,30.701999999999998,0.386,30.709,0.341,30.727,0.341,30.756999999999998,0.34500000000000003
1962,30.621,0.41100000000000003,30.711,0.335,30.775,0.329,30.741999999999997,0.34400000000000003
1963,30.404999999999998,0.401,30.598,0.337,30.732,0.329,30.762999999999998,0.341
1964,30.93,0.42500000000000004,30.653,0.347,30.727,0.34500000000000003,30.772,0.34400000000000003
1965,30.333,0.41100000000000003,30.671,0.371,30.744999999999997,0.359,30.766,0.34400000000000003
1966,30.974999999999998,0.365,30.74,0.38,30.756999999999998,0.359,30.773999999999997,0.342
1967,30.712,0.405,30.767,0.382,30.717,0.364,30.761,0.327
1968,30.750999999999998,0.476,30.909,0.388,30.772,0.354,30.732,0.315
1969,31.064999999999998,0.40700000000000003,30.793,0.381,30.802999999999997,0.355,30.698,0.309
1970,31.044,0.437,30.782999999999998,0.386,30.808,0.348,30.698999999999998,0.313
1971,30.392,0.436,30.916,0.361,30.822,0.352,30.698,0.313
1972,30.662,0.48,30.823,0.385,30.747,0.335,30.703,0.313
1973,31.416,0.34,30.77,0.392,30.730999999999998,0.318,30.714,0.311
1974,30.601,0.41800000000000004,30.753999999999998,0.361,30.669999999999998,0.314,30.735,0.31
