year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1881,,,,,,,,
1882,-0.303,1.3570000000000002,,,,,,
1883,-0.247,1.334,-0.377,0.599,,,,
1884,-0.34099999999999997,1.33,-0.348,0.597,-0.328,0.44,,
1885,-0.577,1.354,-0.302,0.5840000000000001,-0.31,0.423,,
1886,-0.274,1.3090000000000002,-0.316,0.565,-0.28,0.419,-0.271,0.363
1887,-0.07200000000000001,1.158,-0.29200000000000004,0.552,-0.278,0.423,-0.276,0.359
1888,-0.316,1.059,-0.227,0.536,-0.344,0.416,-0.279,0.35
1889,-0.221,1.0579999999999998,-0.217,0.525,-0.329,0.408,-0.29900000000000004,0.344
1890,-0.251,1.057,-0.28300000000000003,0.5269999999999999,-0.28700000000000003,0.40199999999999997,-0.29400000000000004,0.33799999999999997
1891,-0.223,1.065,-0.381,0.506,-0.323,0.384,-0.276,0.33199999999999996
1892,-0.403,1.075,-0.29900000000000004,0.494,-0.327,0.381,-0.24,0.33499999999999996
1893,-0.808,1.004,-0.421,0.48,-0.318,0.365,-0.253,0.33599999999999997
1894,0.192,1.0230000000000001,-0.447,0.458,-0.269,0.357,-0.265,0.33299999999999996
1895,-0.861,0.864,-0.389,0.461,-0.279,0.358,-0.22,0.32799999999999996
1896,-0.355,0.867,-0.278,0.446,-0.271,0.361,-0.23399999999999999,0.321
1897,-0.114,0.9329999999999999,-0.245,0.475,-0.202,0.376,-0.216,0.318
1898,-0.251,0.921,-0.11800000000000001,0.458,-0.162,0.399,-0.26,0.309
1899,0.355,0.948,0.03,0.462,-0.2,0.39,-0.273,0.307
1900,-0.227,0.825,-0.009000000000000008,0.482,-0.153,0.387,-0.269,0.307
1901,0.384,0.841,-0.0020000000000000018,0.507,-0.14500000000000002,0.37,-0.281,0.308
1902,-0.306,0.901,-0.174,0.44,-0.10500000000000001,0.372,-0.272,0.306
1903,-0.216,0.969,-0.171,0.454,-0.203,0.359,-0.276,0.317
1904,-0.508,0.859,-0.23,0.441,-0.278,0.33899999999999997,-0.278,0.315
1905,-0.21100000000000002,0.896,-0.238,0.424,-0.26,0.33399999999999996,-0.276,0.317
1906,0.091,0.9369999999999999,-0.394,0.413,-0.29000000000000004,0.33099999999999996,-0.266,0.315
1907,-0.346,0.863,-0.441,0.415,-0.34099999999999997,0.322,-0.28400000000000003,0.311
1908,-0.995,0.855,-0.373,0.426,-0.39,0.321,-0.28800000000000003,0.306
1909,-0.746,0.868,-0.488,0.432,-0.356,0.319,-0.328,0.299
1910,0.132,0.846,-0.44,0.415,-0.399,0.32899999999999996,-0.328,0.294
1911,-0.485,0.861,-0.414,0.421,-0.387,0.33399999999999996,-0.312,0.294
1912,-0.10700000000000001,0.8109999999999999,-0.28400000000000003,0.426,-0.464,0.32399999999999995,-0.327,0.28400000000000003
1913,-0.863,0.729,-0.33999999999999997,0.445,-0.373,0.32399999999999995,-0.312,0.281
1914,-0.095,0.754,-0.38,0.413,-0.378,0.33699999999999997,-0.311,0.28300000000000003
1915,-0.149,0.742,-0.478,0.392,-0.395,0.32799999999999996,-0.319,0.28800000000000003
1916,-0.685,0.596,-0.32,0.392,-0.333,0.32799999999999996,-0.28800000000000003,0.29000000000000004
1917,-0.599,0.661,-0.506,0.387,-0.314,0.33299999999999996,-0.32,0.292
1918,-0.07300000000000001,0.63,-0.364,0.385,-0.235,0.33099999999999996,-0.28300000000000003,0.294
1919,-1.024,0.722,-0.185,0.43,-0.267,0.33599999999999997,-0.28800000000000003,0.295
1920,0.5589999999999999,0.896,-0.128,0.419,-0.239,0.344,-0.33,0.294
1921,0.21100000000000002,0.756,-0.216,0.44,-0.188,0.34199999999999997,-0.355,0.297
1922,-0.313,0.714,-0.07400000000000001,0.421,-0.177,0.344,-0.34199999999999997,0.302
1923,-0.511,0.707,-0.174,0.40399999999999997,-0.192,0.33499999999999996,-0.28300000000000003,0.3
1924,-0.318,0.742,-0.199,0.379,-0.197,0.32499999999999996,-0.308,0.301
1925,0.059,0.743,-0.249,0.371,-0.266,0.315,-0.271,0.3
1926,0.087,0.5640000000000001,-0.223,0.358,-0.377,0.3,-0.261,0.3
1927,-0.562,0.523,-0.374,0.314,-0.371,0.304,-0.199,0.304
1928,-0.382,0.483,-0.521,0.3,-0.331,0.304,-0.19,0.303
1929,-1.073,0.456,-0.737,0.305,-0.349,0.302,-0.127,0.298
1930,-0.673,0.445,-0.499,0.301,-0.304,0.3,-0.084,0.298
1931,-0.996,0.43,-0.505,0.309,-0.33499999999999996,0.305,-0.10400000000000001,0.3
1932,0.632,0.484,-0.194,0.351,-0.221,0.313,-0.16,0.301
1933,-0.414,0.443,-0.013999999999999999,0.354,-0.188,0.322,-0.166,0.298
1934,0.483,0.419,0.133,0.373,-0.05700000000000001,0.33099999999999996,-0.07900000000000001,0.293
1935,0.22499999999999998,0.452,0.098,0.378,0.097,0.33299999999999996,-0.052000000000000005,0.28900000000000003
1936,-0.261,0.449,0.333,0.367,0.16799999999999998,0.32999999999999996,-0.061,0.29100000000000004
1937,0.45499999999999996,0.438,0.328,0.357,0.05099999999999999,0.32599999999999996,-0.07300000000000001,0.292
1938,0.763,0.33299999999999996,0.325,0.344,-0.0010000000000000009,0.314,-0.052000000000000005,0.29100000000000004
1939,0.45599999999999996,0.33099999999999996,0.176,0.32,0.192,0.308,0.046999999999999986,0.292
1940,0.21399999999999997,0.355,-0.101,0.29000000000000004,0.201,0.298,0.091,0.28800000000000003
1941,-1.0070000000000001,0.313,-0.01100000000000001,0.279,0.21300000000000002,0.297,0.12,0.28200000000000003
1942,-0.929,0.312,0.063,0.28300000000000003,0.07499999999999998,0.29100000000000004,0.132,0.28
1943,1.213,0.305,0.037000000000000005,0.28300000000000003,0.08499999999999999,0.276,0.08099999999999999,0.273
1944,0.825,0.298,0.2,0.29000000000000004,0.15000000000000002,0.27,0.126,0.272
1945,0.08499999999999999,0.355,0.27,0.28700000000000003,0.08499999999999999,0.26,0.124,0.268
1946,-0.195,0.375,0.16799999999999998,0.276,0.07200000000000001,0.253,0.10300000000000001,0.259
1947,-0.5780000000000001,0.28300000000000003,0.16599999999999998,0.263,0.21399999999999997,0.25,0.06,0.248
1948,0.705,0.255,0.10699999999999998,0.241,0.16299999999999998,0.249,0.04199999999999998,0.239
1949,0.813,0.241,0.036000000000000004,0.22899999999999998,0.06,0.249,-0.021000000000000005,0.239
1950,-0.20800000000000002,0.246,0.22099999999999997,0.22999999999999998,0.04799999999999999,0.249,-0.045,0.23399999999999999
1951,-0.5509999999999999,0.272,0.068,0.23399999999999999,-0.006000000000000005,0.236,-0.063,0.23299999999999998
1952,0.345,0.299,-0.134,0.248,0.044999999999999984,0.238,0.015999999999999986,0.22799999999999998
1953,-0.05900000000000001,0.28400000000000003,-0.09,0.264,0.0,0.23399999999999999,0.07,0.22399999999999998
1954,-0.199,0.28600000000000003,-0.05700000000000001,0.254,-0.191,0.23299999999999998,0.013999999999999985,0.22399999999999998
1955,0.014999999999999986,0.305,-0.159,0.259,-0.176,0.23399999999999999,-0.034,0.22199999999999998
1956,-0.385,0.303,-0.274,0.254,-0.199,0.237,-0.07100000000000001,0.22299999999999998
1957,-0.168,0.311,-0.187,0.23299999999999998,-0.182,0.22899999999999998,-0.07100000000000001,0.22199999999999998
1958,-0.631,0.27,-0.308,0.22199999999999998,-0.023000000000000007,0.219,-0.033,0.219
1959,0.23399999999999999,0.22899999999999998,-0.237,0.211,-0.033,0.217,-0.11900000000000001,0.218
1960,-0.593,0.23199999999999998,-0.02700000000000001,0.203,-0.115,0.217,-0.173,0.221
1961,-0.028999999999999998,0.20500000000000002,0.122,0.199,-0.136,0.22199999999999998,-0.158,0.218
1962,0.8849999999999999,0.248,0.069,0.211,-0.186,0.212,-0.186,0.209
1963,0.11099999999999999,0.248,0.128,0.22699999999999998,-0.066,0.21,-0.14700000000000002,0.199
1964,-0.031,0.274,-0.10500000000000001,0.22699999999999998,-0.048,0.20500000000000002,-0.14700000000000002,0.189
1965,-0.29800000000000004,0.295,-0.201,0.22799999999999998,-0.171,0.211,-0.167,0.183
1966,-1.189,0.219,-0.017,0.212,-0.117,0.2,-0.07900000000000001,0.177
1967,0.402,0.213,-0.441,0.213,-0.189,0.193,-0.109,0.175
1968,1.033,0.267,-0.426,0.193,-0.27,0.183,-0.10500000000000001,0.174
1969,-2.1519999999999997,0.261,-0.261,0.181,-0.261,0.16799999999999998,-0.089,0.16899999999999998
1970,-0.221,0.179,-0.266,0.183,-0.218,0.16899999999999998,-0.113,0.17099999999999999
1971,-0.368,0.22499999999999998,-0.444,0.16,-0.023000000000000007,0.16399999999999998,-0.07200000000000001,0.16599999999999998
1972,0.375,0.276,-0.020000000000000004,0.181,-0.032,0.161,-0.067,0.16299999999999998
1973,0.14500000000000002,0.183,0.17099999999999999,0.203,-0.14500000000000002,0.156,-0.07800000000000001,0.16299999999999998
1974,-0.031,0.259,0.297,0.189,-0.131,0.15,-0.03900000000000001,0.156
1975,0.734,0.22799999999999998,0.101,0.162,-0.054000000000000006,0.148,-0.04100000000000001,0.152
1976,0.265,0.208,0.010000000000000009,0.16599999999999998,-0.02800000000000001,0.148,-0.013999999999999999,0.15
1977,-0.608,0.256,-0.098,0.182,0.05499999999999999,0.146,0.03,0.146
1978,-0.308,0.23399999999999999,-0.319,0.196,0.11399999999999999,0.153,-0.05800000000000001,0.144
1979,-0.575,0.22899999999999998,-0.188,0.186,0.182,0.154,0.016999999999999987,0.141
1980,-0.369,0.19,0.034,0.179,0.136,0.153,0.123,0.144
1981,0.92,0.23199999999999998,0.19,0.16,-0.0040000000000000036,0.151,0.197,0.142
1982,0.502,0.22899999999999998,0.505,0.162,0.092,0.144,0.255,0.13799999999999998
1983,0.472,0.22699999999999998,0.386,0.181,0.027999999999999997,0.146,0.27799999999999997,0.137
1984,1.001,0.22799999999999998,0.284,0.162,0.16399999999999998,0.145,0.266,0.134
1985,-0.967,0.201,0.07599999999999998,0.177,0.3,0.154,0.295,0.133
1986,0.41100000000000003,0.217,-0.06,0.16399999999999998,0.42300000000000004,0.155,0.329,0.129
1987,-0.5389999999999999,0.219,0.062,0.15,0.45599999999999996,0.158,0.392,0.132
1988,-0.20700000000000002,0.213,0.486,0.149,0.44199999999999995,0.157,0.43899999999999995,0.137
1989,1.6099999999999999,0.241,0.5599999999999999,0.16,0.349,0.147,0.45599999999999996,0.142
1990,1.1560000000000001,0.184,0.833,0.157,0.45499999999999996,0.148,0.494,0.148
1991,0.781,0.209,1.0190000000000001,0.154,0.661,0.152,0.504,0.149
1992,0.826,0.201,0.64,0.151,0.693,0.158,0.52,0.151
1993,0.723,0.179,0.709,0.16399999999999998,0.849,0.162,0.545,0.153
1994,-0.28400000000000003,0.201,0.788,0.173,0.748,0.157,0.5619999999999999,0.152
1995,1.5,0.23199999999999998,0.772,0.183,0.688,0.159,0.616,0.152
1996,1.173,0.242,0.695,0.18,0.586,0.161,0.68,0.157
1997,0.749,0.201,0.712,0.177,0.584,0.157,0.738,0.16
1998,0.33999999999999997,0.23299999999999998,0.636,0.18,0.649,0.16299999999999998,0.861,0.16299999999999998
1999,-0.2,0.221,0.398,0.188,0.775,0.16299999999999998,0.9089999999999999,0.16299999999999998
2000,1.117,0.22199999999999998,0.574,0.172,0.778,0.16,0.8749999999999999,0.16599999999999998
2001,-0.015,0.217,0.611,0.16699999999999998,0.699,0.16799999999999998,0.845,0.16899999999999998
2002,1.63,0.20500000000000002,0.853,0.174,0.782,0.172,0.88,0.172
2003,0.521,0.206,0.8119999999999999,0.176,0.8729999999999999,0.176,0.924,0.177
2004,1.0110000000000001,0.209,0.953,0.186,1.0699999999999998,0.178,,
2005,0.912,0.217,0.9820000000000001,0.197,1.061,0.185,,
2006,0.692,0.241,1.283,0.199,1.104,0.189,,
2007,1.775,0.23299999999999998,1.31,0.20400000000000001,1.1760000000000002,0.196,,
2008,2.0260000000000002,0.209,1.201,0.21,1.1989999999999998,0.201,,
2009,1.1440000000000001,0.22199999999999998,1.3719999999999999,0.21,,,,
2010,0.37,0.241,1.343,0.216,,,,
2011,1.5459999999999998,0.257,1.1,0.218,,,,
2012,1.6309999999999998,0.253,,,,,,
2013,0.8119999999999999,0.262,,,,,,
