year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1904,3.546,1.159,,,,,,
1905,3.295,1.512,3.8179999999999996,0.754,,,,
1906,4.381,1.46,3.8219999999999996,0.748,3.9579999999999997,0.724,,
1907,4.052,1.1720000000000002,3.929,0.849,3.9259999999999997,0.73,,
1908,3.836,1.147,4.123,1.009,3.9109999999999996,0.6880000000000001,,
1909,4.082,1.464,4.047,0.907,3.9939999999999998,0.763,4.0649999999999995,0.676
1910,4.263,1.177,4.004,0.8190000000000001,4.109999999999999,0.769,4.0969999999999995,0.7010000000000001
1911,4.003,1.09,4.013,0.784,4.106,0.758,4.068,0.6930000000000001
1912,3.835,0.935,4.191,0.767,4.071,0.746,4.045,0.681
1913,3.883,1.328,4.194999999999999,0.919,4.218,0.773,4.077,0.681
1914,4.971,1.343,4.119,0.948,4.191,0.7040000000000001,4.074,0.668
1915,4.284,1.7630000000000001,4.271,0.919,4.242,0.7310000000000001,4.082,0.683
1916,3.622,0.9670000000000001,4.404,0.8440000000000001,4.178,0.7350000000000001,4.084,0.67
1917,4.592,0.884,4.2989999999999995,0.8210000000000001,4.165,0.745,4.063,0.672
1918,4.5489999999999995,0.8760000000000001,4.239,0.786,4.242999999999999,0.7370000000000001,4.053999999999999,0.6920000000000001
1919,4.4479999999999995,1.332,4.207,0.823,4.153,0.686,3.9859999999999998,0.631
1920,3.984,1.1680000000000001,4.125,0.7070000000000001,4.053999999999999,0.67,3.9859999999999998,0.629
1921,3.4589999999999996,1.255,4.108,0.7020000000000001,4.061999999999999,0.637,3.9229999999999996,0.642
1922,4.1819999999999995,1.491,3.8449999999999998,0.687,4.055,0.6920000000000001,3.937,0.636
1923,4.468,0.9510000000000001,3.891,0.7030000000000001,3.8899999999999997,0.771,3.9509999999999996,0.659
1924,3.134,0.9420000000000001,3.9109999999999996,0.684,3.7809999999999997,0.752,3.953,0.661
1925,4.215,0.9380000000000001,3.863,0.785,3.7299999999999995,0.7390000000000001,3.9379999999999997,0.658
1926,3.5549999999999997,1.383,3.514,1.004,3.6689999999999996,0.806,3.9099999999999997,0.665
1927,3.9429999999999996,0.8640000000000001,3.6479999999999997,0.8600000000000001,3.71,0.805,3.944,0.629
1928,2.721,1.576,3.453,0.906,3.659,0.8780000000000001,3.913,0.607
1929,3.8059999999999996,1.899,3.513,0.9570000000000001,3.7529999999999997,0.775,3.889,0.637
1930,3.2399999999999998,1.319,3.4179999999999997,1.041,3.8209999999999997,0.752,3.8659999999999997,0.652
1931,3.855,1.703,3.9019999999999997,0.775,3.759,0.795,3.9189999999999996,0.641
1932,3.4699999999999998,1.213,3.9139999999999997,0.722,3.8329999999999997,0.768,3.944,0.633
1933,5.14,1.923,4.156,0.843,3.936,0.803,3.912,0.649
1934,3.8659999999999997,1.561,4.095,1.1,3.996,0.769,3.9789999999999996,0.614
1935,4.447,1.417,4.306,1.201,4.0009999999999994,0.6960000000000001,4.012,0.609
1936,3.5519999999999996,1.223,4.087,0.9630000000000001,4.169,0.806,3.9749999999999996,0.7000000000000001
1937,4.524,1.824,4.084,0.8400000000000001,4.178999999999999,0.8360000000000001,4.005,0.7110000000000001
1938,4.045999999999999,1.195,4.053,0.776,4.165,0.861,4.052,0.724
1939,3.851,1.154,4.257,0.903,4.2059999999999995,0.73,4.076,0.6970000000000001
1940,4.2909999999999995,1.189,4.165,0.7370000000000001,4.202999999999999,0.6990000000000001,4.0409999999999995,0.7070000000000001
1941,4.5729999999999995,1.4140000000000001,4.234999999999999,0.724,4.191,0.659,4.1209999999999996,0.6930000000000001
1942,4.064,1.322,4.4639999999999995,0.8720000000000001,4.177,0.6920000000000001,4.116,0.7020000000000001
1943,4.395,1.111,4.2459999999999996,0.787,4.168,0.722,4.107,0.724
1944,4.995,1.797,4.1419999999999995,1.022,4.154999999999999,0.7050000000000001,4.068,0.673
1945,3.2009999999999996,2.573,4.136,0.861,4.082,0.792,4.032,0.65
