year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1867,,,,,,,,
1868,,,,,,,,
1869,29.31,1.428,,,,,,
1870,,,29.423,0.965,,,,
1871,29.432,0.947,29.416999999999998,0.9309999999999999,,,,
1872,29.53,1.057,,,,,,
1873,29.411,0.95,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,29.465,0.825,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,,,,,,,,
1883,,,,,,,,
1884,,,,,,,,
1885,,,,,,,,
1886,,,,,,,,
1887,,,,,,,,
1888,,,,,,,,
1889,,,,,,,,
1890,,,,,,,,
1891,29.461,0.855,,,,,,
1892,29.198,0.844,29.368,0.633,,,,
1893,29.284,0.831,29.402,0.56,29.435,0.493,,
1894,29.53,0.749,29.399,0.5409999999999999,29.457,0.46699999999999997,,
1895,29.539,0.855,29.412,0.53,29.406,0.44799999999999995,29.416999999999998,0.39
1896,29.447,0.581,29.498,0.495,29.438,0.426,29.414,0.39
1897,29.259999999999998,0.791,29.488,0.477,29.465,0.433,29.431,0.39
1898,29.714,0.669,29.431,0.441,29.444,0.423,29.436,0.385
1899,29.482,0.646,29.512999999999998,0.45799999999999996,29.457,0.436,29.43,0.383
1900,29.252,0.599,29.511,0.54,29.45,0.441,29.427,0.386
1901,29.855999999999998,0.7,29.425,0.56,29.438,0.405,29.407,0.365
1902,29.249,0.866,29.448,0.532,29.475,0.423,29.425,0.358
1903,29.285,0.768,29.429,0.524,29.437,0.427,29.457,0.355
1904,29.598,0.592,29.376,0.51,29.404,0.433,29.480999999999998,0.363
1905,29.158,0.726,29.419,0.534,29.448999999999998,0.44599999999999995,29.496,0.379
1906,29.588,1.0150000000000001,29.433,0.526,29.376,0.44399999999999995,29.538,0.421
1907,29.464,0.627,29.402,0.596,29.384999999999998,0.45299999999999996,29.562,0.412
1908,29.355,0.631,29.378,0.5780000000000001,29.47,0.428,29.559,0.419
1909,29.445999999999998,0.727,29.361,0.495,29.506,0.41000000000000003,29.553,0.431
1910,29.036,1.637,29.454,0.46199999999999997,29.541999999999998,0.45299999999999996,29.593,0.48
1911,29.506,0.487,29.549,0.387,29.637999999999998,0.508,29.598,0.498
1912,29.93,0.45099999999999996,29.644,0.378,29.648,0.48,29.6,0.515
1913,29.828,1.012,29.835,0.8079999999999999,29.682,0.487,29.642,0.528
1914,29.919,0.828,29.934,0.861,29.701999999999998,0.492,29.643,0.5249999999999999
1915,29.992,1.542,29.871,0.795,29.738,0.607,29.668,0.5289999999999999
1916,30.001,0.719,29.802,0.6950000000000001,29.82,0.757,29.666,0.499
1917,29.615,0.585,29.788,0.6930000000000001,29.815,0.76,29.662,0.484
1918,29.480999999999998,0.5589999999999999,29.746,0.681,29.814,0.746,29.678,0.484
1919,29.852999999999998,0.854,29.703,0.6559999999999999,29.781,0.733,29.701,0.475
1920,29.779,1.475,29.727999999999998,0.816,29.794,0.6659999999999999,29.689,0.45899999999999996
1921,29.785,0.569,29.772,0.828,29.694,0.521,29.71,0.512
1922,29.742,0.873,29.773,0.747,29.675,0.521,29.687,0.472
1923,29.7,0.587,29.727999999999998,0.473,29.675,0.512,29.666,0.428
1924,29.86,0.45699999999999996,29.669999999999998,0.422,29.7,0.487,29.634999999999998,0.41000000000000003
1925,29.554,0.692,29.645,0.404,29.64,0.387,29.618,0.385
1926,29.495,0.44,29.636,0.397,29.6,0.385,29.588,0.372
1927,29.619,0.6799999999999999,29.562,0.5,29.558,0.401,29.569,0.375
1928,29.651,0.5549999999999999,29.515,0.47,29.518,0.47,29.569,0.38
1929,29.492,0.783,29.491,0.479,29.489,0.509,29.575,0.376
1930,29.319,0.508,29.445,0.5329999999999999,29.442,0.5369999999999999,29.559,0.405
1931,29.373,0.46699999999999997,29.394,0.655,29.482,0.49,29.547,0.44699999999999995
1932,29.392,1.024,29.34,0.596,29.463,0.522,29.526,0.487
1933,29.395,0.769,29.413,0.624,29.463,0.55,29.514,0.496
1934,29.22,0.521,29.447,0.602,29.448999999999998,0.521,29.536,0.504
1935,29.688,0.608,29.472,0.596,29.477999999999998,0.512,29.53,0.501
