year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,31.676000000000002,1.765,,,,,,
1877,31.795,1.639,,,,,,
1878,32.153,1.607,31.818,1.4689999999999999,,,,
1879,,,31.858,1.504,31.774,1.555,,
1880,,,31.867,1.591,31.797,1.5939999999999999,,
1881,31.876,1.97,31.781000000000002,1.64,31.806,1.645,,
1882,31.839000000000002,1.9689999999999999,31.731,1.71,31.857000000000003,1.717,31.756,1.631
1883,31.723000000000003,1.725,31.767000000000003,1.841,31.822000000000003,1.751,31.744,1.636
1884,31.700000000000003,1.823,31.817,1.9009999999999998,31.790000000000003,1.819,31.749000000000002,1.636
1885,31.697000000000003,2.173,31.824,1.927,31.835,1.818,31.756,1.646
1886,32.128,2.234,31.822000000000003,1.98,31.835,1.737,31.740000000000002,1.654
1887,31.875,2.0869999999999997,31.888,1.94,31.779,1.724,31.746000000000002,1.657
1888,31.711000000000002,1.9249999999999998,31.898,1.777,31.758000000000003,1.7479999999999998,31.742,1.656
1889,32.031,1.694,31.775000000000002,1.595,31.724,1.7439999999999998,31.722,1.6059999999999999
1890,31.748,1.653,31.749000000000002,1.627,31.714000000000002,1.722,31.747,1.5779999999999998
1891,31.512,1.643,31.654,1.603,31.673000000000002,1.685,31.758000000000003,1.541
1892,31.742,2.186,31.540000000000003,1.6159999999999999,31.635,1.615,31.735000000000003,1.507
1893,31.239,1.755,31.5,1.697,31.663,1.589,31.742,1.488
