year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,29.171,0.8340000000000001,,,,,,
1880,29.229,1.3880000000000001,29.352,0.899,,,,
1881,29.462,1.643,29.199,0.794,29.089000000000002,0.481,,
1882,29.348000000000003,1.114,28.996000000000002,0.607,29.075,0.485,,
1883,28.783,1.0110000000000001,28.946,0.487,28.968,0.504,28.912000000000003,0.5680000000000001
1884,28.157,1.6700000000000002,28.852,0.6799999999999999,28.877000000000002,0.5740000000000001,28.94,0.5740000000000001
1885,28.982,1.078,28.687,0.847,28.87,0.654,28.959,0.561
1886,28.992,0.754,28.622,0.849,28.758,0.734,28.972,0.534
1887,28.52,1.062,28.803,0.897,28.69,0.784,28.979,0.507
1888,28.458000000000002,1.006,28.678,1.0110000000000001,28.671,0.7350000000000001,28.989,0.483
1889,29.065,1.258,28.567,1.055,28.767,0.74,28.970000000000002,0.487
1890,28.352,1.336,28.666,0.8880000000000001,28.827,0.714,28.999000000000002,0.486
1891,28.44,0.974,28.767,0.755,28.856,0.65,29.005000000000003,0.482
1892,29.014,0.8009999999999999,28.8,0.656,28.884,0.5630000000000001,29.0,0.507
1893,28.962,0.9570000000000001,28.975,0.648,29.009,0.516,28.999000000000002,0.508
1894,29.233,0.821,29.118000000000002,0.6970000000000001,29.063000000000002,0.525,29.016000000000002,0.488
1895,29.228,0.984,29.213,0.7250000000000001,29.127000000000002,0.6000000000000001,29.023,0.474
1896,29.155,0.7130000000000001,29.317,0.781,29.251,0.646,29.055,0.461
1897,29.489,0.905,29.364,0.745,29.309,0.663,29.073,0.466
1898,29.478,0.9970000000000001,29.424,0.6739999999999999,29.328,0.637,29.099,0.496
1899,29.471,0.9059999999999999,29.482,0.667,29.265,0.635,29.131,0.512
1900,29.529,0.825,29.456,0.621,29.220000000000002,0.613,29.146,0.562
1901,29.442,0.6799999999999999,29.306,0.609,29.253,0.607,29.2,0.5860000000000001
1902,29.361,0.747,29.122,0.549,29.263,0.5800000000000001,29.192,0.5820000000000001
1903,28.726,1.133,29.085,0.593,29.188000000000002,0.5860000000000001,29.228,0.562
1904,28.553,1.264,29.079,0.565,29.199,0.567,29.239,0.555
1905,29.344,0.903,28.981,0.585,29.165,0.5720000000000001,29.237000000000002,0.539
1906,29.412000000000003,0.749,29.098000000000003,0.672,29.149,0.549,29.232,0.527
1907,28.87,0.815,29.21,0.653,29.074,0.536,29.221,0.508
1908,29.309,0.775,29.235,0.634,29.127000000000002,0.519,29.204,0.482
1909,29.116,0.875,29.1,0.6020000000000001,29.214000000000002,0.533,29.164,0.48
1910,29.467000000000002,0.728,29.237000000000002,0.502,29.254,0.526,29.121000000000002,0.465
1911,28.741,0.631,29.217000000000002,0.468,29.211000000000002,0.516,29.121000000000002,0.458
1912,29.551000000000002,0.778,29.266000000000002,0.505,29.179000000000002,0.481,29.11,0.447
1913,29.211000000000002,0.6040000000000001,29.18,0.505,29.220000000000002,0.445,29.103,0.439
1914,29.358,0.831,29.274,0.518,29.129,0.447,29.125,0.444
1915,29.041,0.635,29.172,0.458,29.077,0.446,29.167,0.442
1916,29.208000000000002,0.603,29.092000000000002,0.449,29.092000000000002,0.42700000000000005,29.122,0.45
1917,29.039,0.728,28.918,0.529,29.146,0.43000000000000005,29.148,0.452
1918,28.812,0.496,28.973000000000003,0.449,29.078,0.436,29.192,0.445
1919,28.489,1.2590000000000001,29.025000000000002,0.42900000000000005,29.036,0.46,29.194000000000003,0.46900000000000003
1920,29.317,0.782,28.987000000000002,0.451,29.079,0.509,29.207,0.462
1921,29.468,0.9670000000000001,29.005000000000003,0.5,29.034000000000002,0.558,29.224,0.452
1922,28.847,0.889,29.225,0.667,29.116,0.532,29.261,0.464
1923,28.906000000000002,0.8500000000000001,29.144000000000002,0.771,29.164,0.543,29.240000000000002,0.46900000000000003
