year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1833,,,,,,,,
1834,14.88,2.057,,,,,,
1835,15.0,1.3739999999999999,,,,,,
1836,,,,,,,,
1837,13.177,1.41,,,,,,
1838,12.855,1.5459999999999998,,,,,,
1839,13.559000000000001,1.8699999999999999,13.485000000000001,1.138,,,,
1840,14.064,1.417,13.708,1.135,,,,
1841,13.772,0.9570000000000001,13.842,0.9550000000000001,13.666,0.884,,
1842,14.292,1.091,13.928,0.862,13.712,0.8979999999999999,,
1843,13.522,1.092,13.756,0.887,13.749,0.847,,
1844,13.989,0.9730000000000001,14.011000000000001,0.873,13.836,0.8109999999999999,,
1845,13.203000000000001,1.015,13.826,0.857,13.756,0.802,,
1846,15.047,1.565,13.817,0.899,13.778,0.808,13.598,0.823
1847,13.370000000000001,1.021,13.81,0.938,13.656,0.81,13.597000000000001,0.831
1848,13.478,1.446,13.780000000000001,0.9319999999999999,13.687000000000001,0.83,13.661000000000001,0.8180000000000001
1849,13.952,1.211,13.487,0.845,13.586,0.827,13.667,0.862
1850,13.051,1.078,13.509,0.9039999999999999,13.572000000000001,0.841,13.682,0.905
1851,13.581,1.059,13.472000000000001,0.872,13.530000000000001,0.862,13.669,0.9179999999999999
1852,13.481,1.242,13.376000000000001,0.845,13.481,0.8899999999999999,13.658000000000001,0.9219999999999999
1853,13.293000000000001,1.106,13.377,0.9059999999999999,13.573,0.917,13.723,0.931
1854,13.473,1.214,13.478,0.956,13.499,0.9490000000000001,13.767000000000001,0.9490000000000001
1855,13.055,1.528,13.46,0.9099999999999999,13.607000000000001,0.9889999999999999,13.759,0.872
1856,14.087,1.456,13.547,1.03,13.56,0.954,13.834,0.879
1857,13.393,1.171,13.714,1.105,13.66,0.9550000000000001,13.873000000000001,0.8979999999999999
1858,13.726,1.547,13.808,1.107,13.759,0.937,13.978,0.956
1859,14.307,1.232,13.697000000000001,1.017,13.949,1.02,14.068,0.992
1860,13.527000000000001,1.03,13.989,1.031,13.946,1.105,14.158000000000001,1.079
1861,13.529,1.289,14.244,1.286,14.139000000000001,1.125,14.190000000000001,1.139
1862,14.857000000000001,1.569,14.169,1.238,14.265,1.062,14.233,1.202
1863,14.998000000000001,2.552,14.277000000000001,1.4389999999999998,14.383000000000001,1.232,14.331000000000001,1.332
1864,13.934000000000001,1.462,14.647,1.383,14.638,1.365,14.452,1.331
1865,14.066,2.193,14.748000000000001,1.502,14.709,1.4549999999999998,14.501000000000001,1.39
1866,15.379000000000001,1.551,14.814,1.617,14.82,1.7029999999999998,14.542,1.438
1867,15.365,1.924,15.186,1.781,14.805,1.813,14.583,1.424
1868,15.326,2.298,15.288,2.015,14.903,1.878,14.603,1.468
1869,15.795,2.305,15.029,2.2920000000000003,14.954,1.813,14.672,1.513
1870,14.576,2.964,14.927,2.305,15.055,1.863,14.627,1.52
1871,14.082,2.5509999999999997,14.966000000000001,2.21,14.945,1.898,14.714,1.543
1872,14.855,2.148,14.813,2.049,14.901,1.9329999999999998,14.690000000000001,1.502
1873,15.521,1.883,14.756,1.877,14.823,1.853,14.679,1.4769999999999999
1874,15.032,1.503,14.776,1.714,14.706000000000001,1.829,14.648,1.409
1875,14.291,1.996,14.733,1.589,14.544,1.7269999999999999,14.672,1.38
1876,14.179,1.7089999999999999,14.535,1.603,14.608,1.529,14.667,1.32
1877,14.64,1.4269999999999998,14.409,1.6159999999999999,14.575000000000001,1.323,14.635,1.296
1878,14.534,1.9749999999999999,14.365,1.4389999999999998,14.455,1.187,14.569,1.201
1879,14.4,1.416,14.359,1.198,14.341000000000001,1.101,14.46,1.134
1880,14.069,1.0,14.348,0.9909999999999999,14.289,0.9510000000000001,14.382,1.028
1881,14.148,0.856,14.242,0.7649999999999999,14.39,0.788,14.344000000000001,0.931
1882,14.589,0.848,14.277000000000001,0.65,14.369,0.721,14.33,0.839
1883,14.006,0.907,14.367,0.752,14.315000000000001,0.649,14.216000000000001,0.7669999999999999
1884,14.572000000000001,0.813,14.347000000000001,0.8029999999999999,14.214,0.6719999999999999,14.181000000000001,0.715
1885,14.522,1.152,14.356,0.8240000000000001,14.22,0.6779999999999999,14.185,0.6639999999999999
1886,14.047,0.9550000000000001,14.275,0.8049999999999999,14.079,0.6739999999999999,14.18,0.606
1887,14.637,0.888,14.123000000000001,0.788,14.084,0.703,14.137,0.587
1888,13.599,0.6759999999999999,13.969000000000001,0.687,13.976,0.687,14.156,0.593
1889,13.809000000000001,0.712,13.746,0.612,14.021,0.667,14.186,0.633
1890,13.754000000000001,0.867,13.691,0.661,14.081,0.657,14.23,0.683
1891,12.934000000000001,0.752,13.795,0.6699999999999999,13.97,0.633,14.227,0.687
1892,14.359,0.9829999999999999,13.997,0.7,13.906,0.627,14.256,0.6970000000000001
1893,14.122,0.907,13.956,0.6930000000000001,13.997,0.6799999999999999,14.198,0.6970000000000001
1894,14.815000000000001,0.8,14.208,0.751,14.159,0.694,14.232000000000001,0.706
1895,13.552,0.766,14.239,0.7649999999999999,14.241,0.736,14.262,0.703
1896,14.190000000000001,0.929,14.277000000000001,0.792,14.374,0.749,14.242,0.6890000000000001
1897,14.516,0.903,14.386000000000001,0.813,14.428,0.762,14.224,0.694
1898,14.31,0.935,14.585,0.887,14.419,0.761,14.252,0.716
1899,15.360000000000001,0.9650000000000001,14.618,0.846,14.442,0.7909999999999999,14.257,0.725
1900,14.549000000000001,1.259,14.581000000000001,0.852,14.442,0.8089999999999999,14.276,0.744
1901,14.357000000000001,0.718,14.535,0.861,14.514000000000001,0.819,14.328000000000001,0.7709999999999999
1902,14.331000000000001,0.9219999999999999,14.527000000000001,0.861,14.541,0.835,14.391,0.7949999999999999
1903,14.075000000000001,0.9490000000000001,14.453000000000001,0.7749999999999999,14.507,0.827,14.393,0.81
1904,15.322000000000001,1.026,14.438,0.812,14.356,0.8220000000000001,14.381,0.823
1905,14.182,0.782,14.318,0.823,14.311,0.8009999999999999,14.359,0.829
1906,14.282,0.9079999999999999,14.532,0.843,14.281,0.831,14.383000000000001,0.83
1907,13.728,0.8979999999999999,14.063,0.81,14.353,0.863,14.435,0.842
1908,15.148,0.907,14.161,0.846,14.366,0.869,14.425,0.847
1909,12.978,0.832,14.164,0.888,14.32,0.859,14.386000000000001,0.85
1910,14.668000000000001,0.9490000000000001,14.534,0.9359999999999999,14.275,0.852,14.343,0.835
1911,14.299000000000001,1.074,14.186,0.901,14.251000000000001,0.85,14.367,0.846
1912,15.577,1.322,14.428,0.915,14.329,0.864,14.384,0.851
1913,13.411000000000001,0.774,14.368,0.9139999999999999,14.344000000000001,0.887,14.407,0.854
1914,14.187000000000001,0.834,14.442,0.891,14.416,0.909,14.408000000000001,0.848
1915,14.369,0.907,14.182,0.835,14.375,0.9059999999999999,14.384,0.852
1916,14.667,0.893,14.453000000000001,0.893,14.453000000000001,0.9079999999999999,14.372,0.852
1917,14.274000000000001,1.054,14.360000000000001,0.9139999999999999,14.415000000000001,0.872,14.415000000000001,0.849
1918,14.767000000000001,1.023,14.561,0.917,14.447000000000001,0.869,14.450000000000001,0.844
1919,13.721,0.954,14.55,0.94,14.497,0.877,14.493,0.846
1920,15.376000000000001,0.954,14.594000000000001,0.8919999999999999,14.494,0.878,14.504,0.841
1921,14.609,0.938,14.448,0.861,14.493,0.875,14.553,0.839
1922,14.495000000000001,0.7669999999999999,14.622,0.856,14.502,0.855,14.508000000000001,0.8109999999999999
1923,14.037,0.9530000000000001,14.464,0.86,14.556000000000001,0.8200000000000001,14.521,0.8069999999999999
1924,14.594000000000001,0.8999999999999999,14.353,0.8140000000000001,14.57,0.802,14.495000000000001,0.8049999999999999
1925,14.585,0.884,14.568,0.804,14.633000000000001,0.7889999999999999,14.552,0.8009999999999999
1926,14.054,0.7689999999999999,14.703000000000001,0.77,14.653,0.7829999999999999,14.607000000000001,0.804
1927,15.569,0.784,14.517000000000001,0.766,14.602,0.764,14.581000000000001,0.8009999999999999
1928,14.715,0.875,14.711,0.7829999999999999,14.596,0.764,14.591000000000001,0.7829999999999999
1929,13.66,0.8089999999999999,14.91,0.786,14.493,0.756,14.616,0.776
1930,15.556000000000001,0.878,14.461,0.79,14.610000000000001,0.757,14.633000000000001,0.7729999999999999
1931,15.051,0.81,14.422,0.7729999999999999,14.722000000000001,0.766,14.540000000000001,0.77
1932,13.324,0.812,14.648,0.757,14.661,0.7689999999999999,14.452,0.76
1933,14.518,0.8029999999999999,14.517000000000001,0.741,14.625,0.76,14.465,0.758
1934,14.789,0.72,14.633000000000001,0.766,14.662,0.756,14.518,0.745
1935,14.901,0.856,14.835,0.764,14.632,0.763,14.49,0.737
1936,15.636000000000001,0.9059999999999999,14.847000000000001,0.764,14.427,0.761,14.559000000000001,0.735
1937,14.334,0.705,14.88,0.813,14.301,0.758,14.575000000000001,0.735
1938,14.578000000000001,0.881,14.540000000000001,0.8009999999999999,14.335,0.758,14.631,0.732
1939,14.951,0.893,14.128,0.7749999999999999,14.543000000000001,0.748,14.66,0.72
1940,13.200000000000001,0.7989999999999999,13.796000000000001,0.776,14.370000000000001,0.732,14.702,0.714
1941,13.579,0.7889999999999999,14.019,0.754,14.396,0.721,14.749,0.707
1942,12.669,0.716,13.964,0.694,14.489,0.72,14.795,0.704
1943,15.694,0.732,14.396,0.681,14.637,0.719,14.834,0.706
1944,14.68,0.644,14.814,0.6779999999999999,14.658000000000001,0.694,14.879000000000001,0.705
1945,15.358,0.727,15.223,0.6739999999999999,14.772,0.673,14.816,0.688
1946,15.669,0.846,15.261000000000001,0.671,15.071,0.661,14.756,0.673
1947,14.714,0.72,15.357000000000001,0.6739999999999999,15.288,0.653,14.694,0.652
1948,15.884,0.694,15.52,0.6699999999999999,15.334,0.6599999999999999,14.707,0.639
1949,15.158000000000001,0.613,15.415000000000001,0.652,15.214,0.667,14.714,0.63
1950,16.174,0.722,15.582,0.661,15.262,0.652,14.752,0.61
1951,15.146,0.747,15.338000000000001,0.6779999999999999,15.117,0.637,14.823,0.609
1952,15.548,0.748,15.016,0.669,14.899000000000001,0.607,14.964,0.599
1953,14.665000000000001,0.7849999999999999,14.681000000000001,0.638,14.777000000000001,0.583,14.902000000000001,0.59
1954,13.547,0.5449999999999999,14.338000000000001,0.607,14.77,0.604,14.824,0.586
1955,14.496,0.558,14.189,0.569,14.732000000000001,0.589,14.864,0.582
1956,13.433,0.636,14.164,0.546,14.575000000000001,0.594,14.764000000000001,0.579
1957,14.802,0.613,14.530000000000001,0.558,14.641,0.57,14.744,0.569
1958,14.540000000000001,0.604,14.515,0.5529999999999999,14.471,0.5409999999999999,14.688,0.5549999999999999
1959,15.378,0.5529999999999999,14.935,0.56,14.433,0.533,14.658000000000001,0.5549999999999999
1960,14.422,0.611,14.848,0.569,14.466000000000001,0.5449999999999999,14.606,0.55
1961,15.531,0.71,14.675,0.5589999999999999,14.411,0.5469999999999999,14.509,0.54
1962,14.368,0.569,14.506,0.5489999999999999,14.59,0.54,14.476,0.523
1963,13.677,0.5469999999999999,14.395,0.564,14.6,0.534,14.445,0.505
1964,14.531,0.6599999999999999,14.225,0.544,14.545,0.518,14.444,0.498
1965,13.867,0.6739999999999999,14.293000000000001,0.534,14.48,0.529,14.482000000000001,0.494
