year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1887,,,,,,,,
1888,0.885,1.33,,,,,,
1889,0.8290000000000001,1.276,0.6880000000000001,0.866,,,,
1890,0.10999999999999999,1.677,0.5920000000000001,0.891,0.65,0.8089999999999999,,
1891,0.663,1.2269999999999999,0.516,0.902,0.672,0.772,,
1892,0.47400000000000003,1.488,0.531,0.848,0.7270000000000001,0.745,0.776,0.747
1893,0.5030000000000001,1.2,0.575,0.823,0.65,0.739,0.808,0.73
1894,0.907,1.2999999999999998,0.67,0.796,0.7090000000000001,0.718,0.763,0.721
1895,0.33100000000000007,1.37,0.6910000000000001,0.7849999999999999,0.73,0.734,0.804,0.706
1896,1.1360000000000001,1.325,0.6910000000000001,0.764,0.8380000000000001,0.735,0.767,0.687
1897,0.5760000000000001,1.1749999999999998,0.894,0.853,0.881,0.714,0.788,0.6779999999999999
1898,0.505,1.1949999999999998,1.054,0.907,1.049,0.7849999999999999,0.749,0.649
1899,1.924,2.271,1.1360000000000001,0.87,0.903,0.749,0.752,0.661
1900,1.131,1.089,1.1800000000000002,0.85,0.9590000000000001,0.756,0.741,0.6579999999999999
1901,1.5430000000000001,1.141,1.29,0.99,0.863,0.738,0.7370000000000001,0.6619999999999999
1902,0.8,1.079,0.885,0.721,0.849,0.717,0.771,0.643
1903,1.05,1.436,0.7370000000000001,0.7809999999999999,0.849,0.711,0.77,0.6779999999999999
1904,-0.09999999999999998,1.464,0.589,0.73,0.796,0.707,0.766,0.655
1905,0.394,1.4620000000000002,0.5880000000000001,0.766,0.752,0.679,0.746,0.6579999999999999
1906,0.8,1.0310000000000001,0.49600000000000005,0.753,0.636,0.669,0.7350000000000001,0.6519999999999999
1907,0.797,1.0110000000000001,0.6240000000000001,0.8089999999999999,0.661,0.6679999999999999,0.678,0.643
1908,0.591,1.038,0.637,0.707,0.49100000000000005,0.665,0.673,0.6539999999999999
1909,0.536,1.1869999999999998,0.6940000000000001,0.741,0.63,0.6679999999999999,0.597,0.6559999999999999
