year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1853,,,,,,,,
1854,24.753,1.0270000000000001,,,,,,
1855,24.334000000000003,1.242,24.268,0.8140000000000001,,,,
1856,23.736,1.1320000000000001,24.169,0.8240000000000001,,,,
1857,23.767000000000003,1.24,24.078000000000003,0.891,24.17,0.739,,
1858,,,24.025000000000002,1.046,24.253,0.86,,
1859,24.297,1.1019999999999999,24.071,1.077,,,,
1860,24.069000000000003,1.162,24.204,1.016,,,,
1861,23.963,1.146,,,,,,
1862,,,,,,,24.514000000000003,0.753
1863,,,,,,,24.573,0.782
1864,,,,,,,24.576,0.755
1865,,,,,,,24.576,0.751
1866,24.709000000000003,1.5539999999999998,,,,,24.62,0.752
1867,24.964000000000002,0.943,25.025000000000002,0.8140000000000001,,,24.664,0.719
1868,25.023,1.084,25.060000000000002,0.944,24.892000000000003,0.865,24.664,0.702
1869,25.232000000000003,1.568,25.142000000000003,1.068,24.976000000000003,0.821,24.689,0.681
1870,25.372,1.581,25.079,1.1,24.967000000000002,0.866,24.699,0.6699999999999999
1871,25.121000000000002,1.179,25.085,1.101,24.949,0.917,24.665000000000003,0.669
1872,24.647000000000002,1.3079999999999998,24.948,1.034,24.92,0.895,24.671000000000003,0.6759999999999999
1873,25.051000000000002,0.988,24.877000000000002,1.029,24.837,0.885,24.623,0.681
1874,24.549000000000003,1.333,24.706000000000003,0.963,24.797,0.904,24.62,0.6699999999999999
1875,25.019000000000002,1.4009999999999998,24.687,0.873,24.719,0.845,24.544,0.6819999999999999
1876,24.264000000000003,1.1139999999999999,24.548000000000002,0.924,24.553,0.8360000000000001,24.48,0.675
1877,24.551000000000002,1.179,24.576,0.959,24.483,0.798,24.434,0.642
1878,24.359,1.3639999999999999,24.358,0.924,24.353,0.784,24.393,0.642
1879,24.686,0.961,24.253,0.882,24.264000000000003,0.7769999999999999,24.353,0.641
1880,23.93,0.985,24.123,0.8300000000000001,24.121000000000002,0.7849999999999999,24.347,0.619
1881,23.737000000000002,0.994,24.03,0.769,24.011000000000003,0.7969999999999999,24.353,0.629
1882,23.902,0.868,23.818,0.845,23.948,0.731,24.35,0.618
1883,23.898000000000003,0.91,23.673000000000002,0.823,23.950000000000003,0.6930000000000001,24.311,0.605
1884,23.623,0.926,23.682000000000002,0.751,23.909000000000002,0.6659999999999999,24.288,0.595
1885,23.207,0.953,23.725,0.715,23.975,0.677,24.283,0.602
1886,23.778000000000002,1.064,23.842000000000002,0.683,24.152,0.638,24.277,0.624
1887,24.117,0.94,24.051000000000002,0.6779999999999999,24.216,0.614,24.293000000000003,0.601
1888,24.484,0.688,24.424000000000003,0.675,24.269000000000002,0.623,24.314,0.588
1889,24.666,0.8009999999999999,24.644000000000002,0.642,24.313000000000002,0.634,24.343,0.5609999999999999
1890,25.073,0.806,24.791,0.683,24.445,0.6559999999999999,24.373,0.567
