year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1875,,,,,,,,
1876,18.657,1.319,,,,,,
1877,18.416999999999998,1.309,18.852,0.63,,,,
1878,18.59,1.2309999999999999,18.766,0.634,18.701999999999998,0.507,,
1879,19.146,1.1300000000000001,18.825,0.637,18.761,0.482,,
1880,19.019,1.117,18.755,0.554,18.703,0.454,18.64,0.462
1881,18.954,1.208,18.781,0.491,18.576,0.487,18.625999999999998,0.44
1882,18.066,0.786,18.676,0.497,18.538999999999998,0.43100000000000005,18.622999999999998,0.441
1883,18.72,0.7829999999999999,18.386,0.526,18.593,0.41900000000000004,18.622,0.41000000000000003
1884,18.618,0.8800000000000001,18.243,0.443,18.564999999999998,0.398,18.657999999999998,0.42700000000000005
1885,17.573,1.048,18.402,0.43400000000000005,18.596999999999998,0.38,18.652,0.43300000000000005
1886,18.238,0.881,18.47,0.47400000000000003,18.529,0.384,18.652,0.47300000000000003
1887,18.862,1.103,18.483999999999998,0.462,18.500999999999998,0.43000000000000005,18.631,0.43400000000000005
1888,19.061,1.091,18.761,0.47200000000000003,18.543,0.42300000000000004,18.628,0.43300000000000005
1889,18.686999999999998,0.925,18.652,0.498,18.555,0.454,18.611,0.403
1890,18.959,0.9339999999999999,18.766,0.569,18.601,0.47700000000000004,18.645,0.41300000000000003
1891,17.691,1.452,18.625999999999998,0.5780000000000001,18.727999999999998,0.526,18.616,0.42000000000000004
1892,19.432,0.8820000000000001,18.701,0.6910000000000001,18.723,0.495,18.663,0.398
1893,18.364,1.067,18.676,0.766,18.662,0.513,18.71,0.387
1894,19.061,1.3339999999999999,18.855999999999998,0.657,18.657,0.462,18.654,0.386
1895,18.834,0.7929999999999999,18.573999999999998,0.605,18.694,0.493,18.701,0.398
1896,18.589,0.546,18.613,0.529,18.703,0.515,18.718,0.39
1897,18.024,0.78,18.775,0.438,18.825,0.437,18.755,0.40700000000000003
1898,18.557,0.7490000000000001,18.631999999999998,0.362,18.878,0.42500000000000004,18.673,0.39
1899,19.872,0.9199999999999999,18.761,0.363,18.753999999999998,0.365,18.608999999999998,0.41300000000000003
1900,18.12,0.654,19.066,0.314,18.801,0.378,18.649,0.452
1901,19.232,0.652,19.046,0.41600000000000004,18.709,0.326,18.649,0.462
1902,19.549,0.792,18.744,0.379,18.787,0.374,18.618,0.43000000000000005
1903,18.456,0.7969999999999999,18.714,0.42400000000000004,18.685,0.363,18.628999999999998,0.465
1904,18.363,0.8029999999999999,18.674,0.42000000000000004,18.56,0.43200000000000005,18.634999999999998,0.457
1905,17.967,0.7070000000000001,18.463,0.506,18.604,0.467,18.682,0.466
1906,19.035,0.63,18.233999999999998,0.461,18.595,0.447,18.739,0.47000000000000003
