year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1846,,,,,,,,
1847,28.162,1.039,,,,,,
1848,28.25,1.1789999999999998,,,,,,
1849,28.119999999999997,1.023,,,,,,
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,28.730999999999998,2.059,,,,,,
1854,28.904,1.1949999999999998,28.65,0.855,,,28.644,0.7809999999999999
1855,28.813,1.395,28.826999999999998,0.907,28.566,0.82,28.612,0.7709999999999999
1856,29.104999999999997,1.2349999999999999,28.729999999999997,0.8859999999999999,28.58,0.7979999999999999,28.637999999999998,0.776
1857,28.584,1.415,28.659,0.974,28.682,0.78,28.622,0.7949999999999999
1858,28.247,1.721,28.619999999999997,1.182,28.773,0.984,28.691,0.836
1859,28.544999999999998,1.1749999999999998,28.546,1.29,28.758,0.983,28.744,0.865
1860,28.618,1.271,28.671999999999997,1.218,28.741,1.01,28.820999999999998,0.94
1861,28.735999999999997,1.339,28.814999999999998,1.2,28.796999999999997,1.011,28.866999999999997,1.002
1862,29.215,1.31,28.811999999999998,1.075,28.778,1.026,28.961,1.067
1863,28.958,1.751,28.924,0.982,28.860999999999997,1.041,29.038999999999998,1.105
1864,28.532,1.4209999999999998,29.034,0.98,28.967,1.071,29.07,1.109
1865,29.18,1.319,28.942999999999998,1.077,29.075999999999997,1.126,29.099999999999998,1.117
1866,29.285999999999998,1.7570000000000001,29.008,1.278,29.154999999999998,1.2650000000000001,29.127,1.1139999999999999
1867,28.759,1.42,29.261999999999997,1.3860000000000001,29.24,1.3359999999999999,29.128,1.084
1868,29.284,1.9420000000000002,29.299,1.6400000000000001,29.305999999999997,1.452,29.176,1.042
1869,29.802999999999997,1.887,29.392,1.7189999999999999,29.381,1.474,29.223,1.013
1870,29.363,2.298,29.586,1.834,29.459,1.527,29.232999999999997,0.9969999999999999
1871,29.752,1.887,29.656,1.807,29.456999999999997,1.5110000000000001,29.238,0.998
1872,29.729999999999997,2.181,29.631999999999998,1.766,29.477,1.428,29.244,0.984
1873,29.63,1.5179999999999998,29.657,1.6429999999999998,29.491,1.289,29.238,0.9869999999999999
1874,29.683999999999997,1.8239999999999998,29.465,1.459,29.479,1.192,29.238999999999997,0.958
1875,29.485999999999997,1.5699999999999998,29.366,1.1709999999999998,29.389,1.076,29.238999999999997,0.957
1876,28.794999999999998,1.4009999999999998,29.349,0.965,29.320999999999998,0.9909999999999999,29.229,0.9309999999999999
1877,29.232,1.135,29.206999999999997,1.021,29.247999999999998,0.8859999999999999,29.241,0.8899999999999999
1878,29.546,1.414,29.055,1.071,29.168999999999997,0.828,29.237,0.86
1879,28.974999999999998,1.302,29.102999999999998,1.025,29.096999999999998,0.825,29.227,0.824
