year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1871,,,,,,,,
1872,7.103000000000001,1.053,,,,,,
1873,7.243,1.308,7.208,0.8160000000000001,,,,
1874,7.102,1.0790000000000002,7.133000000000001,0.81,,,,
1875,7.083,1.359,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,,,,,,,,
1883,,,,,,,,
1884,,,,,,,,
1885,,,,,,,,
1886,,,,,,,,
1887,6.916,1.017,,,,,,
1888,7.198,1.151,7.056000000000001,0.8640000000000001,7.1290000000000004,0.761,,
1889,7.407000000000001,1.186,7.097,0.8440000000000001,7.113,0.74,,
1890,6.738,1.189,7.214,0.88,7.152000000000001,0.7250000000000001,,
1891,7.226000000000001,0.98,7.1690000000000005,0.8320000000000001,7.179,0.6990000000000001,7.371,0.629
1892,7.501,1.093,7.146000000000001,0.744,7.273000000000001,0.69,7.391000000000001,0.628
1893,6.9750000000000005,0.918,7.3020000000000005,0.7070000000000001,7.335000000000001,0.696,7.409000000000001,0.619
1894,7.292000000000001,0.906,7.343000000000001,0.7230000000000001,7.3500000000000005,0.669,7.424,0.604
1895,7.515000000000001,1.0070000000000001,7.441000000000001,0.7330000000000001,7.432,0.675,7.455000000000001,0.5940000000000001
1896,7.432,1.014,7.546,0.778,7.565,0.698,7.464,0.593
1897,7.992000000000001,0.988,7.633000000000001,0.8140000000000001,7.619000000000001,0.71,7.49,0.605
1898,7.4990000000000006,0.971,7.751,0.777,7.69,0.722,7.489000000000001,0.605
1899,7.728000000000001,0.933,7.851000000000001,0.793,7.734000000000001,0.738,7.501,0.597
1900,8.105,0.8160000000000001,7.925000000000001,0.797,7.759,0.7250000000000001,7.489000000000001,0.5980000000000001
1901,7.932,0.9460000000000001,7.885000000000001,0.782,7.7490000000000006,0.7250000000000001,7.4830000000000005,0.591
1902,8.358,0.861,7.878000000000001,0.767,7.706,0.718,7.461,0.587
1903,7.301,1.0310000000000001,7.722,0.753,7.643000000000001,0.706,7.4910000000000005,0.585
1904,7.694000000000001,0.966,7.633000000000001,0.798,7.6530000000000005,0.696,7.537000000000001,0.587
1905,7.327000000000001,0.763,7.414000000000001,0.8200000000000001,7.546,0.657,7.561000000000001,0.5920000000000001
1906,7.486000000000001,0.9560000000000001,7.420000000000001,0.7110000000000001,7.401000000000001,0.606,7.573,0.5780000000000001
1907,7.263000000000001,0.8160000000000001,7.269000000000001,0.629,7.3020000000000005,0.605,7.529000000000001,0.5630000000000001
1908,7.328,0.788,7.182,0.623,7.292000000000001,0.5860000000000001,7.506,0.549
1909,6.941000000000001,0.7370000000000001,7.071000000000001,0.626,7.339,0.554,7.5280000000000005,0.541
1910,6.892,0.789,7.111000000000001,0.625,7.364000000000001,0.538,7.527000000000001,0.531
1911,6.929,1.006,7.216000000000001,0.636,7.397,0.541,7.495000000000001,0.524
1912,7.464,0.8580000000000001,7.441000000000001,0.635,7.351000000000001,0.56,7.466000000000001,0.524
1913,7.856000000000001,0.651,7.605,0.634,7.369000000000001,0.575,7.4670000000000005,0.517
1914,8.063,0.984,7.642,0.5660000000000001,7.402000000000001,0.5670000000000001,7.463000000000001,0.518
