year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1864,,,,,,,,
1865,2.7569999999999997,2.769,,,,,,
1866,2.6559999999999997,2.849,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,2.452,2.349,,
1870,2.404,2.9050000000000002,,,2.375,2.3200000000000003,,
1871,2.4339999999999997,2.9240000000000004,2.3899999999999997,2.439,,,,
1872,2.3339999999999996,2.857,2.2319999999999998,2.401,,,,
1873,,,2.11,2.385,,,2.3089999999999997,2.191
1874,1.6689999999999998,2.995,,,2.2379999999999995,2.242,2.303,2.189
1875,,,,,2.198,2.231,2.2529999999999997,2.197
1876,,,,,2.158,2.239,2.2379999999999995,2.211
1877,,,,,2.15,2.222,2.1929999999999996,2.209
1878,,,,,2.085,2.191,2.1839999999999997,2.198
1879,2.5119999999999996,2.675,2.3869999999999996,2.322,2.155,2.19,2.1759999999999997,2.176
1880,1.7969999999999997,2.831,2.2609999999999997,2.245,2.13,2.213,2.19,2.161
1881,2.654,2.593,2.149,2.257,2.223,2.241,2.1879999999999997,2.1470000000000002
1882,1.6249999999999998,2.714,2.1109999999999998,2.354,2.1599999999999997,2.266,2.19,2.1390000000000002
1883,2.155,2.5220000000000002,2.151,2.4690000000000003,2.149,2.277,2.21,2.128
1884,2.3259999999999996,2.827,2.049,2.508,2.114,2.29,2.2089999999999996,2.12
1885,1.9979999999999998,2.4770000000000003,1.9729999999999999,2.564,2.183,2.276,2.219,2.112
1886,2.142,2.8200000000000003,2.1599999999999997,2.531,2.218,2.286,2.282,2.1
1887,1.2449999999999999,3.084,2.26,2.361,2.2299999999999995,2.2800000000000002,2.2569999999999997,2.097
1888,3.0879999999999996,2.265,2.315,2.43,2.335,2.2600000000000002,2.218,2.105
1889,2.827,2.817,2.3049999999999997,2.299,2.264,2.242,2.183,2.12
1890,2.274,2.488,2.5989999999999998,2.292,2.308,2.216,2.2159999999999997,2.125
