year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1833,,,,,,,,
1834,5.939,2.683,,,,,,
1835,5.933999999999999,2.371,,,,,,
1836,4.853,1.911,,,,,,
1837,4.693,2.025,,,,,,
1838,,,,,,,,
1839,4.729,2.186,,,,,,
1840,5.061999999999999,,,,,,,
1841,4.413,1.539,4.77,,,,,
1842,4.936,2.4050000000000002,4.787999999999999,,,,,
1843,4.71,,4.499,,4.645,,,
1844,4.818,,4.782,,4.755,,,
1845,3.618,,4.677,,4.678,,,
1846,5.829,2.152,4.724,,4.782,,,
1847,4.409,1.972,4.784,,4.784,,,
1848,4.947,2.828,4.93,2.653,4.885,,4.8149999999999995,
1849,5.116,3.1159999999999997,4.776999999999999,2.5549999999999997,4.829,,4.833,
1850,4.349,2.512,4.901999999999999,2.658,4.865,2.602,4.866,
1851,5.0649999999999995,2.44,5.029,2.6550000000000002,4.880999999999999,2.471,4.8549999999999995,
1852,5.034,3.042,4.9319999999999995,2.599,4.835999999999999,2.653,4.8759999999999994,
1853,5.582999999999999,3.1449999999999996,4.849,2.699,4.984,2.802,4.939,
1854,4.631,3.1189999999999998,4.864,2.774,4.911,2.5949999999999998,4.967,
1855,3.9309999999999996,2.4909999999999997,4.853,2.752,5.055,2.6399999999999997,4.960999999999999,2.634
1856,5.14,2.732,4.774,2.753,4.928999999999999,2.561,5.042,2.4210000000000003
1857,4.981,3.21,5.024,2.706,4.968999999999999,2.581,5.042,2.456
1858,5.188,3.1529999999999996,5.172,2.678,4.992999999999999,2.488,5.106,2.448
1859,5.88,3.053,5.0569999999999995,2.63,5.104,2.457,5.1499999999999995,2.332
1860,4.673,2.04,5.223,2.607,5.056,2.433,5.202,2.324
1861,4.561999999999999,2.412,5.327999999999999,2.4379999999999997,5.202,2.512,5.1579999999999995,2.3120000000000003
1862,5.81,3.008,5.14,2.403,5.247999999999999,2.535,5.1419999999999995,2.341
1863,5.715,2.944,5.117999999999999,2.5620000000000003,5.226999999999999,2.456,5.173,2.351
1864,4.938,3.1660000000000004,5.387,2.635,5.388,2.516,5.2379999999999995,2.357
1865,4.566,2.746,5.348999999999999,2.7249999999999996,5.35,2.477,5.27,2.365
1866,5.907,2.3129999999999997,5.366,2.629,5.386,2.536,5.301,2.399
1867,5.617,3.08,5.574999999999999,2.487,5.3149999999999995,2.561,5.346,2.396
1868,5.801,2.332,5.659,2.435,5.353,2.5309999999999997,5.34,2.335
1869,5.984999999999999,2.487,5.3389999999999995,2.489,5.372,2.433,5.3629999999999995,2.299
1870,4.983,2.396,5.2989999999999995,2.411,5.484,2.348,5.266,2.194
1871,4.305999999999999,2.582,5.324,2.44,5.399,2.303,5.329,2.1799999999999997
1872,5.417,2.825,5.265,2.3579999999999997,5.444,2.2809999999999997,5.305,2.1189999999999998
1873,5.928999999999999,2.822,5.276,2.3419999999999996,5.452,2.2720000000000002,5.266,2.056
1874,5.691,2.153,5.436,2.3339999999999996,5.338,2.1639999999999997,5.262,2.001
1875,5.037,2.621,5.558,2.328,5.1819999999999995,2.0309999999999997,5.305,1.934
1876,5.1049999999999995,2.3339999999999996,5.497,2.129,5.271999999999999,1.962,5.249,1.8820000000000001
1877,6.029999999999999,2.5839999999999996,5.2459999999999996,1.998,5.295,1.8399999999999999,5.215,1.8239999999999998
1878,5.62,1.5139999999999998,5.128,1.704,5.18,1.738,5.145,1.746
1879,4.436999999999999,1.7530000000000001,5.087,1.5539999999999998,5.153,1.712,5.037,1.696
1880,4.449,1.592,4.933,1.491,5.127,1.6469999999999998,5.016,1.6549999999999998
1881,4.896,1.58,4.805,1.499,5.098,1.5699999999999998,5.008,1.6139999999999999
1882,5.26,1.807,5.042999999999999,1.5419999999999998,4.987,1.532,5.015,1.5579999999999998
1883,4.9799999999999995,1.677,5.1579999999999995,1.6099999999999999,4.838,1.5,4.896999999999999,1.517
1884,5.629,1.814,5.005,1.65,4.736,1.513,4.898,1.501
1885,5.023,1.68,4.901,1.537,4.85,1.506,4.894,1.462
1886,4.13,1.865,4.66,1.5379999999999998,4.744,1.504,4.885999999999999,1.408
1887,4.742,1.541,4.521,1.535,4.734999999999999,1.48,4.838,1.399
1888,3.774,1.4289999999999998,4.473,1.529,4.615,1.463,4.856,1.399
1889,4.935,1.7429999999999999,4.4559999999999995,1.4649999999999999,4.643,1.466,4.888,1.394
1890,4.784,1.65,4.442,1.48,4.661,1.427,4.954,1.387
1891,4.044,1.475,4.699999999999999,1.498,4.673,1.3699999999999999,4.9639999999999995,1.383
1892,4.675,1.4449999999999998,4.813,1.423,4.6899999999999995,1.338,4.973,1.373
1893,5.063,1.4489999999999998,4.718999999999999,1.302,4.875,1.342,4.935,1.363
1894,5.497999999999999,1.278,5.02,1.274,5.0409999999999995,1.315,4.947,1.359
1895,4.314,1.401,5.119,1.269,5.058,1.29,4.955,1.349
1896,5.55,1.448,5.169,1.317,5.185,1.287,4.9959999999999996,1.341
1897,5.169,1.278,5.265,1.3479999999999999,5.210999999999999,1.306,5.0249999999999995,1.338
1898,5.3149999999999995,1.4849999999999999,5.439,1.3479999999999999,5.255,1.331,5.068,1.347
1899,5.976999999999999,1.347,5.345,1.3579999999999999,5.2509999999999994,1.351,5.1049999999999995,1.338
1900,5.1819999999999995,1.4689999999999999,5.340999999999999,1.386,5.25,1.3659999999999999,5.092,1.331
1901,5.084,1.483,5.301,1.386,5.319,1.384,5.169,1.335
1902,5.148,1.343,5.228,1.4,5.359,1.407,5.226,1.334
1903,5.112,1.515,5.268,1.414,5.261,1.411,5.298,1.3359999999999999
1904,5.611,1.391,5.253,1.448,5.169,1.406,5.301,1.3359999999999999
1905,5.385,1.504,5.22,1.4689999999999999,5.125,1.402,5.340999999999999,1.3319999999999999
1906,5.007,1.732,5.2829999999999995,1.44,5.154,1.401,5.379,1.3279999999999998
1907,4.981,1.426,4.994,1.43,5.239999999999999,1.384,5.3919999999999995,1.333
1908,5.428,1.311,5.045,1.405,5.340999999999999,1.359,5.335,1.337
1909,4.1659999999999995,1.3199999999999998,5.159,1.3399999999999999,5.351,1.339,5.321,1.331
1910,5.6419999999999995,1.373,5.4399999999999995,1.282,5.4319999999999995,1.31,5.287,1.323
1911,5.58,1.357,5.407,1.28,5.438,1.28,5.3069999999999995,1.317
1912,6.383,1.23,5.75,1.2429999999999999,5.425,1.27,5.311999999999999,1.307
1913,5.263999999999999,1.38,5.755999999999999,1.232,5.41,1.279,5.3229999999999995,1.297
1914,5.882,1.161,5.72,1.2349999999999999,5.473,1.274,5.302,1.294
1915,5.672,1.2999999999999998,5.403,1.284,5.449,1.265,5.303,1.294
1916,5.401,1.3679999999999999,5.395,1.314,5.46,1.259,5.2909999999999995,1.282
1917,4.797,1.427,5.217,1.337,5.3839999999999995,1.264,5.327999999999999,1.266
1918,5.2219999999999995,1.403,5.215,1.314,5.305,1.28,5.359,1.259
1919,4.994999999999999,1.286,5.205,1.2999999999999998,5.253,1.297,5.364,1.255
1920,5.662,1.2,5.208,1.278,5.175,1.3199999999999998,5.3709999999999996,1.255
1921,5.35,1.424,5.204,1.278,5.144,1.318,5.382,1.25
1922,4.811,1.377,5.157,1.3159999999999998,5.231,1.2959999999999998,5.326,1.248
1923,5.205,1.376,5.178999999999999,1.3579999999999999,5.308,1.282,5.305,1.251
1924,4.7589999999999995,1.422,5.186,1.3399999999999999,5.255,1.284,5.278,1.255
1925,5.77,1.3439999999999999,5.378,1.311,5.292999999999999,1.295,5.2829999999999995,1.255
1926,5.387,1.3599999999999999,5.399,1.292,5.303999999999999,1.285,5.3069999999999995,1.2489999999999999
1927,5.771999999999999,1.19,5.254,1.284,5.269,1.261,5.324999999999999,1.2409999999999999
1928,5.306,1.273,5.332,1.264,5.305,1.2449999999999999,5.393,1.2329999999999999
1929,4.037,1.389,5.337,1.217,5.303999999999999,1.236,5.404999999999999,1.23
1930,6.1579999999999995,1.22,5.137,1.213,5.3919999999999995,1.217,5.423,1.232
1931,5.411,1.2409999999999999,5.215999999999999,1.201,5.468999999999999,1.197,5.3709999999999996,1.2309999999999999
1932,4.774,1.194,5.433999999999999,1.1869999999999998,5.417999999999999,1.198,5.343999999999999,1.226
1933,5.6979999999999995,1.214,5.447,1.183,5.476999999999999,1.193,5.372,1.214
1934,5.128,1.282,5.5329999999999995,1.17,5.555,1.181,5.420999999999999,1.209
1935,6.2219999999999995,1.192,5.7749999999999995,1.183,5.552,1.175,5.396,1.201
1936,5.845,1.165,5.7299999999999995,1.188,5.438,1.181,5.457,1.19
1937,5.983,1.273,5.91,1.169,5.417999999999999,1.193,5.412999999999999,1.186
1938,5.4719999999999995,1.229,5.617999999999999,1.189,5.4399999999999995,1.1869999999999998,5.442,1.186
1939,6.029999999999999,1.196,5.375,1.225,5.537999999999999,1.186,5.476,1.181
1940,4.763,1.261,5.0249999999999995,1.216,5.401,1.194,5.513999999999999,1.175
1941,4.629,1.319,5.210999999999999,1.2069999999999999,5.444999999999999,1.189,5.529,1.173
1942,4.2299999999999995,1.2389999999999999,5.090999999999999,1.221,5.407,1.179,5.569,1.176
1943,6.401999999999999,1.188,5.324,1.2109999999999999,5.407,1.183,5.576,1.184
1944,5.431,1.242,5.56,1.171,5.396999999999999,1.188,5.609,1.183
1945,5.93,1.246,5.6819999999999995,1.151,5.475,1.181,5.5729999999999995,1.181
1946,5.808,1.169,5.672,1.181,5.62,1.17,5.5329999999999995,1.18
1947,4.8389999999999995,1.193,5.662,1.164,5.72,1.162,5.497,1.18
1948,6.353,1.271,5.771999999999999,1.166,5.712,1.1869999999999998,5.5009999999999994,1.176
1949,5.382,1.154,5.683999999999999,1.192,5.681,1.1949999999999998,5.5009999999999994,1.174
1950,6.479,1.2389999999999999,5.951,1.202,5.744,1.19,5.556,1.168
