year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1833,,,,,,,,
1834,2.63,2.161,,,,,,
1835,2.461,2.026,,,,,,
1836,0.9169999999999999,1.8570000000000002,,,,,,
1837,1.1629999999999998,1.8890000000000002,,,,,,
1838,,,,,,,,
1839,0.5249999999999999,1.955,,,,,,
1840,0.9349999999999999,,,,,,,
1841,0.29899999999999993,1.729,0.751,,,,,
1842,1.136,1.9900000000000002,0.8869999999999999,,,,,
1843,0.86,,0.7989999999999999,,0.8089999999999999,,,
1844,1.2069999999999999,,1.095,,0.962,,,
1845,0.496,,1.063,,0.9079999999999999,,,
1846,1.775,2.06,1.124,,1.0219999999999998,,,
1847,0.975,1.9060000000000001,1.085,,1.035,,,
1848,1.168,2.109,1.119,1.6150000000000002,1.1059999999999999,,0.86,
1849,1.011,2.102,1.009,1.536,1.053,,0.8959999999999999,
1850,0.669,1.936,1.044,1.524,1.025,1.395,0.9359999999999999,
1851,1.2229999999999999,1.967,1.087,1.472,1.003,1.3250000000000002,0.969,
1852,1.1509999999999998,2.247,1.0139999999999998,1.443,0.854,1.369,0.975,
1853,1.384,2.123,0.95,1.557,0.9109999999999999,1.3780000000000001,1.028,
1854,0.641,2.331,0.817,1.5739999999999998,0.83,1.233,1.067,
1855,0.353,2.069,0.669,1.456,0.965,1.236,1.04,1.221
1856,0.556,1.9249999999999998,0.5329999999999999,1.4129999999999998,0.9169999999999999,1.174,1.085,1.092
1857,0.40900000000000003,1.8570000000000002,0.7629999999999999,1.256,0.9149999999999999,1.149,1.067,1.068
1858,0.704,1.912,0.966,1.211,0.95,1.0750000000000002,1.109,1.062
1859,1.792,2.07,1.02,1.229,1.081,1.036,1.1429999999999998,0.978
1860,1.367,1.8570000000000002,1.252,1.272,1.055,1.03,1.184,0.964
1861,0.829,1.9049999999999998,1.533,1.323,1.1669999999999998,1.078,1.136,0.9500000000000001
1862,1.569,1.959,1.378,1.312,1.279,1.158,1.092,0.9400000000000001
1863,2.1069999999999998,2.364,1.226,1.393,1.306,1.206,1.1139999999999999,0.9430000000000001
1864,1.0179999999999998,2.212,1.438,1.4700000000000002,1.4569999999999999,1.292,1.1589999999999998,0.964
1865,0.6059999999999999,2.047,1.404,1.588,1.403,1.276,1.168,0.965
1866,1.893,1.888,1.323,1.521,1.3559999999999999,1.3050000000000002,1.165,1.0
1867,1.396,2.204,1.484,1.4740000000000002,1.27,1.307,1.1989999999999998,1.02
1868,1.7,2.043,1.51,1.4089999999999998,1.277,1.251,1.1949999999999998,1.016
1869,1.826,2.031,1.212,1.379,1.236,1.1640000000000001,1.2469999999999999,1.028
1870,0.733,1.7309999999999999,1.144,1.252,1.281,1.057,1.181,0.99
1871,0.403,1.7999999999999998,1.1349999999999998,1.183,1.164,1.03,1.178,0.992
1872,1.055,1.7200000000000002,1.011,1.077,1.12,0.977,1.149,0.987
1873,1.659,1.8559999999999999,0.991,1.045,1.085,0.933,1.105,0.9550000000000001
1874,1.204,1.6150000000000002,1.0499999999999998,1.088,1.037,0.881,1.103,0.934
1875,0.6359999999999999,1.87,1.003,1.147,0.96,0.8680000000000001,1.127,0.903
1876,0.698,1.783,0.955,1.1560000000000001,1.001,0.8660000000000001,1.127,0.902
1877,0.815,1.7600000000000002,0.963,1.146,1.028,0.89,1.108,0.889
1878,1.419,1.6270000000000002,0.974,1.072,0.9319999999999999,0.898,1.087,0.8500000000000001
1879,1.2449999999999999,1.6520000000000001,0.8819999999999999,1.0110000000000001,0.971,0.924,0.955,0.8260000000000001
1880,0.694,1.6179999999999999,1.1179999999999999,0.9380000000000001,0.973,0.921,0.955,0.827
1881,0.23699999999999988,1.3,0.8789999999999999,0.9410000000000001,1.0899999999999999,0.899,0.981,0.8360000000000001
1882,1.994,1.01,0.979,0.967,1.097,0.892,1.028,0.8400000000000001
1883,0.22099999999999986,1.201,1.145,0.9520000000000001,1.0899999999999999,0.8520000000000001,0.9159999999999999,0.843
1884,1.7449999999999999,1.2690000000000001,1.1509999999999998,1.032,0.872,0.8640000000000001,0.8839999999999999,0.853
1885,1.526,1.0110000000000001,1.0939999999999999,0.9570000000000001,0.949,0.892,0.9229999999999999,0.837
1886,0.266,1.5750000000000002,1.044,0.893,0.962,0.915,0.9339999999999999,0.796
1887,1.71,0.984,0.7679999999999999,0.927,1.029,0.903,0.947,0.786
1888,-0.025000000000000133,1.034,0.87,1.0430000000000001,0.8999999999999999,0.87,1.0099999999999998,0.767
