year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1886,,,,,,,,
1887,19.297,0.575,,,,,,
1888,19.442,0.514,,,,,,
1889,,,19.461,0.384,,,,
1890,,,,,,,,
1891,19.387,0.591,,,,,,
1892,,,,,,,,
1893,,,,,,,,
1894,19.591,0.499,,,,,,
1895,,,,,,,,
1896,,,,,,,,
1897,,,,,,,,
1898,,,,,,,,
1899,19.608,0.52,,,,,,
1900,20.07,0.565,19.901,0.387,,,19.681,0.268
1901,20.16,0.617,19.916,0.354,19.832,0.306,19.695,0.278
1902,19.955,0.496,19.916,0.33999999999999997,19.831,0.299,19.705,0.275
1903,19.787,0.458,19.855999999999998,0.32699999999999996,19.778,0.294,19.722,0.271
1904,19.607,0.479,19.803,0.32699999999999996,19.798,0.28800000000000003,19.746,0.272
1905,19.772,0.515,19.705,0.316,19.784,0.28800000000000003,19.779,0.28
1906,19.895,0.5389999999999999,19.665,0.32599999999999996,19.711,0.297,19.806,0.278
1907,19.466,0.524,19.655,0.34299999999999997,19.68,0.294,19.802,0.271
1908,19.588,0.542,19.645,0.354,19.671,0.29000000000000004,19.768,0.269
1909,19.555,0.54,19.56,0.361,19.687,0.294,19.772,0.262
1910,19.723,0.573,19.651,0.369,19.749,0.31,19.78,0.257
1911,19.467,0.575,19.666999999999998,0.358,19.779,0.302,19.759,0.25
1912,19.923,0.519,19.797,0.378,19.773,0.294,19.75,0.242
1913,19.665,0.473,19.907,0.349,19.759,0.298,19.747,0.238
1914,20.205,0.526,20.001,0.321,19.747,0.29100000000000004,19.752,0.243
1915,20.274,0.5589999999999999,19.894,0.314,19.776,0.28500000000000003,19.746,0.245
1916,19.938,0.524,19.811,0.32499999999999996,19.807,0.28500000000000003,19.747,0.248
1917,19.387999999999998,0.474,19.752,0.351,19.820999999999998,0.28600000000000003,19.781,0.245
1918,19.252,0.544,19.676,0.38,19.823,0.29000000000000004,19.823,0.244
1919,19.907,0.5740000000000001,19.641,0.397,19.817,0.306,19.857,0.243
1920,19.895,0.628,19.735,0.389,19.743,0.316,19.88,0.239
