year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1881,,,,,,,,
1882,,,,,,,,
1883,,,,,,,,
1884,,,,,,,,
1885,12.712,1.225,,,,,,
1886,,,,,,,,
1887,,,,,,,,
1888,,,,,,,,
1889,,,,,,,,
1890,,,,,,,,
1891,,,,,,,,
1892,,,,,,,,
1893,12.609,1.221,12.678,0.9239999999999999,,,,
1894,12.802,1.155,12.746,0.929,,,,
1895,12.924,1.151,12.862,0.9239999999999999,12.876,0.839,13.004,0.798
1896,,,13.07,0.992,13.013,0.856,13.022,0.79
1897,13.13,1.162,13.098,0.919,13.113,0.895,13.024000000000001,0.794
1898,13.652000000000001,1.7249999999999999,13.215,0.9710000000000001,13.198,0.942,13.011000000000001,0.819
1899,12.942,1.236,13.415000000000001,1.042,13.24,0.9670000000000001,13.026,0.8400000000000001
1900,13.51,1.292,13.459,1.076,13.241,0.9930000000000001,12.998000000000001,0.848
1901,13.843,1.282,13.409,1.056,13.266,0.9830000000000001,13.008000000000001,0.87
1902,13.347,1.222,13.391,1.183,13.269,0.9950000000000001,13.018,0.886
1903,13.403,1.649,13.242,1.089,13.176,0.9630000000000001,13.039,0.879
1904,12.851,1.026,13.079,0.9279999999999999,13.153,0.982,13.078,0.867
1905,12.768,0.9870000000000001,13.036,0.98,13.120000000000001,1.046,13.136000000000001,0.882
1906,13.025,1.254,12.88,0.937,13.004,1.026,13.151,0.863
1907,13.132,1.532,12.9,0.956,12.923,0.986,13.16,0.869
1908,12.625,1.373,12.894,1.026,12.879,0.908,13.139,0.852
1909,12.949,1.186,12.784,1.154,12.916,0.856,13.122,0.8280000000000001
1910,12.74,1.2510000000000001,12.771,0.976,13.031,0.854,13.120000000000001,0.86
1911,12.473,1.016,12.898,0.874,13.037,0.8340000000000001,13.09,0.8200000000000001
1912,13.068,0.8360000000000001,13.035,0.81,13.051,0.8320000000000001,13.071,0.7949999999999999
1913,13.26,0.847,13.23,0.761,13.102,0.827,13.067,0.763
1914,13.632,0.935,13.36,0.733,13.091000000000001,0.767,13.076,0.748
1915,13.716000000000001,0.946,13.4,0.744,13.120000000000001,0.765,13.084,0.727
1916,13.123000000000001,0.878,13.257,0.739,13.177,0.727,13.086,0.7210000000000001
1917,13.269,0.917,13.181000000000001,0.802,13.219,0.7150000000000001,13.094,0.706
1918,12.546,1.04,13.053,0.815,13.255,0.716,13.105,0.6839999999999999
1919,13.253,1.124,13.109,0.8089999999999999,13.235,0.734,13.109,0.664
1920,13.072000000000001,0.962,13.051,0.8069999999999999,13.137,0.712,13.182,0.656
1921,13.405,0.858,13.218,0.771,13.134,0.71,13.214,0.644
1922,12.979000000000001,0.788,13.211,0.716,13.136000000000001,0.69,13.228,0.629
1923,13.381,0.8029999999999999,13.233,0.696,13.107,0.6990000000000001,13.23,0.627
1924,13.218,0.768,13.189,0.687,13.127,0.692,13.217,0.635
1925,13.184000000000001,0.743,13.134,0.702,13.243,0.666,13.198,0.632
1926,13.181000000000001,0.853,13.037,0.7110000000000001,13.252,0.642,13.176,0.623
1927,12.705,0.897,13.113,0.712,13.238,0.623,13.194,0.615
1928,12.894,0.8160000000000001,13.24,0.662,13.205,0.619,13.188,0.605
1929,13.598,0.762,13.291,0.663,13.199,0.606,13.214,0.59
1930,13.822000000000001,0.9850000000000001,13.32,0.643,13.259,0.622,13.22,0.581
1931,13.437,0.887,13.345,0.665,13.217,0.613,13.252,0.582
1932,12.847,0.7,13.393,0.6990000000000001,13.251,0.593,13.274000000000001,0.584
1933,13.021,0.8009999999999999,13.211,0.62,13.27,0.607,13.299,0.595
1934,13.837,1.019,13.177,0.608,13.301,0.608,13.318,0.6
1935,12.911,0.95,13.178,0.585,13.198,0.5720000000000001,13.326,0.604
1936,13.27,0.8340000000000001,13.293000000000001,0.612,13.252,0.569,13.325000000000001,0.599
1937,12.85,0.8069999999999999,13.184000000000001,0.63,13.311,0.586,13.346,0.587
1938,13.597,1.123,13.251,0.623,13.392,0.611,13.388,0.591
1939,13.290000000000001,0.968,13.345,0.625,13.437,0.66,13.403,0.587
1940,13.249,0.812,13.541,0.672,13.394,0.658,13.378,0.611
1941,13.738,0.752,13.573,0.8069999999999999,13.433,0.638,13.405,0.631
1942,13.831,0.87,13.567,0.825,13.441,0.646,13.419,0.631
1943,13.756,0.815,13.559000000000001,0.747,13.505,0.716,13.464,0.629
1944,13.262,1.025,13.493,0.7090000000000001,13.504,0.732,13.488,0.628
1945,13.208,0.831,13.446,0.6970000000000001,13.559000000000001,0.761,13.475,0.63
1946,13.408,0.817,13.456,0.729,13.559000000000001,0.756,13.488,0.615
1947,13.598,0.8180000000000001,13.458,0.749,13.527000000000001,0.764,13.49,0.613
1948,13.807,0.753,13.65,0.761,13.537,0.687,13.536,0.623
1949,13.272,1.063,13.603,0.839,13.538,0.63,13.556000000000001,0.608
1950,14.164,0.905,13.649000000000001,0.739,13.555,0.624,13.597,0.575
1951,13.175,0.897,13.618,0.63,13.542,0.604,13.594,0.56
1952,13.83,0.9179999999999999,13.64,0.608,13.538,0.59,13.627,0.558
1953,13.647,1.12,13.53,0.623,13.568,0.5660000000000001,13.619,0.5609999999999999
1954,13.387,0.6839999999999999,13.531,0.7070000000000001,13.607,0.5780000000000001,13.614,0.567
1955,13.613,0.544,13.466000000000001,0.692,13.635,0.655,13.635,0.556
1956,13.179,0.782,13.527000000000001,0.669,13.629,0.712,13.674,0.546
1957,13.504,0.782,13.620000000000001,0.6799999999999999,13.726,0.7150000000000001,13.708,0.541
1958,13.954,0.8420000000000001,13.621,0.768,13.700000000000001,0.681,13.711,0.539
1959,13.852,0.672,13.879,0.761,13.69,0.625,13.721,0.55
1960,13.616,1.062,13.891,0.7090000000000001,13.714,0.622,13.748,0.5740000000000001
1961,14.471,0.654,13.824,0.652,13.806000000000001,0.631,13.77,0.59
1962,13.562,0.752,13.789,0.604,13.878,0.624,13.793000000000001,0.591
1963,13.620000000000001,0.659,13.814,0.581,13.854000000000001,0.586,13.790000000000001,0.569
1964,13.677,0.8360000000000001,13.749,0.5780000000000001,13.835,0.565,13.816,0.551
1965,13.741,0.63,13.845,0.557,13.861,0.546,13.816,0.551
1966,14.145,0.753,13.851,0.547,13.91,0.55,13.844,0.551
1967,14.041,0.565,13.921,0.545,13.86,0.552,13.838000000000001,0.547
1968,13.651,0.594,13.998000000000001,0.53,13.879,0.555,13.825000000000001,0.539
1969,14.027000000000001,0.7849999999999999,14.002,0.565,13.943,0.5640000000000001,13.807,0.531
1970,14.125,0.668,13.88,0.5800000000000001,13.918000000000001,0.542,13.82,0.53
1971,14.165000000000001,0.635,14.053,0.645,13.881,0.535,13.805,0.529
1972,13.434000000000001,0.584,13.967,0.621,13.798,0.532,13.753,0.533
1973,14.515,0.8300000000000001,13.831,0.562,13.796,0.545,13.778,0.522
1974,13.594,0.598,13.702,0.514,13.778,0.54,13.816,0.508
1975,13.446,0.7030000000000001,13.679,0.537,13.779,0.527,13.835,0.511
1976,13.519,0.611,13.509,0.577,13.700000000000001,0.528,13.832,0.517
1977,13.322000000000001,0.74,13.561,0.603,13.647,0.542,13.825000000000001,0.517
1978,13.663,0.611,13.602,0.597,13.677,0.5660000000000001,13.874,0.51
1979,13.853,0.526,13.609,0.623,13.69,0.5720000000000001,13.889,0.488
1980,13.653,0.641,13.686,0.608,13.752,0.565,13.86,0.485
1981,13.555,0.714,13.843,0.579,13.782,0.565,13.865,0.49
1982,13.704,0.74,13.867,0.554,13.852,0.551,13.872,0.502
1983,14.447000000000001,0.554,13.898,0.563,13.952,0.516,13.909,0.514
1984,13.974,0.6950000000000001,14.021,0.554,14.0,0.515,13.931000000000001,0.532
1985,13.808,0.749,14.155,0.588,13.942,0.541,13.953,0.535
1986,14.172,0.6759999999999999,14.163,0.614,14.029,0.565,13.999,0.533
1987,14.377,0.673,14.096,0.623,14.097,0.596,14.014,0.525
1988,14.484,0.9510000000000001,14.128,0.657,14.142,0.62,14.021,0.518
1989,13.641,0.8180000000000001,14.081,0.7190000000000001,14.173,0.629,14.058,0.519
1990,13.966000000000001,0.688,14.08,0.7210000000000001,14.154,0.628,14.079,0.521
1991,13.938,0.771,14.116,0.688,14.216000000000001,0.634,14.11,0.529
1992,14.372,0.667,14.157,0.649,14.176,0.624,14.149000000000001,0.536
1993,14.664,0.65,14.278,0.625,14.09,0.593,14.148,0.54
1994,13.845,0.635,14.289,0.567,14.116,0.548,14.161,0.535
1995,14.572000000000001,0.638,14.152000000000001,0.54,14.216000000000001,0.534,14.161,0.535
1996,13.994,0.644,14.061,0.5740000000000001,14.191,0.545,14.200000000000001,0.543
1997,13.682,0.815,14.216000000000001,0.632,14.200000000000001,0.5640000000000001,14.181000000000001,0.542
1998,14.209,0.643,14.137,0.666,14.155,0.5589999999999999,14.127,0.535
1999,14.622,0.79,14.16,0.6930000000000001,14.15,0.5640000000000001,14.131,0.512
2000,14.177,0.694,14.194,0.627,14.167,0.553,14.152000000000001,0.51
2001,14.109,0.712,14.244,0.5680000000000001,14.184000000000001,0.555,14.158,0.514
2002,13.854000000000001,0.56,14.164,0.501,14.186,0.536,14.144,0.529
2003,14.459,0.722,14.223,0.496,14.163,0.531,14.112,0.553
2004,14.222,0.5760000000000001,14.223,0.518,14.147,0.521,,
2005,14.47,0.623,14.184000000000001,0.522,14.087,0.522,,
2006,14.109,0.648,14.022,0.536,14.126,0.532,,
2007,13.659,0.598,13.998000000000001,0.556,14.088000000000001,0.544,,
2008,13.652000000000001,0.645,14.019,0.585,14.07,0.584,,
2009,14.1,0.664,13.977,0.615,,,,
2010,14.574,0.662,13.957,0.666,,,,
2011,13.901,0.8089999999999999,14.076,0.736,,,,
2012,13.556000000000001,0.725,,,,,,
2013,14.249,1.098,,,,,,
