year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1861,,,,,,,,
1862,-10.305,1.687,,,,,,
1863,-9.732,1.851,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,-10.291,1.872,,,,,,
1868,-10.639,1.722,-10.35,1.1,,,,
1869,-10.520999999999999,1.7120000000000002,-10.363,1.125,-10.463,0.95,-10.331999999999999,0.808
1870,-10.174,1.596,-10.479,1.055,-10.544,0.895,-10.381,0.791
1871,-10.189,1.6320000000000001,-10.543,0.9990000000000001,-10.696,0.881,-10.443,0.792
1872,-10.873999999999999,1.4640000000000002,-10.66,0.95,-10.735,0.8640000000000001,-10.451,0.791
1873,-10.956999999999999,1.358,-10.918,0.917,-10.6,0.853,-10.494,0.787
1874,-11.107,1.308,-11.102,0.871,-10.421,0.831,-10.593,0.784
1875,-11.461,1.4200000000000002,-10.95,0.8620000000000001,-10.471,0.807,-10.674,0.755
1876,-11.113,1.211,-10.392999999999999,0.889,-10.626999999999999,0.768,-10.721,0.734
1877,-10.115,1.313,-10.196,0.8400000000000001,-10.626999999999999,0.74,-10.772,0.7190000000000001
1878,-8.168,1.179,-10.214,0.808,-10.626,0.758,-10.849,0.7
1879,-10.121,1.058,-10.123,0.791,-10.722999999999999,0.787,-10.866,0.692
1880,-11.552,1.073,-10.324,0.766,-10.805,0.784,-10.839,0.69
1881,-10.657,1.172,-10.953,0.785,-10.746,0.742,-10.884,0.678
1882,-11.123,1.107,-11.334999999999999,0.869,-10.809,0.7310000000000001,-10.892999999999999,0.659
1883,-11.314,1.301,-11.309999999999999,0.8920000000000001,-11.099,0.728,-10.875,0.648
1884,-12.030999999999999,1.362,-11.354,0.871,-11.311,0.7270000000000001,-10.897,0.646
1885,-11.427,1.1,-11.488999999999999,0.877,-11.206,0.747,-10.873999999999999,0.636
1886,-10.875,1.113,-11.644,0.825,-11.14,0.759,-10.815,0.619
1887,-11.797,1.11,-11.108,0.795,-11.16,0.7450000000000001,-10.822,0.632
1888,-12.091999999999999,1.0010000000000001,-11.110999999999999,0.789,-11.123999999999999,0.6890000000000001,-10.895999999999999,0.64
1889,-9.350999999999999,1.078,-11.065999999999999,0.757,-11.07,0.68,-10.993,0.646
1890,-11.439,1.088,-10.777,0.692,-10.943,0.659,-10.975,0.646
1891,-10.651,1.008,-10.533999999999999,0.687,-10.885,0.646,-10.911,0.653
1892,-10.353,1.085,-10.926,0.673,-10.836,0.664,-10.879999999999999,0.648
1893,-10.876999999999999,0.9630000000000001,-10.661,0.667,-10.693999999999999,0.665,-10.841999999999999,0.617
1894,-11.307,0.952,-10.715,0.6890000000000001,-10.674999999999999,0.666,-10.772,0.611
1895,-10.115,0.9570000000000001,-10.801,0.7350000000000001,-10.744,0.653,-10.719999999999999,0.6040000000000001
1896,-10.924999999999999,1.024,-10.695,0.759,-10.682,0.661,-10.668,0.5920000000000001
1897,-10.782,0.9079999999999999,-10.695,0.7290000000000001,-10.600999999999999,0.666,-10.629,0.5820000000000001
1898,-10.347,1.029,-10.648,0.7390000000000001,-10.559999999999999,0.674,-10.593,0.5710000000000001
1899,-11.307,0.851,-10.507,0.781,-10.472999999999999,0.687,-10.604,0.5630000000000001
1900,-9.881,0.9870000000000001,-10.331,0.794,-10.497,0.7070000000000001,-10.625,0.559
1901,-10.219999999999999,1.034,-10.363999999999999,0.804,-10.451,0.7090000000000001,-10.62,0.557
1902,-9.899,0.929,-10.293,0.831,-10.423,0.7110000000000001,-10.6,0.556
1903,-10.513,1.054,-10.344,0.815,-10.491,0.6839999999999999,-10.591999999999999,0.555
1904,-10.951,0.9159999999999999,-10.311,0.758,-10.533,0.677,-10.549999999999999,0.544
1905,-10.135,0.9279999999999999,-10.7,0.694,-10.506,0.652,-10.564,0.539
1906,-10.056,0.8540000000000001,-10.679,0.64,-10.558,0.6100000000000001,-10.517999999999999,0.533
1907,-11.843,0.8280000000000001,-10.703999999999999,0.63,-10.599,0.5880000000000001,-10.503,0.535
1908,-10.408,0.917,-10.702,0.562,-10.623999999999999,0.56,-10.543,0.525
1909,-11.075,0.77,-10.82,0.553,-10.626999999999999,0.531,-10.561,0.522
