year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1866,,,,,,,,
1867,22.471,2.38,,,,,,
1868,22.450000000000003,1.943,22.527,1.8940000000000001,,,,
1869,22.567,2.2110000000000003,22.458000000000002,1.929,22.484,1.726,,
1870,22.446,1.92,22.438000000000002,1.803,22.442,1.646,,
1871,22.357000000000003,1.957,22.402,1.727,22.365000000000002,1.637,22.507,1.583
1872,22.368000000000002,2.064,22.327,1.691,22.354000000000003,1.635,22.507,1.575
1873,22.274,2.221,22.257,1.735,22.358,1.626,22.482000000000003,1.528
1874,22.189,2.012,22.243000000000002,1.879,22.417,1.635,22.459,1.487
1875,22.095000000000002,2.295,22.254,1.867,22.418000000000003,1.657,22.428,1.473
1876,22.292,2.084,22.397000000000002,1.759,22.397000000000002,1.642,22.403000000000002,1.48
1877,22.422,1.818,22.499000000000002,1.718,22.409000000000002,1.622,22.394000000000002,1.487
1878,22.988,1.787,22.532,1.593,22.417,1.603,22.369,1.475
1879,22.697000000000003,1.778,22.583000000000002,1.5050000000000001,22.434,1.597,22.359,1.499
1880,22.262,1.688,22.55,1.5130000000000001,22.415000000000003,1.574,22.376,1.5190000000000001
1881,22.543000000000003,1.593,22.448,1.594,22.442,1.557,22.366,1.54
1882,22.261000000000003,1.8290000000000002,22.347,1.6800000000000002,22.434,1.553,22.347,1.56
1883,22.476000000000003,2.401,22.326,1.694,22.379,1.554,22.331000000000003,1.576
1884,22.192,1.9500000000000002,22.291,1.729,22.302,1.5590000000000002,22.324,1.556
1885,22.159000000000002,1.703,22.246000000000002,1.6440000000000001,22.334,1.575,22.32,1.5190000000000001
1886,22.368000000000002,1.907,22.206000000000003,1.621,22.335,1.578,22.342000000000002,1.488
1887,22.033,1.945,22.327,1.718,22.284000000000002,1.616,22.326,1.493
1888,22.278000000000002,1.712,22.375,1.759,22.244,1.646,22.314,1.514
1889,22.797,2.039,22.293000000000003,1.774,22.214000000000002,1.6680000000000001,22.277,1.532
1890,22.401,1.964,22.305,1.823,22.226000000000003,1.637,22.279,1.522
1891,21.955000000000002,1.83,22.223000000000003,1.835,22.242,1.67,22.3,1.5190000000000001
1892,22.092000000000002,2.055,22.092000000000002,1.65,22.218,1.6320000000000001,22.314,1.5230000000000001
1893,21.87,1.8050000000000002,22.109,1.581,22.249000000000002,1.614,22.302,1.52
1894,22.143,1.952,22.159000000000002,1.585,22.253,1.616,22.310000000000002,1.542
1895,22.484,1.669,22.201,1.508,22.224,1.592,22.311,1.558
1896,22.204,1.957,22.247,1.5230000000000001,22.265,1.554,22.322000000000003,1.563
1897,22.304000000000002,1.606,22.330000000000002,1.677,22.344,1.499,22.354000000000003,1.5430000000000001
1898,22.1,1.8719999999999999,22.385,1.606,22.360000000000003,1.445,22.37,1.534
1899,22.556,1.9849999999999999,22.486,1.565,22.407,1.47,22.369,1.529
1900,22.76,1.671,22.499000000000002,1.55,22.397000000000002,1.533,22.353,1.516
1901,22.711000000000002,1.605,22.55,1.5130000000000001,22.402,1.526,22.365000000000002,1.508
1902,22.369,1.6800000000000002,22.505000000000003,1.498,22.490000000000002,1.5510000000000002,22.39,1.488
1903,22.354000000000003,1.67,22.414,1.56,22.491,1.55,22.435000000000002,1.459
1904,22.330000000000002,1.576,22.396,1.591,22.485000000000003,1.541,22.461000000000002,1.466
1905,22.307000000000002,1.854,22.468,1.607,22.481,1.548,22.490000000000002,1.46
1906,22.619,1.986,22.462,1.62,22.464000000000002,1.5590000000000002,22.511000000000003,1.455
