year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,13.536,1.269,,,,,,
1860,13.498,1.0739999999999998,,,,,,
1861,13.172999999999998,1.081,,,,,,
1862,,,,,,,,
1863,,,,,13.468,0.784,,
1864,,,,,13.514,0.831,,
1865,13.812999999999999,0.709,,,13.482,0.8119999999999999,,
1866,13.524999999999999,1.0430000000000001,13.504,0.885,13.478,0.828,13.255999999999998,0.69
1867,13.623,1.259,13.505999999999998,0.83,13.491999999999999,0.854,13.297999999999998,0.698
1868,13.289,1.107,13.404,0.9,13.459999999999999,0.813,13.322999999999999,0.696
1869,13.280999999999999,1.1219999999999999,13.373999999999999,0.876,13.392999999999999,0.743,13.36,0.708
1870,13.305,1.026,13.308,0.8089999999999999,13.290999999999999,0.741,13.329999999999998,0.688
1871,13.370999999999999,1.056,13.338999999999999,0.773,13.210999999999999,0.729,13.36,0.7050000000000001
1872,13.296,0.956,13.183,0.752,13.184999999999999,0.712,13.422999999999998,0.7070000000000001
1873,13.440999999999999,1.161,13.096,0.746,13.177999999999999,0.688,13.366999999999999,0.6799999999999999
1874,12.503,1.34,13.011999999999999,0.769,13.206,0.708,13.338,0.673
1875,12.867999999999999,1.314,13.003,0.8039999999999999,13.177999999999999,0.718,13.267999999999999,0.715
1876,12.954999999999998,1.0979999999999999,13.001999999999999,0.87,13.241,0.727,13.290999999999999,0.7030000000000001
1877,13.251,1.0230000000000001,13.228,0.827,13.354,0.737,13.235999999999999,0.6859999999999999
1878,13.434,1.1400000000000001,13.235,0.779,13.274,0.6719999999999999,13.219999999999999,0.683
1879,13.632,0.912,13.642999999999999,0.8059999999999999,13.282,0.6779999999999999,13.212,0.661
1880,12.904,1.03,13.619,0.74,13.245999999999999,0.752,13.197999999999999,0.6599999999999999
1881,14.991,1.383,13.530999999999999,0.716,13.372,0.724,13.19,0.638
1882,13.133999999999999,0.987,13.351999999999999,0.98,13.286,0.698,13.2,0.622
1883,12.995,1.485,13.399999999999999,1.143,13.261999999999999,0.723,13.204999999999998,0.615
1884,12.735999999999999,2.276,13.094,0.925,13.218,0.708,13.223999999999998,0.622
1885,13.145,1.2029999999999998,12.883,0.891,13.216999999999999,0.6990000000000001,13.251,0.604
1886,13.462,2.4640000000000004,13.001,0.822,13.139,0.6819999999999999,13.303999999999998,0.588
1887,12.076999999999998,1.006,13.098999999999998,0.718,13.046,0.729,13.318999999999999,0.592
1888,13.585999999999999,0.791,13.050999999999998,0.752,13.136,0.635,13.293,0.594
1889,13.225,1.097,13.01,0.6679999999999999,13.165999999999999,0.613,13.299999999999999,0.604
1890,12.904,0.755,13.280999999999999,0.583,13.257,0.587,13.331,0.602
1891,13.26,0.588,13.241,0.6599999999999999,13.235999999999999,0.583,13.318999999999999,0.5780000000000001
1892,13.43,0.649,13.277999999999999,0.598,13.353,0.599,13.295,0.627
1893,13.383999999999999,0.823,13.460999999999999,0.5529999999999999,13.324,0.622,13.337,0.587
1894,13.411999999999999,0.74,13.415,0.627,13.380999999999998,0.622,13.348999999999998,0.567
1895,13.821,0.619,13.482,0.6699999999999999,13.443999999999999,0.6,13.376999999999999,0.532
1896,13.024999999999999,0.97,13.43,0.687,13.498,0.5820000000000001,13.348999999999998,0.5429999999999999
1897,13.765999999999998,0.741,13.508999999999999,0.6639999999999999,13.543,0.603,13.402,0.588
1898,13.125,0.889,13.507,0.634,13.536999999999999,0.586,13.379,0.591
