year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,20.262999999999998,1.409,19.866,1.06,19.866999999999997,1.062,,
1882,20.067,1.363,19.74,1.113,19.825,1.045,,
1883,19.514,1.3010000000000002,19.813,1.216,19.756999999999998,1.024,,
1884,19.415,1.526,19.686999999999998,1.191,19.605999999999998,0.992,19.704,0.913
1885,19.805,1.51,19.537,1.118,19.63,0.998,19.7,0.923
1886,19.633,1.108,19.491,1.058,19.587999999999997,0.972,19.724999999999998,0.928
1887,19.317999999999998,1.19,19.512,0.908,19.526999999999997,0.921,19.712999999999997,0.96
1888,19.285999999999998,1.059,19.461,0.9,19.561999999999998,0.872,19.677,0.99
1889,19.519,1.3439999999999999,19.416999999999998,0.8480000000000001,19.619,0.856,19.674,0.9710000000000001
1890,19.552,1.5350000000000001,19.512,0.8480000000000001,19.613999999999997,0.86,19.712999999999997,0.956
1891,19.409,1.3370000000000002,19.712999999999997,0.9870000000000001,19.584,0.882,19.749,0.9390000000000001
1892,19.793,0.998,19.735999999999997,0.908,19.601,0.9650000000000001,19.733,0.927
1893,20.29,1.566,19.753,0.9670000000000001,19.596999999999998,1.075,19.741999999999997,0.944
1894,19.634,1.54,19.813,1.052,19.741999999999997,1.024,19.750999999999998,0.968
1895,19.64,1.339,19.706,1.339,19.796,0.984,19.759,0.956
1896,19.709,1.48,19.605,1.4689999999999999,19.91,0.9910000000000001,19.747999999999998,0.9670000000000001
1897,19.258,2.305,19.729,1.2349999999999999,19.939,1.022,19.773999999999997,1.002
1898,19.782999999999998,1.155,19.941,1.057,19.921999999999997,1.103,19.776999999999997,1.026
1899,20.255,1.315,20.076999999999998,1.0,19.883,1.135,19.836,1.0470000000000002
1900,20.698,1.388,20.211,1.105,19.904,1.08,19.852,1.042
1901,20.392999999999997,1.267,20.156,1.131,19.910999999999998,1.106,19.884,1.0510000000000002
1902,19.924,1.264,20.061,1.137,19.947,1.112,19.887,1.063
1903,19.512999999999998,1.69,19.816,1.203,19.958,1.115,19.863,1.089
1904,19.776,1.1640000000000001,19.741999999999997,1.327,19.93,1.123,19.840999999999998,1.088
1905,19.474999999999998,1.28,19.676,1.331,19.907999999999998,1.129,19.891,1.046
1906,20.022,1.611,19.791999999999998,1.201,19.858999999999998,1.158,19.924999999999997,1.032
1907,19.595,1.479,19.842,1.177,19.834999999999997,1.167,19.926,1.0
1908,20.093,1.178,19.942999999999998,1.134,19.802999999999997,1.1219999999999999,19.935,0.994
1909,20.028,1.1760000000000002,19.881,1.08,19.799,1.076,19.93,1.002
1910,19.976,1.21,19.916,1.0390000000000001,19.878,1.046,19.924,1.0150000000000001
1911,19.712999999999997,1.343,19.785,1.097,19.939,0.999,19.895999999999997,1.034
1912,19.772,1.123,19.814,1.026,19.904,0.929,19.889,1.0350000000000001
1913,19.438,1.2229999999999999,19.929,0.9530000000000001,19.910999999999998,0.919,19.891,1.012
1914,20.172,1.008,19.954,0.918,19.93,0.918,19.901999999999997,0.99
1915,20.549999999999997,1.371,19.907999999999998,0.92,19.939999999999998,0.918,19.936999999999998,0.996
1916,19.837,0.966,19.968999999999998,0.929,19.933,0.9410000000000001,19.959,0.9710000000000001
1917,19.543,1.098,20.06,0.96,19.944,0.9710000000000001,19.993,0.942
1918,19.74,1.411,19.915,1.065,19.98,1.008,20.028,0.938
1919,20.63,1.2930000000000001,19.919,1.158,20.005,1.0030000000000001,20.055,0.925
1920,19.826,1.225,20.028,1.224,19.996,1.05,20.058,0.917
1921,19.855999999999998,1.182,20.035999999999998,1.175,19.98,1.086,20.067999999999998,0.912
1922,20.089,1.354,19.994999999999997,1.1400000000000001,20.083,1.107,20.099,0.903
1923,19.779,1.147,20.028,1.1560000000000001,20.144,1.086,20.13,0.911
1924,20.424,1.078,20.144,1.105,20.180999999999997,1.0350000000000001,20.134999999999998,0.921
1925,19.994,1.182,20.166,1.0070000000000001,20.177,0.9930000000000001,20.127,0.9319999999999999
1926,20.436,0.9730000000000001,20.348,0.964,20.203,0.93,20.124,0.9470000000000001
1927,20.195,0.8520000000000001,20.357,0.942,20.253,0.885,20.156,0.9650000000000001
1928,20.689,1.048,20.357,0.87,20.279999999999998,0.874,20.169999999999998,0.95
1929,20.473,0.928,20.369999999999997,0.86,20.265,0.889,20.166999999999998,0.938
1930,19.988999999999997,1.088,20.372,0.911,20.259,0.872,20.180999999999997,0.954
1931,20.502,1.062,20.238,0.8420000000000001,20.269,0.859,20.223,0.946
