year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1833,,,,,,,,
1834,8.737,1.826,,,,,,
1835,8.734,1.592,,,,,,
1836,7.417,1.291,,,,,,
1837,7.640999999999999,1.335,,,,,,
1838,,,,,,,,
1839,7.228999999999999,1.4569999999999999,,,,,,
1840,7.952999999999999,,,,,,,
1841,7.312999999999999,1.072,7.491999999999999,,,,,
1842,7.7299999999999995,1.576,7.558999999999999,,,,,
1843,7.233999999999999,,7.3549999999999995,,7.457999999999999,,,
1844,7.5649999999999995,,7.552999999999999,,7.558999999999999,,,
1845,6.933999999999999,,7.502999999999999,,7.518999999999999,,,
1846,8.303999999999998,1.408,7.592999999999999,,7.585999999999999,,,
1847,7.478,1.366,7.622999999999999,,7.571,,,
1848,7.685,1.9729999999999999,7.7139999999999995,1.666,7.645999999999999,,7.577999999999999,
1849,7.712999999999999,1.9620000000000002,7.619999999999999,1.5790000000000002,7.654999999999999,,7.6129999999999995,
1850,7.392999999999999,1.725,7.648999999999999,1.616,7.6419999999999995,1.6109999999999998,7.629,
1851,7.832999999999999,1.7200000000000002,7.7379999999999995,1.621,7.685999999999999,1.536,7.629999999999999,
1852,7.621999999999999,2.368,7.696,1.8679999999999999,7.619,1.657,7.639999999999999,
1853,8.126999999999999,2.389,7.617999999999999,1.9969999999999999,7.699,1.7530000000000001,7.6979999999999995,
1854,7.507,2.292,7.658999999999999,2.039,7.667,1.798,7.735999999999999,
1855,7.001999999999999,1.888,7.622999999999999,1.932,7.738999999999999,1.83,7.749,1.581
1856,8.036999999999999,1.892,7.552999999999999,1.866,7.6739999999999995,1.779,7.8229999999999995,1.4020000000000001
1857,7.440999999999999,2.003,7.718999999999999,1.7639999999999998,7.709999999999999,1.77,7.818999999999999,1.4129999999999998
1858,7.776999999999999,1.992,7.812999999999999,1.721,7.749,1.6560000000000001,7.872999999999999,1.404
1859,8.338,2.064,7.710999999999999,1.7160000000000002,7.816999999999999,1.6109999999999998,7.909999999999999,1.4969999999999999
1860,7.470999999999999,1.521,7.911999999999999,1.742,7.8549999999999995,1.5790000000000002,7.946999999999999,1.4859999999999998
1861,7.528999999999999,1.8090000000000002,8.03,1.654,7.959999999999999,1.596,7.941999999999999,1.468
1862,8.444999999999999,2.067,7.944999999999999,1.6389999999999998,8.02,1.6149999999999998,7.944999999999999,1.4660000000000002
1863,8.364999999999998,2.014,8.043,1.705,8.046999999999999,1.588,7.964999999999999,1.4489999999999998
1864,7.914,2.225,8.247,1.701,8.152999999999999,1.6139999999999999,8.003,1.4460000000000002
1865,7.959999999999999,1.887,8.238,1.7839999999999998,8.155,1.58,8.039,1.4460000000000002
1866,8.551,1.3279999999999998,8.222,1.6640000000000001,8.209,1.6030000000000002,8.059,1.4649999999999999
1867,8.401,2.083,8.364999999999998,1.5270000000000001,8.181,1.6059999999999999,8.103,1.46
1868,8.286,1.3519999999999999,8.376,1.4740000000000002,8.181,1.5550000000000002,8.117999999999999,1.42
1869,8.629,1.5910000000000002,8.171,1.536,8.189,1.4620000000000002,8.152999999999999,1.404
1870,8.016,1.5630000000000002,8.106,1.4209999999999998,8.222,1.37,8.104,1.3279999999999998
1871,7.521999999999999,1.617,8.123999999999999,1.4620000000000002,8.157,1.3599999999999999,8.164,1.311
1872,8.075999999999999,1.738,8.033999999999999,1.4260000000000002,8.186,1.345,8.174999999999999,1.271
1873,8.376999999999999,1.931,8.017,1.4140000000000001,8.19,1.3239999999999998,8.139,1.233
1874,8.177999999999999,1.5470000000000002,8.117999999999999,1.4369999999999998,8.154,1.302,8.138,1.186
1875,7.93,1.755,8.228,1.44,8.053999999999998,1.229,8.149,1.142
1876,8.027,1.5219999999999998,8.257,1.317,8.119,1.188,8.114999999999998,1.124
1877,8.629,1.573,8.151,1.23,8.168999999999999,1.125,8.093,1.0899999999999999
1878,8.520999999999999,1.0070000000000001,8.093,1.038,8.097999999999999,1.077,8.037999999999998,1.033
1879,7.646999999999999,1.093,8.155999999999999,0.942,8.085999999999999,1.042,7.9799999999999995,1.021
1880,7.639999999999999,1.113,8.072999999999999,0.921,8.075999999999999,1.002,7.953999999999999,0.998
1881,8.344999999999999,1.016,7.9079999999999995,0.876,8.072999999999999,0.946,7.920999999999999,0.964
1882,8.213999999999999,1.229,8.033,0.912,7.999999999999999,0.915,7.914999999999999,0.9319999999999999
1883,7.693999999999999,1.127,8.107,0.974,7.887,0.869,7.853999999999999,0.905
1884,8.27,1.133,7.932999999999999,0.994,7.805999999999999,0.862,7.866999999999999,0.882
1885,8.011999999999999,1.137,7.826999999999999,0.895,7.8549999999999995,0.872,7.863999999999999,0.841
1886,7.475999999999999,1.212,7.6979999999999995,0.892,7.722999999999999,0.844,7.8709999999999996,0.8
1887,7.683,0.973,7.605999999999999,0.894,7.661999999999999,0.832,7.834999999999999,0.782
1888,7.047999999999999,0.9259999999999999,7.507,0.859,7.610999999999999,0.819,7.8549999999999995,0.778
1889,7.812999999999999,1.0899999999999999,7.411999999999999,0.8140000000000001,7.648,0.821,7.863999999999999,0.762
1890,7.512999999999999,0.9289999999999999,7.433,0.8280000000000001,7.651999999999999,0.78,7.921999999999999,0.766
1891,7.004999999999999,0.903,7.629,0.831,7.669,0.732,7.93,0.751
1892,7.784999999999999,0.84,7.701999999999999,0.755,7.669999999999999,0.696,7.911,0.745
1893,8.026,0.9279999999999999,7.706999999999999,0.6930000000000001,7.821999999999999,0.715,7.909999999999999,0.739
1894,8.181,0.696,7.991,0.707,7.921999999999999,0.6910000000000001,7.916999999999999,0.74
1895,7.537999999999999,0.7749999999999999,8.056999999999999,0.6559999999999999,7.9879999999999995,0.6819999999999999,7.927999999999999,0.734
1896,8.424,0.946,8.077,0.7030000000000001,8.136999999999999,0.6890000000000001,7.944999999999999,0.725
1897,8.113,0.716,8.19,0.725,8.16,0.702,7.959,0.728
1898,8.129999999999999,1.06,8.36,0.736,8.209999999999999,0.724,7.999999999999999,0.739
1899,8.741999999999999,0.7789999999999999,8.318,0.729,8.186,0.739,8.018999999999998,0.738
1900,8.391,0.849,8.300999999999998,0.8,8.205,0.77,8.018999999999998,0.733
1901,8.212,0.881,8.27,0.7749999999999999,8.219999999999999,0.778,8.078,0.748
1902,8.027999999999999,0.7789999999999999,8.216,0.8,8.248,0.815,8.133,0.741
1903,7.975999999999999,0.957,8.167,0.813,8.177999999999999,0.8049999999999999,8.171,0.746
1904,8.475999999999999,0.83,8.094,0.843,8.116,0.821,8.168,0.746
1905,8.142,0.873,8.043999999999999,0.874,8.049999999999999,0.8029999999999999,8.194999999999999,0.746
1906,7.845999999999999,1.0310000000000001,8.12,0.838,8.017999999999999,0.8220000000000001,8.218,0.738
1907,7.781999999999999,0.9229999999999999,7.909999999999999,0.833,8.106,0.7969999999999999,8.232,0.746
1908,8.354999999999999,0.763,7.924999999999999,0.835,8.132,0.78,8.177999999999999,0.745
1909,7.425999999999999,0.812,7.986999999999999,0.7929999999999999,8.149999999999999,0.766,8.155999999999999,0.748
1910,8.213,0.87,8.254,0.719,8.186,0.736,8.135,0.731
1911,8.158,0.8180000000000001,8.171999999999999,0.711,8.215,0.71,8.142,0.733
