year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1849,,,,,,,,
1850,20.733,1.629,,,,,,
1851,20.748,1.5459999999999998,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,21.141000000000002,1.4289999999999998,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,20.495,2.124,,,,,,
1876,20.341,2.679,20.453,1.749,,,,
1877,20.147000000000002,2.28,20.499000000000002,1.65,20.645,1.189,,
1878,20.902,1.6949999999999998,20.527,1.381,20.652,1.164,,
1879,20.611,1.68,20.763,1.162,20.697,1.1239999999999999,,
1880,20.635,1.496,20.923000000000002,1.357,20.756,1.1039999999999999,20.673000000000002,1.123
1881,21.518,2.27,20.885,1.3780000000000001,20.771,1.0939999999999999,20.655,1.0899999999999999
1882,20.947,1.3849999999999998,20.98,1.4809999999999999,20.796,1.217,20.653000000000002,1.076
1883,20.712,1.258,20.978,1.388,20.807000000000002,1.2289999999999999,20.691,1.053
1884,21.09,1.7679999999999998,20.808,1.1789999999999998,20.79,1.24,20.735,1.042
1885,20.623,1.567,20.711000000000002,1.1709999999999998,20.765,1.253,20.744,1.029
1886,20.67,1.466,20.702,1.2029999999999998,20.723,1.149,20.764,1.026
1887,20.46,1.5299999999999998,20.556,1.269,20.661,1.13,20.828,1.0779999999999998
1888,20.667,1.511,20.545,1.208,20.73,1.139,20.897000000000002,1.073
1889,20.358,1.653,20.554000000000002,1.1669999999999998,20.773,1.139,20.922,1.073
1890,20.569,1.303,20.659,1.159,20.733,1.138,20.946,1.0699999999999998
1891,20.718,1.264,20.829,1.177,20.758,1.096,20.932000000000002,1.029
1892,20.985,1.451,20.932000000000002,1.121,20.861,1.0819999999999999,20.902,1.032
1893,21.513,1.47,20.904,1.119,20.988,1.046,20.911,1.038
1894,20.876,1.123,21.052,1.103,21.053,1.037,20.896,1.037
1895,20.427,1.3479999999999999,21.205000000000002,1.084,21.127,1.047,20.833000000000002,1.055
1896,21.461000000000002,1.1,21.185000000000002,1.146,21.141000000000002,1.0739999999999998,20.85,1.052
1897,21.747,1.212,21.265,1.1789999999999998,21.142,1.068,20.879,1.057
1898,21.413,1.749,21.365000000000002,1.1749999999999998,21.093,1.123,20.869,1.045
1899,21.275000000000002,1.335,21.269000000000002,1.147,21.019000000000002,1.1059999999999999,20.882,1.039
1900,20.928,1.689,21.058,1.181,20.934,1.163,20.872,1.017
1901,20.98,1.2289999999999999,20.939,1.226,20.941,1.142,20.855,1.048
1902,20.691,1.5699999999999998,20.664,1.314,20.898,1.159,20.841,1.0579999999999998
1903,20.821,1.3319999999999999,20.512,1.291,20.751,1.166,20.8,1.079
1904,19.901,1.9,20.548000000000002,1.353,20.711000000000002,1.185,20.785,1.075
1905,20.168,1.556,20.586000000000002,1.181,20.617,1.15,20.799,1.06
1906,21.156,1.613,20.536,1.2029999999999998,20.569,1.165,20.811,1.034
1907,20.882,1.722,20.634,1.184,20.54,1.141,20.787,1.049
1908,20.572,1.147,20.689,1.221,20.507,1.159,20.73,1.06
1909,20.392,1.6179999999999999,20.493000000000002,1.276,20.55,1.16,20.696,1.079
1910,20.442,1.402,20.464000000000002,1.1829999999999998,20.664,1.111,20.675,1.052
1911,20.176000000000002,1.802,20.455000000000002,1.156,20.681,1.065,20.665,1.043
1912,20.739,1.305,20.588,1.2189999999999999,20.675,1.048,20.68,1.018
1913,20.526,1.1119999999999999,20.714000000000002,1.077,20.709,1.033,20.667,1.031
1914,21.060000000000002,1.338,20.86,1.0899999999999999,20.682000000000002,1.046,20.696,1.031
1915,21.069,1.66,20.913,1.135,20.733,1.068,20.726,1.022
1916,20.907,1.081,20.948,1.125,20.76,1.071,20.727,1.043
1917,21.003,1.4529999999999998,20.830000000000002,1.097,20.819,1.061,20.737000000000002,1.049
1918,20.702,1.181,20.77,1.158,20.828,1.06,20.782,1.068
1919,20.467,1.4249999999999998,20.737000000000002,1.1749999999999998,20.842,1.051,20.811,1.093
1920,20.77,1.18,20.702,1.174,20.788,1.1,20.846,1.136
1921,20.741,1.202,20.738,1.159,20.774,1.173,20.857,1.17
1922,20.830000000000002,1.6829999999999998,20.822,1.149,20.798000000000002,1.184,20.897000000000002,1.1829999999999998
1923,20.883,1.131,20.732,1.151,20.854,1.1829999999999998,20.916,1.164
1924,20.887,1.44,20.871000000000002,1.228,20.94,1.217,20.912,1.134
1925,20.318,1.506,20.926000000000002,1.354,20.958000000000002,1.2449999999999999,20.886,1.135
