year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1856,,,,,,,,
1857,,,,,,,,
1858,20.188,0.8380000000000001,,,,,,
1859,20.636,0.9159999999999999,20.218,0.571,,,,
1860,20.487,0.6499999999999999,20.419999999999998,0.619,,,,
1861,20.144,0.6679999999999999,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,19.401999999999997,1.976,,,,,,
1880,19.217,1.106,19.93,0.931,,,,
1881,20.125,0.891,19.948999999999998,0.685,20.23,0.514,,
1882,20.273,0.853,20.266,0.813,20.275,0.476,,
1883,20.73,1.172,20.474,0.802,20.195,0.454,20.137,0.381
1884,20.985,1.9729999999999999,20.570999999999998,0.698,20.265,0.442,20.131,0.368
1885,20.258,0.78,20.551,0.702,20.433999999999997,0.485,20.13,0.33999999999999997
1886,20.607,0.6799999999999999,20.471999999999998,0.592,20.427,0.495,20.15,0.32
1887,20.174,0.6559999999999999,20.477,0.475,20.372999999999998,0.48,20.154,0.309
1888,20.334999999999997,0.812,20.421999999999997,0.427,20.317,0.496,20.125999999999998,0.306
1889,21.009999999999998,1.109,20.233,0.437,20.159,0.32999999999999996,20.105999999999998,0.33599999999999997
1890,19.983999999999998,0.436,20.141,0.45,20.127,0.295,20.174,0.367
1891,19.66,0.579,19.994999999999997,0.415,20.07,0.303,20.25,0.362
1892,19.717,0.5860000000000001,19.767,0.363,20.032999999999998,0.32999999999999996,20.268,0.344
1893,19.605999999999998,0.565,19.772,0.403,20.058,0.314,20.278,0.345
1894,19.869,0.485,19.86,0.383,19.948,0.371,20.238,0.292
1895,20.009,0.599,19.947,0.40900000000000003,19.913999999999998,0.427,20.221,0.283
