year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1833,,,,,,,,
1834,6.937,1.9000000000000001,,,,,,
1835,6.938000000000001,1.68,,,,,,
1836,5.698,1.393,,,,,,
1837,5.758,1.469,,,,,,
1838,,,,,,,,
1839,5.441000000000001,1.518,,,,,,
1840,6.029,,,,,,,
1841,5.215,1.2040000000000002,5.569,,,,,
1842,5.864,1.943,5.641,,,,,
1843,5.298,,5.397,,5.53,,,
1844,5.8020000000000005,,5.614,,5.652,,,
1845,4.808,,5.5520000000000005,,5.613,,,
1846,6.298,1.745,5.683,,5.686,,,
1847,5.554,1.4969999999999999,5.71,,5.695,,,
1848,5.952,2.177,5.8580000000000005,2.098,5.767,,5.691,
1849,5.94,2.5060000000000002,5.7860000000000005,2.0010000000000003,5.759,,5.736000000000001,
1850,5.545,1.972,5.84,2.097,5.768,2.058,5.756,
1851,5.938000000000001,1.915,5.905,2.1020000000000003,5.8020000000000005,1.95,5.7700000000000005,
1852,5.822,2.2880000000000003,5.814,1.952,5.731,2.099,5.796,
1853,6.277,2.375,5.705,2.003,5.852,2.233,5.841,
1854,5.489,2.48,5.702,2.096,5.821,1.975,5.893,
1855,4.998,1.838,5.6930000000000005,2.09,5.899,1.979,5.9110000000000005,2.14
1856,5.925,2.31,5.705,2.132,5.854,1.8920000000000001,6.007000000000001,1.971
1857,5.777,2.443,5.937,2.101,5.896,1.942,5.989,2.029
1858,6.335,2.6559999999999997,6.045,2.032,5.915,1.875,6.065,2.045
1859,6.65,2.375,6.046,1.974,6.027,1.859,6.094,1.8900000000000001
1860,5.5360000000000005,1.36,6.212,2.026,6.053,1.915,6.140000000000001,1.9060000000000001
1861,5.932,1.875,6.23,1.818,6.211,2.016,6.156000000000001,1.9180000000000001
1862,6.6080000000000005,2.691,6.1370000000000005,1.851,6.247,2.083,6.188000000000001,1.99
1863,6.423,2.315,6.295,2.14,6.2780000000000005,2.032,6.203,2.0170000000000003
1864,6.187,2.7359999999999998,6.399,2.3289999999999997,6.367,2.1500000000000004,6.246,2.0549999999999997
1865,6.329000000000001,2.519,6.393,2.341,6.38,2.1870000000000003,6.292,2.1020000000000003
1866,6.4510000000000005,2.779,6.49,2.433,6.457,2.286,6.347,2.159
1867,6.575,2.475,6.569,2.394,6.48,2.3600000000000003,6.3950000000000005,2.183
1868,6.909,2.5090000000000003,6.618,2.366,6.49,2.3810000000000002,6.381,2.149
1869,6.58,2.5220000000000002,6.583,2.3520000000000003,6.465,2.356,6.402,2.125
1870,6.573,2.315,6.591,2.456,6.531000000000001,2.317,6.355,2.061
1871,6.279,2.5629999999999997,6.479,2.373,6.4830000000000005,2.314,6.389,2.081
1872,6.615,2.9349999999999996,6.4510000000000005,2.3529999999999998,6.543,2.311,6.389,2.028
1873,6.349,2.249,6.381,2.38,6.484,2.3200000000000003,6.368,1.998
1874,6.438000000000001,2.373,6.390000000000001,2.3840000000000003,6.436,2.186,6.349,1.962
1875,6.226,2.6370000000000005,6.4110000000000005,2.355,6.329000000000001,2.05,6.378,1.901
1876,6.32,2.426,6.51,2.295,6.322,1.994,6.3020000000000005,1.826
1877,6.723,2.585,6.3020000000000005,1.995,6.297000000000001,1.831,6.301,1.7530000000000001
1878,6.843,1.806,6.248,1.639,6.246,1.737,6.238,1.68
1879,5.396,1.068,6.164000000000001,1.465,6.2330000000000005,1.6580000000000001,6.186,1.602
1880,5.9590000000000005,1.182,6.148000000000001,1.246,6.226,1.544,6.182,1.5390000000000001
1881,5.899,1.5430000000000001,5.9110000000000005,1.199,6.122,1.3719999999999999,6.171,1.472
1882,6.640000000000001,1.5150000000000001,6.132000000000001,1.308,6.059,1.245,6.125,1.369
1883,5.6610000000000005,1.452,6.1240000000000006,1.365,5.993,1.131,6.048,1.3010000000000002
1884,6.498,1.487,6.05,1.274,5.936,1.117,6.065,1.2320000000000002
1885,5.922000000000001,1.242,5.924,1.1480000000000001,6.035,1.1179999999999999,6.035,1.153
1886,5.526,1.15,5.856,1.0150000000000001,6.021,1.036,6.002,1.064
1887,6.013,1.084,5.811,0.9490000000000001,5.953,0.99,5.971,1.008
1888,5.319,0.8560000000000001,5.906000000000001,0.875,5.849,0.9400000000000001,5.993,0.9570000000000001
1889,6.277,1.263,5.932,0.8380000000000001,5.897,0.894,6.0,0.9510000000000001
1890,6.398000000000001,1.0070000000000001,5.804,0.8780000000000001,5.845000000000001,0.859,6.049,0.958
1891,5.652,0.8820000000000001,5.998,0.9400000000000001,5.882000000000001,0.8360000000000001,6.0520000000000005,0.9380000000000001
1892,5.376,1.0010000000000001,5.9670000000000005,0.861,5.883,0.835,6.024,0.93
1893,6.288,1.084,5.768,0.8260000000000001,5.994,0.847,6.005,0.919
1894,6.123,0.8720000000000001,5.962,0.885,6.064,0.845,5.998,0.912
1895,5.401,0.9480000000000001,6.026,0.859,6.063000000000001,0.851,5.9830000000000005,0.907
1896,6.62,1.041,6.046,0.8740000000000001,6.082,0.885,6.022,0.922
1897,5.699,0.96,6.1610000000000005,0.932,6.096,0.925,6.0280000000000005,0.93
1898,6.388,0.9470000000000001,6.314,0.9590000000000001,6.1610000000000005,0.964,6.035,0.9520000000000001
1899,6.696,1.1219999999999999,6.212,0.998,6.099,1.0230000000000001,6.066,0.96
1900,6.167,1.11,6.231,1.054,6.121,1.052,6.024,0.97
1901,6.109,1.2320000000000002,6.18,1.155,6.162,1.081,6.034,0.9890000000000001
1902,5.795,1.154,6.011,1.213,6.173,1.09,6.069,0.99
1903,6.135,1.3410000000000002,6.041,1.189,6.075,1.1219999999999999,6.109,1.0050000000000001
