year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,-1.3780000000000001,1.803,-1.191,1.351,,,,
1865,-1.248,1.792,-1.155,1.406,-1.2690000000000001,1.2000000000000002,,
1866,-1.095,1.793,-1.176,1.447,-1.227,1.2570000000000001,,
1867,-1.112,1.787,-1.174,1.429,-1.204,1.313,,
1868,-1.047,1.788,-1.173,1.3940000000000001,-1.237,1.317,-1.366,1.054
1869,-1.365,1.682,-1.197,1.393,-1.332,1.3,-1.309,1.042
1870,-1.244,1.606,-1.25,1.422,-1.295,1.229,-1.338,1.009
1871,-1.215,1.7610000000000001,-1.379,1.365,-1.361,1.174,-1.326,1.017
1872,-1.3780000000000001,1.848,-1.415,1.301,-1.365,1.116,-1.34,1.0030000000000001
1873,-1.6920000000000002,1.599,-1.508,1.228,-1.435,1.0790000000000002,-1.369,0.973
1874,-1.546,1.268,-1.564,1.126,-1.376,0.993,-1.404,0.9500000000000001
1875,-1.7069999999999999,1.538,-1.566,1.001,-1.408,0.925,-1.43,0.921
1876,-1.4969999999999999,1.2080000000000002,-1.447,0.978,-1.426,0.885,-1.483,0.89
1877,-1.3900000000000001,1.137,-1.374,0.853,-1.476,0.8130000000000001,-1.526,0.864
1878,-1.095,1.26,-1.316,0.8340000000000001,-1.5,0.768,-1.576,0.8220000000000001
1879,-1.182,1.713,-1.379,0.8320000000000001,-1.476,0.751,-1.63,0.793
1880,-1.418,1.282,-1.401,0.8160000000000001,-1.566,0.738,-1.611,0.766
1881,-1.812,1.1019999999999999,-1.49,0.9410000000000001,-1.605,0.7030000000000001,-1.623,0.732
1882,-1.4969999999999999,1.241,-1.75,0.8290000000000001,-1.686,0.706,-1.675,0.702
1883,-1.5390000000000001,1.155,-1.798,0.861,-1.717,0.687,-1.694,0.671
1884,-2.4850000000000003,1.946,-1.943,0.9440000000000001,-1.884,0.7,-1.6720000000000002,0.645
1885,-1.658,1.12,-2.081,0.933,-1.8130000000000002,0.714,-1.742,0.637
1886,-2.534,1.353,-2.1639999999999997,0.918,-1.8210000000000002,0.7390000000000001,-1.759,0.6120000000000001
1887,-2.1879999999999997,1.248,-1.9340000000000002,0.76,-1.873,0.757,-1.7690000000000001,0.6000000000000001
1888,-1.9529999999999998,1.052,-1.893,0.794,-1.887,0.688,-1.7610000000000001,0.591
1889,-1.339,1.115,-1.7770000000000001,0.783,-1.869,0.668,-1.808,0.615
1890,-1.452,1.076,-1.744,0.724,-1.9180000000000001,0.665,-1.814,0.6200000000000001
1891,-1.955,1.2080000000000002,-1.639,0.776,-1.913,0.687,-1.804,0.641
1892,-2.021,0.995,-1.8439999999999999,0.799,-1.8519999999999999,0.644,-1.779,0.633
1893,-1.43,1.109,-1.877,0.7310000000000001,-1.806,0.655,-1.7810000000000001,0.613
1894,-2.362,1.649,-1.9140000000000001,0.6890000000000001,-1.733,0.7,-1.787,0.611
1895,-1.6179999999999999,1.018,-1.9060000000000001,0.687,-1.815,0.66,-1.77,0.5960000000000001
1896,-2.1399999999999997,1.0510000000000002,-1.854,0.8170000000000001,-1.787,0.654,-1.737,0.599
1897,-1.98,0.8280000000000001,-1.732,0.75,-1.6840000000000002,0.609,-1.718,0.5920000000000001
1898,-1.169,1.843,-1.698,0.643,-1.674,0.631,-1.714,0.6000000000000001
1899,-1.754,0.928,-1.476,0.748,-1.705,0.634,-1.641,0.5980000000000001
1900,-1.447,1.32,-1.499,0.687,-1.621,0.6040000000000001,-1.69,0.6000000000000001
1901,-1.03,1.23,-1.57,0.675,-1.562,0.5980000000000001,-1.714,0.611
1902,-2.092,1.393,-1.56,0.7410000000000001,-1.584,0.6200000000000001,-1.669,0.5920000000000001
1903,-1.5270000000000001,1.008,-1.5630000000000002,0.788,-1.6219999999999999,0.634,-1.662,0.619
1904,-1.705,1.177,-1.7069999999999999,0.8400000000000001,-1.55,0.7430000000000001,-1.653,0.633
