year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,17.043000000000003,1.087,,,,,,
1876,17.834000000000003,0.9430000000000001,17.974,0.625,,,,
1877,18.411,0.982,18.095000000000002,0.6060000000000001,,,,
1878,18.901,0.687,18.253,0.706,18.009,0.5820000000000001,,
1879,,,18.317,0.655,18.014000000000003,0.579,,
1880,,,18.265,0.623,18.021,0.6100000000000001,,
1881,18.156000000000002,0.754,18.047,0.62,18.102,0.634,17.919,0.547
1882,18.148000000000003,0.865,17.906000000000002,0.65,18.07,0.621,17.901000000000003,0.547
1883,17.811,0.8220000000000001,17.908,0.671,17.965,0.5820000000000001,17.900000000000002,0.551
1884,17.585,0.904,17.858,0.6910000000000001,17.856,0.5960000000000001,17.92,0.548
1885,17.841,0.892,17.773000000000003,0.653,17.881,0.5880000000000001,17.948,0.563
1886,17.904,0.93,17.746000000000002,0.636,17.85,0.579,18.005000000000003,0.569
1887,17.722,0.792,17.846,0.611,17.790000000000003,0.5800000000000001,18.0,0.577
1888,17.679000000000002,0.751,17.826,0.5960000000000001,17.791,0.585,17.969,0.585
1889,18.084000000000003,0.896,17.769000000000002,0.589,17.826,0.5980000000000001,17.954,0.587
1890,17.739,0.802,17.808,0.63,17.875,0.5940000000000001,17.978,0.573
1891,17.621000000000002,0.897,17.867,0.681,17.909000000000002,0.571,18.025000000000002,0.556
1892,17.916,0.809,17.855,0.685,17.930000000000003,0.595,18.041,0.5680000000000001
