year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1875,,,,,,,,
1876,-4.318,1.758,,,,,,
1877,-3.888,1.67,-3.941,1.471,,,,
1878,-3.394,1.927,-3.893,1.479,-3.919,1.349,,
1879,-3.975,1.8010000000000002,-3.7439999999999998,1.502,-3.86,1.32,,
1880,-3.8899999999999997,1.721,-3.8360000000000003,1.557,-3.855,1.319,-3.803,1.268
1881,-3.572,1.5950000000000002,-3.857,1.4380000000000002,-3.827,1.364,-3.86,1.255
1882,-4.352,2.352,-3.729,1.389,-3.85,1.374,-3.894,1.27
1883,-3.496,1.7120000000000002,-3.8810000000000002,1.388,-3.839,1.396,-3.901,1.279
1884,-3.336,2.099,-3.9290000000000003,1.38,-3.7649999999999997,1.392,-3.8899999999999997,1.279
1885,-4.648,1.677,-3.774,1.444,-3.752,1.345,-3.892,1.2730000000000001
1886,-3.8129999999999997,1.505,-3.718,1.528,-3.8360000000000003,1.29,-3.816,1.275
1887,-3.575,1.471,-3.7489999999999997,1.509,-3.886,1.324,-3.815,1.271
1888,-3.217,2.335,-3.738,1.326,-3.884,1.348,-3.834,1.274
1889,-3.492,1.4889999999999999,-3.989,1.391,-3.92,1.345,-3.849,1.252
1890,-4.591,1.943,-3.875,1.445,-3.928,1.335,-3.831,1.247
1891,-5.069,1.733,-4.073,1.421,-3.8049999999999997,1.3010000000000002,-3.809,1.246
1892,-3.007,1.8639999999999999,-4.041,1.389,-3.7800000000000002,1.2930000000000001,-3.7800000000000002,1.24
1893,-4.205,1.4420000000000002,-3.865,1.354,-3.8280000000000003,1.2850000000000001,-3.766,1.236
1894,-3.334,1.393,-3.503,1.349,-3.934,1.24,-3.809,1.241
1895,-3.71,1.329,-3.806,1.203,-3.91,1.229,-3.791,1.242
1896,-3.26,1.7000000000000002,-3.807,1.221,-3.782,1.252,-3.7960000000000003,1.228
1897,-4.522,1.368,-3.793,1.209,-3.675,1.236,-3.747,1.243
1898,-4.211,1.448,-3.864,1.2730000000000001,-3.6470000000000002,1.239,-3.755,1.247
1899,-3.262,1.327,-3.864,1.428,-3.698,1.266,-3.799,1.211
1900,-4.066,1.8940000000000001,-3.599,1.4060000000000001,-3.6550000000000002,1.262,-3.753,1.199
1901,-3.258,1.6059999999999999,-3.548,1.391,-3.787,1.284,-3.7359999999999998,1.194
1902,-3.199,1.359,-3.6799999999999997,1.404,-3.714,1.317,-3.698,1.1800000000000002
1903,-3.9539999999999997,1.341,-3.7439999999999998,1.31,-3.681,1.319,-3.673,1.227
1904,-3.925,1.449,-3.759,1.264,-3.664,1.292,-3.6550000000000002,1.238
1905,-4.385,1.3980000000000001,-3.7960000000000003,1.311,-3.597,1.242,-3.599,1.205
1906,-3.333,1.409,-3.7329999999999997,1.279,-3.69,1.181,-3.559,1.214
1907,-3.382,1.502,-3.732,1.213,-3.7199999999999998,1.151,-3.543,1.237
1908,-3.642,1.219,-3.45,1.21,-3.699,1.23,-3.511,1.2510000000000001
1909,-3.916,1.271,-3.596,1.143,-3.612,1.226,-3.516,1.263
1910,-2.976,1.409,-3.589,1.135,-3.543,1.173,-3.488,1.245
1911,-4.063,1.5310000000000001,-3.649,1.26,-3.332,1.163,-3.564,1.227
1912,-3.35,1.885,-3.346,1.282,-3.373,1.173,-3.568,1.221
1913,-3.941,1.9980000000000002,-3.351,1.298,-3.341,1.199,-3.5220000000000002,1.218
1914,-2.398,1.2730000000000001,-3.044,1.365,-3.368,1.25,-3.458,1.204
1915,-3.004,1.513,-3.02,1.306,-3.378,1.2690000000000001,-3.433,1.214
1916,-2.526,1.5190000000000001,-2.961,1.182,-3.439,1.306,-3.364,1.21
1917,-3.232,1.713,-3.392,1.274,-3.415,1.32,-3.383,1.202
1918,-3.6470000000000002,1.532,-3.54,1.352,-3.344,1.225,-3.358,1.198
1919,-4.552,1.506,-3.877,1.329,-3.303,1.211,-3.344,1.224
1920,-3.74,1.4100000000000001,-3.783,1.243,-3.323,1.306,-3.418,1.252
1921,-4.211,1.554,-3.598,1.331,-3.396,1.29,-3.4,1.272
1922,-2.766,1.2930000000000001,-3.315,1.342,-3.392,1.249,-3.406,1.2970000000000002
1923,-2.72,1.621,-3.203,1.332,-3.375,1.227,-3.447,1.2810000000000001
1924,-3.137,1.339,-2.883,1.222,-3.319,1.218,-3.449,1.284
1925,-3.18,1.3780000000000001,-3.067,1.245,-3.457,1.259,-3.518,1.319
1926,-2.6109999999999998,1.6840000000000002,-3.16,1.334,-3.362,1.245,-3.608,1.323
1927,-3.689,1.5110000000000001,-3.302,1.327,-3.396,1.282,-3.617,1.308
1928,-3.182,1.525,-3.612,1.329,-3.55,1.371,-3.6390000000000002,1.2930000000000001
1929,-3.846,1.444,-3.9,1.326,-3.596,1.4100000000000001,-3.566,1.279
1930,-4.729,1.4260000000000002,-3.731,1.412,-3.713,1.397,-3.534,1.295
1931,-4.052,1.501,-3.967,1.496,-3.819,1.399,-3.402,1.2970000000000002
1932,-2.847,1.8130000000000002,-3.931,1.53,-3.841,1.393,-3.318,1.299
1933,-4.361,1.758,-3.7880000000000003,1.532,-3.904,1.381,-3.322,1.31
1934,-3.664,1.53,-3.834,1.49,-3.8129999999999997,1.364,-3.346,1.317
