year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1833,,,,,,,,
1834,0.156,4.054,,,,,,
1835,0.068,3.739,,,,,,
1836,-1.3219999999999998,3.3019999999999996,,,,,,
1837,-1.087,3.351,,,,,,
1838,,,,,,,,
1839,-1.446,3.5839999999999996,,,,,,
1840,-0.885,,,,,,,
1841,-1.327,2.9179999999999997,-1.149,,,,,
1842,-0.9640000000000001,3.598,-1.0839999999999999,,,,,
1843,-1.125,,-1.236,,-1.1849999999999998,,,
1844,-1.117,,-0.967,,-1.0839999999999999,,,
1845,-1.645,,-1.026,,-1.155,,,
1846,0.013999999999999999,3.566,-1.022,,-1.057,,,
1847,-1.255,3.542,-1.007,,-1.081,,,
1848,-1.1039999999999999,4.177,-0.987,3.7319999999999998,-0.9920000000000001,,-1.129,
1849,-1.045,3.8419999999999996,-1.152,3.601,-1.027,,-1.121,
1850,-1.5439999999999998,3.8649999999999998,-1.1019999999999999,3.588,-1.0619999999999998,3.6129999999999995,-1.099,
1851,-0.81,3.868,-0.995,3.548,-1.041,3.514,-1.107,
1852,-1.006,4.662,-1.022,4.09,-1.139,3.5969999999999995,-1.1119999999999999,
1853,-0.5700000000000001,4.683999999999999,-1.0779999999999998,4.237,-1.073,3.66,-1.043,
1854,-1.1829999999999998,4.372,-1.057,4.263999999999999,-1.159,3.9659999999999997,-1.016,
1855,-1.8219999999999998,4.148,-1.176,4.082,-1.043,3.9989999999999997,-1.0419999999999998,3.4989999999999997
1856,-0.7070000000000001,4.0169999999999995,-1.3619999999999999,3.96,-1.157,3.9699999999999998,-0.983,3.3009999999999997
1857,-1.597,3.864,-1.1929999999999998,3.8129999999999997,-1.143,3.9379999999999997,-0.989,3.28
1858,-1.503,3.8549999999999995,-1.079,3.7699999999999996,-1.0939999999999999,3.8,-0.9249999999999999,3.271
1859,-0.33899999999999997,4.095,-1.2289999999999999,3.801,-1.006,3.76,-0.872,3.6559999999999997
1860,-1.248,3.88,-0.979,3.872,-1.022,3.702,-0.8270000000000001,3.642
1861,-1.4609999999999999,4.029999999999999,-0.6950000000000001,3.893,-0.926,3.711,-0.868,3.6129999999999995
1862,-0.34299999999999997,4.149,-0.857,3.891,-0.8400000000000001,3.7329999999999997,-0.899,3.5789999999999997
1863,-0.08499999999999999,4.474,-0.872,3.8819999999999997,-0.776,3.764,-0.857,3.529
1864,-1.149,4.3919999999999995,-0.556,3.8659999999999997,-0.5850000000000001,3.8019999999999996,-0.796,3.516
1865,-1.3219999999999998,3.928,-0.541,3.997,-0.612,3.763,-0.766,3.503
1866,0.119,3.393,-0.5810000000000001,3.835,-0.5800000000000001,3.755,-0.761,3.517
1867,-0.266,4.275,-0.31999999999999995,3.679,-0.656,3.7379999999999995,-0.7080000000000001,3.5
1868,-0.28600000000000003,3.562,-0.279,3.625,-0.62,3.643,-0.6890000000000001,3.465
1869,0.153,3.675,-0.658,3.65,-0.5850000000000001,3.505,-0.633,3.4639999999999995
1870,-1.115,3.535,-0.759,3.429,-0.509,3.381,-0.7110000000000001,3.3899999999999997
1871,-1.774,3.533,-0.683,3.37,-0.5960000000000001,3.354,-0.629,3.3609999999999998
1872,-0.776,3.4959999999999996,-0.762,3.304,-0.5760000000000001,3.291,-0.614,3.322
1873,0.096,3.84,-0.756,3.276,-0.602,3.202,-0.648,3.2689999999999997
1874,-0.24100000000000002,3.44,-0.5890000000000001,3.28,-0.682,3.19,-0.661,3.1959999999999997
1875,-1.0839999999999999,3.812,-0.4700000000000001,3.25,-0.81,3.1319999999999997,-0.619,3.155
