year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1887,,,,,,,,
1888,,,,,,,,
1889,,,,,,,,
1890,,,,,,,,
1891,,,,,,,,
1892,,,,,,,,
1893,,,,,,,,
1894,,,,,,,,
1895,,,,,,,,
1896,,,,,,,,
1897,,,,,,,,
1898,6.0,2.367,,,,,,
1899,5.5329999999999995,2.071,5.894,1.83,,,,
1900,6.045999999999999,2.029,5.919,1.8530000000000002,5.716,1.794,,
1901,6.262,2.056,5.867,1.842,5.734,1.7770000000000001,,
1902,5.757,2.036,5.84,1.9340000000000002,5.742999999999999,1.77,5.49,1.693
1903,5.736,2.356,5.689,1.8690000000000002,5.663,1.754,5.511,1.682
1904,5.3999999999999995,1.953,5.553,1.752,5.643,1.758,5.552,1.673
1905,5.292,1.8760000000000001,5.521,1.7670000000000001,5.545999999999999,1.81,5.6,1.673
1906,5.579,2.194,5.427,1.746,5.439,1.79,5.602,1.673
1907,5.596,2.14,5.367999999999999,1.7550000000000001,5.361,1.786,5.615,1.675
1908,5.269,2.108,5.313,1.8730000000000002,5.354,1.749,5.584,1.661
1909,5.104,2.4130000000000003,5.211,1.979,5.394,1.713,5.5809999999999995,1.647
1910,5.0169999999999995,2.468,5.195,1.989,5.484,1.7040000000000002,5.577,1.643
1911,5.07,1.866,5.302,1.892,5.468999999999999,1.744,5.55,1.619
1912,5.515,1.883,5.497999999999999,1.745,5.487,1.748,5.536,1.601
1913,5.803,1.874,5.693,1.655,5.506,1.737,5.543,1.586
1914,6.085,1.756,5.769,1.6520000000000001,5.519,1.6880000000000002,5.545999999999999,1.5750000000000002
1915,5.994,1.831,5.803,1.6500000000000001,5.608,1.619,5.538,1.565
1916,5.446,1.858,5.679,1.651,5.662,1.62,5.547,1.564
1917,5.686,1.831,5.649,1.671,5.712,1.6300000000000001,5.5569999999999995,1.562
1918,5.183999999999999,1.965,5.554,1.689,5.733,1.614,5.584,1.5550000000000002
1919,5.936999999999999,1.885,5.637,1.718,5.6979999999999995,1.605,5.598,1.5490000000000002
1920,5.516,1.843,5.602,1.703,5.591,1.611,5.68,1.5370000000000001
1921,5.861,1.804,5.742999999999999,1.639,5.624,1.637,5.715,1.5350000000000001
1922,5.512,1.709,5.638,1.6520000000000001,5.627,1.619,5.7299999999999995,1.5310000000000001
1923,5.886,1.6420000000000001,5.664,1.657,5.663,1.612,5.75,1.528
1924,5.413,1.903,5.648,1.6640000000000001,5.678,1.592,5.745,1.5290000000000001
1925,5.645,1.718,5.6659999999999995,1.621,5.752,1.552,5.721,1.5290000000000001
1926,5.782,1.709,5.636,1.598,5.768,1.53,5.709,1.524
1927,5.603,1.657,5.749,1.5530000000000002,5.747999999999999,1.516,5.71,1.514
1928,5.734,1.6340000000000001,5.801,1.544,5.768,1.5290000000000001,5.724,1.5050000000000001
1929,5.979,1.562,5.864,1.614,5.792,1.5510000000000002,5.754,1.499
1930,5.909,1.564,5.878,1.592,5.851,1.5550000000000002,5.769,1.498
1931,6.096,2.087,5.915,1.6540000000000001,5.793,1.562,5.8069999999999995,1.502
1932,5.672,1.598,5.934,1.619,5.792,1.5750000000000002,5.85,1.5070000000000001
1933,5.92,1.912,5.825,1.618,5.785,1.5490000000000002,5.88,1.524
1934,6.074,1.808,5.7059999999999995,1.5430000000000001,5.83,1.546,5.899,1.5390000000000001
1935,5.365,1.5950000000000002,5.665,1.514,5.786,1.534,5.935,1.55
1936,5.5,1.622,5.721,1.5,5.846,1.54,5.946,1.561
1937,5.468,1.631,5.718,1.5030000000000001,5.951,1.558,5.975,1.557
1938,6.197,1.78,5.854,1.546,5.992,1.558,6.0,1.5510000000000002
1939,6.061999999999999,1.62,6.08,1.613,6.005,1.5670000000000002,6.019,1.5450000000000002
1940,6.042,1.7730000000000001,6.294,1.6760000000000002,6.018,1.589,6.021,1.5310000000000001
1941,6.63,1.903,6.295,1.689,6.1,1.602,6.051,1.5150000000000001
1942,6.539,1.746,6.2379999999999995,1.741,6.1579999999999995,1.6,6.066,1.506
1943,6.202999999999999,1.766,6.236,1.737,6.215,1.61,6.091,1.499
1944,5.773,1.826,6.196,1.669,6.209,1.608,6.087,1.493
1945,6.0329999999999995,1.7510000000000001,6.132,1.619,6.256,1.581,6.093999999999999,1.49
1946,6.4319999999999995,1.691,6.131,1.566,6.256,1.5290000000000001,6.115,1.492
1947,6.217,1.544,6.207,1.487,6.1819999999999995,1.487,6.14,1.49
1948,6.2,1.522,6.3549999999999995,1.484,6.191,1.474,6.179,1.492
1949,6.154,1.58,6.229,1.482,6.169,1.474,6.202999999999999,1.484
1950,6.774,1.6280000000000001,6.2589999999999995,1.5290000000000001,6.169,1.484,6.213,1.488
1951,5.8,1.649,6.213,1.5630000000000002,6.131,1.5130000000000001,6.207,1.479
1952,6.366,1.6620000000000001,6.159,1.568,6.122,1.504,6.213,1.482
1953,5.968999999999999,1.677,6.045,1.569,6.143,1.522,6.213,1.483
1954,5.883,1.598,6.052,1.544,6.197,1.53,6.231,1.485
1955,6.205,1.59,6.005,1.5430000000000001,6.17,1.5250000000000001,6.234999999999999,1.495
1956,5.838,1.796,6.148,1.5550000000000002,6.159,1.5390000000000001,6.2509999999999994,1.504
1957,6.132,1.7610000000000001,6.248,1.5750000000000002,6.244,1.5390000000000001,6.26,1.502
1958,6.685,1.709,6.17,1.588,6.236,1.5490000000000002,6.266,1.504
1959,6.383,1.752,6.438,1.582,6.293,1.548,6.262,1.497
1960,5.816,1.6360000000000001,6.406,1.611,6.301,1.548,6.288,1.495
1961,7.178,1.5870000000000002,6.3389999999999995,1.606,6.37,1.54,6.2909999999999995,1.494
1962,5.971,1.657,6.356,1.5510000000000002,6.398,1.526,6.321,1.486
1963,6.346,1.6300000000000001,6.402,1.516,6.39,1.5110000000000001,6.314,1.485
1964,6.468,1.419,6.24,1.488,6.327,1.482,6.341,1.481
1965,6.047,1.457,6.3759999999999994,1.46,6.405,1.486,6.358,1.475
1966,6.367,1.52,6.338,1.4240000000000002,6.423,1.473,6.3759999999999994,1.464
1967,6.651,1.568,6.3839999999999995,1.419,6.398,1.455,6.372,1.4500000000000002
1968,6.156,1.516,6.487,1.462,6.391,1.441,6.3709999999999996,1.443
1969,6.699,1.5230000000000001,6.544,1.497,6.39,1.4380000000000002,6.346,1.4320000000000002
1970,6.561999999999999,1.577,6.45,1.488,6.414,1.425,6.381,1.4340000000000002
1971,6.653,1.5430000000000001,6.512,1.457,6.381,1.4100000000000001,6.381,1.4300000000000002
1972,6.18,1.552,6.465,1.461,6.346,1.3980000000000001,6.3389999999999995,1.4160000000000001
1973,6.466,1.469,6.334,1.383,6.351,1.4020000000000001,6.358,1.405
1974,6.4639999999999995,1.5710000000000002,6.2459999999999996,1.4020000000000001,6.365,1.4020000000000001,6.393,1.3920000000000001
1975,5.907,1.556,6.224,1.4500000000000002,6.357,1.3940000000000001,6.425,1.387
1976,6.2139999999999995,1.478,6.2219999999999995,1.4360000000000002,6.3389999999999995,1.4100000000000001,6.446,1.3940000000000001
1977,6.069999999999999,1.616,6.2459999999999996,1.4460000000000002,6.279,1.4120000000000001,6.463,1.391
1978,6.457,1.4220000000000002,6.319,1.461,6.324,1.417,6.494,1.383
1979,6.583,1.5010000000000001,6.3709999999999996,1.475,6.397,1.405,6.519,1.371
1980,6.272,1.605,6.356,1.4540000000000002,6.436,1.395,6.49,1.356
