year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1849,,,,,,,,
1850,10.389999999999999,1.316,,,,,,
1851,10.488999999999999,1.324,10.338,1.187,,,,
1852,10.238999999999999,1.6440000000000001,10.306999999999999,1.29,10.251999999999999,1.184,,
1853,10.328999999999999,1.829,10.225,1.401,10.277999999999999,1.179,,
1854,10.087,1.853,10.203999999999999,1.4160000000000001,10.306999999999999,1.114,,
1855,9.979999999999999,1.425,10.148,1.314,10.321,1.1239999999999999,10.449,0.9430000000000001
1856,10.383,1.306,10.191999999999998,1.151,10.34,1.073,10.511,0.8380000000000001
1857,9.962,1.096,10.328999999999999,0.9710000000000001,10.376,1.016,10.514999999999999,0.8260000000000001
1858,10.546999999999999,1.019,10.411999999999999,0.9410000000000001,10.401,0.938,10.553999999999998,0.817
1859,10.773,1.349,10.447,0.96,10.449,0.8759999999999999,10.575,0.7869999999999999
1860,10.395,1.139,10.654,0.9790000000000001,10.596,0.887,10.597,0.7829999999999999
1861,10.556,1.197,10.686,1.029,10.677999999999999,0.887,10.636,0.776
1862,,,10.728,1.01,10.777999999999999,0.921,10.636,0.77
1863,,,10.888,1.063,10.828999999999999,0.9219999999999999,10.620999999999999,0.775
1864,10.982999999999999,1.5410000000000001,10.985999999999999,1.032,10.844,0.9430000000000001,10.623,0.771
1865,11.193,1.464,11.017999999999999,1.09,10.873,0.929,10.655999999999999,0.7809999999999999
1866,11.047999999999998,0.8069999999999999,11.017,1.052,10.931,0.9450000000000001,10.678999999999998,0.79
1867,11.157,1.292,11.024,0.9910000000000001,10.895999999999999,0.9430000000000001,10.713999999999999,0.7969999999999999
1868,10.703999999999999,1.022,10.95,0.8700000000000001,10.841999999999999,0.893,10.738,0.79
1869,11.017,1.258,10.875,0.9279999999999999,10.797999999999998,0.855,10.792,0.772
1870,10.825,1.161,10.702,0.879,10.716999999999999,0.768,10.793999999999999,0.722
1871,10.671999999999999,1.119,10.636999999999999,0.9710000000000001,10.68,0.7789999999999999,10.802,0.7
1872,10.290999999999999,1.255,10.44,0.9910000000000001,10.649999999999999,0.784,10.809999999999999,0.6950000000000001
1873,10.380999999999998,1.586,10.433,0.9530000000000001,10.646999999999998,0.79,10.764999999999999,0.69
1874,10.03,1.477,10.42,0.9550000000000001,10.739999999999998,0.821,10.741999999999999,0.6539999999999999
1875,10.79,1.251,10.559999999999999,0.921,10.715,0.827,10.681999999999999,0.608
1876,10.608999999999998,1.066,10.765999999999998,0.873,10.672999999999998,0.802,10.659999999999998,0.626
1877,10.988999999999999,0.9359999999999999,10.953999999999999,0.825,10.722999999999999,0.786,10.633,0.642
1878,11.409999999999998,0.8660000000000001,10.904,0.792,10.687999999999999,0.774,10.613,0.634
1879,10.972999999999999,1.065,10.995999999999999,0.771,10.686,0.696,10.577,0.65
1880,10.540999999999999,0.8859999999999999,10.931,0.763,10.646999999999998,0.64,10.536999999999999,0.65
1881,11.066999999999998,0.9510000000000001,10.588,0.741,10.640999999999998,0.602,10.491999999999999,0.638
1882,10.662999999999998,0.901,10.383999999999999,0.606,10.614999999999998,0.605,10.494,0.621
1883,9.693999999999999,0.998,10.404,0.535,10.578999999999999,0.579,10.511,0.597
1884,9.953999999999999,1.135,10.283,0.61,10.414,0.556,10.566999999999998,0.5700000000000001
1885,10.642999999999999,0.9450000000000001,10.253,0.653,10.358999999999998,0.5549999999999999,10.543999999999999,0.554
1886,10.462,1.006,10.373,0.625,10.311,0.5740000000000001,10.562999999999999,0.522
1887,10.511,0.802,10.407,0.65,10.264,0.567,10.533,0.501
1888,10.295,0.982,10.332999999999998,0.729,10.334999999999999,0.5489999999999999,10.537999999999998,0.472
1889,10.125,0.7809999999999999,10.225,0.7110000000000001,10.447,0.548,10.473999999999998,0.45899999999999996
1890,10.27,1.403,10.312,0.6950000000000001,10.440999999999999,0.5549999999999999,10.51,0.45999999999999996
1891,9.924,0.717,10.443,0.62,10.485999999999999,0.526,10.511999999999999,0.45999999999999996
1892,10.947999999999999,0.5860000000000001,10.511,0.554,10.45,0.494,10.482,0.46399999999999997
1893,10.947999999999999,0.623,10.547999999999998,0.605,10.495999999999999,0.484,10.504999999999999,0.45899999999999996
1894,10.466,0.63,10.757,0.6719999999999999,10.533999999999999,0.472,10.524,0.478
1895,10.456999999999999,1.112,10.626,0.6739999999999999,10.661,0.506,10.559999999999999,0.488
1896,10.966,1.017,10.591999999999999,0.669,10.713,0.5900000000000001,10.572,0.477
1897,10.293,0.764,10.690999999999999,0.694,10.7,0.652,10.569999999999999,0.474
1898,10.78,0.8500000000000001,10.84,0.651,10.675999999999998,0.6659999999999999,10.574,0.481
1899,10.959999999999999,0.723,10.725,0.716,10.601999999999999,0.6539999999999999,10.603,0.474
1900,11.203,0.754,10.733999999999998,0.796,10.678999999999998,0.641,10.629999999999999,0.474
1901,10.389,1.4260000000000002,10.661,0.765,10.658,0.569,10.630999999999998,0.491
1902,10.337,1.078,10.555,0.6890000000000001,10.69,0.575,10.640999999999998,0.486
1903,10.417,1.064,10.540999999999999,0.602,10.652,0.5780000000000001,10.635,0.48
1904,10.425999999999998,1.171,10.547999999999998,0.757,10.672999999999998,0.5760000000000001,10.604999999999999,0.477
1905,11.136999999999999,0.825,10.591999999999999,0.8879999999999999,10.598999999999998,0.5780000000000001,10.633999999999999,0.478
1906,10.421999999999999,1.211,10.62,0.9259999999999999,10.549,0.615,10.632,0.479
1907,10.558,0.9039999999999999,10.697,0.8739999999999999,10.581999999999999,0.69,10.652,0.493
1908,10.559,0.9830000000000001,10.578,0.802,10.594999999999999,0.6970000000000001,10.622,0.498
1909,10.809,0.8839999999999999,10.534999999999998,0.694,10.608999999999998,0.65,10.608999999999998,0.502
1910,10.542,0.747,10.629999999999999,0.611,10.588,0.637,10.572999999999999,0.503
1911,10.206999999999999,0.9430000000000001,10.587,0.53,10.606,0.599,10.597,0.524
1912,11.032,0.638,10.530999999999999,0.5,10.613,0.5700000000000001,10.614999999999998,0.571
1913,10.347,0.727,10.610999999999999,0.583,10.591999999999999,0.538,10.616999999999999,0.573
1914,10.526,1.003,10.713999999999999,0.634,10.546,0.509,10.635,0.552
1915,10.944999999999999,0.642,10.601999999999999,0.657,10.546999999999999,0.503,10.652999999999999,0.524
1916,10.722999999999999,0.871,10.61,0.61,10.645,0.522,10.655999999999999,0.506
1917,10.469,0.69,10.613999999999999,0.589,10.648,0.523,10.700999999999999,0.48
