year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,15.986999999999998,1.216,,,,,,
1876,16.395999999999997,1.323,16.601,1.088,,,,
1877,16.846999999999998,1.2149999999999999,16.718999999999998,1.069,,,,
1878,17.474,1.126,16.807,1.076,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,,,,,,,,
1883,,,,,,,,
1884,,,,,,,,
1885,,,,,,,,
1886,,,,,,,,
1887,,,,,,,,
1888,,,,,,,,
1889,,,,,,,,
1890,,,,,,,,
1891,,,,,,,,
1892,,,,,,,,
1893,16.496,1.18,,,,,,
1894,16.660999999999998,1.168,16.622,0.993,,,,
1895,16.616999999999997,1.175,16.673,0.973,16.703999999999997,0.962,,
1896,16.761,1.174,16.794999999999998,0.991,16.808,0.958,,
1897,16.831,1.1179999999999999,16.851999999999997,0.998,16.852999999999998,0.957,16.718999999999998,0.9349999999999999
1898,17.107,1.23,16.993,0.994,16.86,0.953,16.724999999999998,0.9369999999999999
1899,16.944,1.117,17.052999999999997,1.017,16.878999999999998,0.946,16.741,0.9319999999999999
1900,17.320999999999998,1.181,17.035999999999998,1.029,16.866,0.949,16.718999999999998,0.9219999999999999
1901,17.064,1.278,16.944999999999997,1.032,16.889,0.972,16.724999999999998,0.919
1902,16.747,1.175,16.887999999999998,1.061,16.881999999999998,0.972,16.733999999999998,0.9179999999999999
1903,16.65,1.23,16.747,1.068,16.817999999999998,0.989,16.74,0.9249999999999999
