year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,20.881,1.19,,,,,,
1876,21.538999999999998,1.174,21.701999999999998,0.903,,,,
1877,22.072,1.147,21.822,0.886,,,,
1878,22.61,0.934,21.957,0.9510000000000001,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,,,,,,,,
1883,,,,,,,,
1884,,,,,,,,
1885,,,,,,,,
1886,,,,,,,,
1887,,,,,,,,
1888,,,,,,,,
1889,,,,,,,,
1890,,,,,,,,
1891,,,,,,,,
1892,,,,,,,,
1893,21.637,1.0010000000000001,,,,,,
1894,21.807,0.998,21.791,0.8580000000000001,,,,
1895,21.809,1.053,21.844,0.839,21.855,0.823,,
1896,21.983999999999998,1.062,21.967,0.895,21.962,0.805,,
1897,21.982,0.982,22.029,0.89,22.006,0.786,21.865,0.764
1898,22.255,1.1720000000000002,22.153,0.845,22.022,0.776,21.875999999999998,0.765
1899,22.116,0.92,22.183,0.8260000000000001,22.047,0.763,21.892,0.757
1900,22.429,0.9590000000000001,22.172,0.827,22.028,0.769,21.874,0.748
1901,22.134999999999998,1.119,22.115,0.887,22.047,0.801,21.878999999999998,0.742
1902,21.926,1.0270000000000001,22.031,0.918,22.031,0.805,21.887999999999998,0.7410000000000001
1903,21.97,1.142,21.913,0.9570000000000001,21.977999999999998,0.8420000000000001,21.884999999999998,0.751
1904,21.692999999999998,1.03,21.910999999999998,0.96,21.948,0.853,21.881999999999998,0.736
