year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1856,,,,,,,,
1857,,,,,,,,
1858,18.802999999999997,1.417,,,,,,
1859,19.232,1.5270000000000001,18.895,1.085,,,,
1860,19.205,1.3130000000000002,19.083,1.119,,,,
1861,18.939,1.315,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,19.032999999999998,1.337,,,,,,
1880,18.723,1.314,19.147,0.985,,,,
1881,19.337,1.333,19.026999999999997,0.982,18.971999999999998,0.912,,
1882,19.052,1.429,18.965999999999998,1.034,18.959999999999997,0.9259999999999999,,
1883,18.991999999999997,1.403,18.945999999999998,1.0310000000000001,18.898999999999997,0.9550000000000001,18.834,0.867
1884,18.724999999999998,1.488,18.823999999999998,1.02,18.822,0.94,18.840999999999998,0.865
1885,18.625999999999998,1.355,18.712999999999997,1.0070000000000001,18.846,0.907,18.837999999999997,0.843
1886,18.724999999999998,1.416,18.689999999999998,1.046,18.817999999999998,0.894,18.848999999999997,0.8240000000000001
1887,18.497,1.502,18.74,1.021,18.764999999999997,0.851,18.866,0.8200000000000001
1888,18.875999999999998,1.3319999999999999,18.762999999999998,1.014,18.755,0.815,18.874,0.81
1889,18.974999999999998,1.3010000000000002,18.721999999999998,0.892,18.723,0.833,18.828999999999997,0.8320000000000001
1890,18.741,1.199,18.811999999999998,0.8280000000000001,18.717,0.825,18.851999999999997,0.8220000000000001
1891,18.522,1.208,18.767,0.855,18.726,0.787,18.869,0.823
1892,18.947,1.1760000000000002,18.712,0.86,18.772,0.778,18.863999999999997,0.815
1893,18.651,1.3679999999999999,18.691,0.925,18.848,0.789,18.858999999999998,0.808
