year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1833,,,,,,,,
1834,6.518,1.865,,,,,,
1835,6.471,1.567,,,,,,
1836,5.332,1.1159999999999999,,,,,,
1837,5.179,1.2329999999999999,,,,,,
1838,,,,,,,,
1839,5.176,1.391,,,,,,
1840,5.456,,,,,,,
1841,4.771,0.764,5.208,,,,,
1842,5.411,1.5999999999999999,5.247,,,,,
1843,5.224,,4.9830000000000005,,5.109,,,
1844,5.372,,5.291,,5.23,,,
1845,4.135,,5.191,,5.148,,,
1846,6.312,1.357,5.231,,5.2620000000000005,,,
1847,4.912,1.18,5.271,,5.271,,,
1848,5.425,1.954,5.4,1.8079999999999998,5.368,,5.261,
1849,5.569,2.2279999999999998,5.243,1.718,5.298,,5.282,
1850,4.781000000000001,1.6589999999999998,5.367,1.7979999999999998,5.328,1.738,5.315,
1851,5.529,1.5999999999999999,5.48,1.771,5.333,1.613,5.3100000000000005,
1852,5.532,2.105,5.375,1.668,5.272,1.774,5.332,
1853,5.991,2.146,5.298,1.769,5.414,1.896,5.391,
1854,5.041,2.266,5.283,1.843,5.333,1.6549999999999998,5.416,
1855,4.396,1.627,5.251,1.8099999999999998,5.482,1.6849999999999998,5.402,1.74
1856,5.455,1.8419999999999999,5.17,1.817,5.359,1.605,5.476,1.539
1857,5.371,2.1919999999999997,5.423,1.7489999999999999,5.394,1.625,5.473,1.569
1858,5.587,2.1959999999999997,5.581,1.71,5.415,1.5419999999999998,5.537,1.5619999999999998
1859,6.306,2.116,5.498,1.6689999999999998,5.534,1.509,5.579,1.4209999999999998
1860,5.184,1.1629999999999998,5.67,1.66,5.476,1.508,5.632,1.4129999999999998
1861,5.04,1.506,5.784,1.512,5.62,1.595,5.581,1.4069999999999998
1862,6.231,2.074,5.5920000000000005,1.4929999999999999,5.674,1.636,5.558,1.442
1863,6.1610000000000005,2.1270000000000002,5.536,1.68,5.659,1.579,5.587,1.4589999999999999
1864,5.343,2.299,5.795,1.7759999999999998,5.824,1.6509999999999998,5.65,1.4689999999999999
1865,4.905,1.9269999999999998,5.7540000000000004,1.885,5.783,1.6219999999999999,5.676,1.478
1866,6.337,1.547,5.781,1.809,5.804,1.688,5.704,1.51
1867,6.023,2.256,5.993,1.678,5.723,1.718,5.742,1.507
1868,6.297,1.573,6.082,1.6179999999999999,5.759,1.692,5.729,1.45
1869,6.402,1.688,5.756,1.6609999999999998,5.767,1.5979999999999999,5.755,1.4209999999999998
1870,5.35,1.5479999999999998,5.711,1.5779999999999998,5.877,1.4969999999999999,5.657,1.329
1871,4.708,1.768,5.707,1.5859999999999999,5.789,1.4409999999999998,5.71,1.319
1872,5.795,1.9689999999999999,5.641,1.488,5.8100000000000005,1.4009999999999998,5.677,1.266
1873,6.277,1.902,5.642,1.448,5.798,1.375,5.646,1.206
1874,6.072,1.283,5.788,1.4249999999999998,5.6850000000000005,1.2759999999999998,5.643,1.156
1875,5.354,1.714,5.854,1.397,5.532,1.158,5.693,1.091
1876,5.443,1.436,5.806,1.2189999999999999,5.617,1.091,5.641,1.041
1877,6.121,1.5559999999999998,5.554,1.123,5.632,0.983,5.603,0.984
1878,6.039,0.659,5.476,0.855,5.533,0.884,5.541,0.91
1879,4.811,0.93,5.397,0.723,5.519,0.862,5.431,0.858
1880,4.968,0.587,5.341,0.603,5.51,0.807,5.417,0.8200000000000001
1881,5.046,0.766,5.212,0.636,5.494,0.728,5.42,0.781
1882,5.841,0.916,5.479,0.6880000000000001,5.397,0.683,5.436,0.728
