year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1833,,,,,,,,
1834,-2.577,2.148,,,,,,
1835,-2.677,2.027,,,,,,
1836,-4.132,1.879,,,,,,
1837,-3.927,1.9140000000000001,,,,,,
1838,,,,,,,,
1839,-4.5040000000000004,1.953,,,,,,
1840,-3.951,,,,,,,
1841,-4.781000000000001,1.8,-4.319,,,,,
1842,-3.918,2.039,-4.187,,,,,
1843,-4.443,,-4.336,,-4.273,,,
1844,-3.843,,-4.087,,-4.125,,,
1845,-4.695,,-4.119,,-4.163,,,
1846,-3.5340000000000003,1.958,-3.996,,-4.074,,,
1847,-4.079000000000001,1.941,-4.021,,-4.056,,,
1848,-3.827,2.1879999999999997,-3.9330000000000003,1.79,-3.992,,-4.173,
1849,-3.9720000000000004,2.258,-3.999,1.75,-4.014,,-4.122,
1850,-4.255,2.058,-3.9800000000000004,1.768,-4.026,1.596,-4.089,
1851,-3.862,2.084,-3.936,1.731,-4.027,1.5470000000000002,-4.058,
1852,-3.9850000000000003,2.263,-4.025,1.6760000000000002,-4.148,1.618,-4.041,
1853,-3.608,2.1420000000000003,-4.104,1.7550000000000001,-4.074,1.6480000000000001,-3.997,
1854,-4.417,2.4160000000000004,-4.205,1.78,-4.119,1.4820000000000002,-3.95,
1855,-4.649,2.091,-4.276,1.708,-4.015000000000001,1.4820000000000002,-3.954,1.469
1856,-4.367,2.085,-4.338,1.691,-4.041,1.427,-3.8880000000000003,1.356
1857,-4.341,2.068,-4.106,1.595,-4.026,1.419,-3.9010000000000002,1.36
1858,-3.915,2.124,-3.934,1.56,-4.002,1.37,-3.854,1.358
1859,-3.257,2.164,-3.87,1.561,-3.8850000000000002,1.338,-3.825,1.25
1860,-3.79,1.903,-3.694,1.575,-3.8810000000000002,1.343,-3.7960000000000003,1.242
1861,-4.049,1.965,-3.536,1.5350000000000001,-3.749,1.3940000000000001,-3.806,1.241
1862,-3.458,2.099,-3.649,1.53,-3.6550000000000002,1.4460000000000002,-3.819,1.264
1863,-3.124,2.29,-3.6950000000000003,1.6360000000000001,-3.633,1.4540000000000002,-3.8150000000000004,1.28
1864,-3.8230000000000004,2.278,-3.528,1.712,-3.5300000000000002,1.52,-3.7880000000000003,1.2970000000000002
1865,-4.022,2.184,-3.5340000000000003,1.804,-3.576,1.513,-3.7710000000000004,1.295
1866,-3.212,2.045,-3.564,1.786,-3.572,1.561,-3.749,1.308
1867,-3.488,2.3200000000000003,-3.4730000000000003,1.739,-3.612,1.59,-3.7310000000000003,1.304
1868,-3.273,2.0869999999999997,-3.448,1.696,-3.628,1.573,-3.7510000000000003,1.2770000000000001
1869,-3.371,2.085,-3.621,1.705,-3.6910000000000003,1.5230000000000001,-3.7150000000000003,1.276
1870,-3.895,1.979,-3.686,1.6500000000000001,-3.66,1.427,-3.7750000000000004,1.234
1871,-4.079000000000001,2.108,-3.786,1.619,-3.75,1.373,-3.7750000000000004,1.227
1872,-3.8150000000000004,2.117,-3.873,1.536,-3.8070000000000004,1.314,-3.811,1.209
1873,-3.769,2.056,-3.934,1.468,-3.869,1.28,-3.838,1.1720000000000002
1874,-3.809,1.804,-3.943,1.437,-3.9010000000000002,1.237,-3.849,1.149
1875,-4.198,1.929,-4.043,1.427,-3.974,1.195,-3.846,1.109
1876,-4.127,1.7770000000000001,-3.9800000000000004,1.403,-3.978,1.142,-3.903,1.088
1877,-4.313000000000001,1.723,-4.045,1.3290000000000002,-4.009,1.109,-3.926,1.0630000000000002
1878,-3.451,1.592,-3.991,1.209,-4.049,1.08,-3.9610000000000003,1.02
1879,-4.1370000000000005,1.597,-4.162,1.166,-4.007,1.081,-4.05,0.9890000000000001
1880,-3.927,1.581,-3.943,1.12,-4.031000000000001,1.0590000000000002,-4.034,0.98
1881,-4.9830000000000005,1.477,-4.085,1.12,-4.056,1.0070000000000001,-4.0120000000000005,0.9620000000000001
1882,-3.218,1.4780000000000002,-4.007,1.155,-4.046,1.0030000000000001,-4.017,0.9430000000000001
1883,-4.16,1.794,-4.041,1.186,-4.0520000000000005,0.974,-4.087,0.933
1884,-3.749,1.601,-3.9930000000000003,1.215,-4.199,0.97,-4.114,0.932
1885,-4.096,1.408,-4.099,1.203,-4.095000000000001,1.002,-4.1080000000000005,0.907
1886,-4.744,1.397,-4.281000000000001,1.081,-4.046,1.026,-4.107,0.8780000000000001
1887,-3.7470000000000003,1.463,-4.296,1.066,-4.024,1.0210000000000001,-4.075,0.887
1888,-5.071,1.399,-4.126,1.0990000000000002,-4.1240000000000006,0.996,-4.037,0.9000000000000001
1889,-3.822,1.587,-3.987,1.1070000000000002,-4.220000000000001,0.9660000000000001,-4.046,0.923
1890,-3.2470000000000003,1.586,-4.114,1.094,-4.184,0.9390000000000001,-4.033,0.93
1891,-4.049,1.3330000000000002,-4.1080000000000005,1.17,-4.158,0.9620000000000001,-4.013,0.9380000000000001
1892,-4.383,1.358,-4.045,1.105,-4.104,0.9620000000000001,-3.979,0.9540000000000001
1893,-5.038,1.428,-4.289,1.0230000000000001,-4.022,1.0,-4.038,0.9550000000000001
1894,-3.5060000000000002,1.28,-4.172000000000001,1.046,-3.8920000000000003,1.042,-4.026,0.937
1895,-4.4670000000000005,1.1800000000000002,-4.073,1.094,-3.971,0.992,-4.009,0.9430000000000001
1896,-3.467,1.3370000000000002,-3.736,1.088,-3.9810000000000003,0.974,-3.951,0.9560000000000001
1897,-3.8880000000000003,1.373,-3.817,1.137,-3.935,1.002,-3.943,0.9520000000000001
1898,-3.3520000000000003,1.3900000000000001,-3.7550000000000003,1.106,-3.952,1.024,-3.915,0.97
1899,-3.912,1.425,-3.749,1.084,-3.8320000000000003,1.0250000000000001,-3.8400000000000003,0.9710000000000001
1900,-4.159,1.1960000000000002,-3.874,1.1,-3.834,1.056,-3.8880000000000003,0.9590000000000001
1901,-3.435,1.213,-3.9530000000000003,1.085,-3.7430000000000003,1.044,-3.8640000000000003,0.9630000000000001
1902,-4.511,1.464,-3.928,1.0430000000000001,-3.782,1.034,-3.841,0.97
1903,-3.749,1.282,-3.766,1.0910000000000002,-3.809,1.026,-3.821,0.9770000000000001
1904,-3.787,1.211,-3.819,1.114,-3.7880000000000003,0.9890000000000001,-3.7760000000000002,0.9930000000000001
1905,-3.3480000000000003,1.234,-3.6660000000000004,1.078,-3.805,1.004,-3.7510000000000003,1.002
1906,-3.7,1.324,-3.645,1.072,-3.746,1.032,-3.774,0.994
