year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1883,,,,,,,,
1884,5.516,1.286,,,,,,
1885,5.598,1.306,5.682,0.982,,,,
1886,5.65,1.274,5.602,0.97,,,,
1887,5.686,1.235,,,,,,
1888,,,,,,,,
1889,,,,,,,,
1890,,,,,,,,
1891,,,,,,,,
1892,,,,,,,,
1893,,,,,,,,
1894,5.975,1.275,,,,,,
1895,5.793,1.222,5.845,0.9390000000000001,,,,
1896,5.833,1.198,5.9190000000000005,0.956,5.916,0.831,,
1897,5.945,1.186,5.928,0.9299999999999999,5.934,0.8260000000000001,,
1898,6.051,1.223,6.01,0.9159999999999999,5.951,0.8300000000000001,,
1899,6.015,1.191,6.042,0.911,5.954,0.8260000000000001,,
1900,6.207,1.176,6.041,0.9159999999999999,5.929,0.8180000000000001,5.882,0.755
1901,5.991,1.166,5.987,0.913,5.946,0.8240000000000001,5.885,0.752
1902,5.9399999999999995,1.2,5.942,0.913,5.962,0.835,5.9,0.751
1903,5.781,1.219,5.87,0.923,5.9190000000000005,0.8380000000000001,5.916,0.748
1904,5.792,1.188,5.874,0.9410000000000001,5.908,0.831,5.933,0.74
1905,,,,,5.89,0.827,5.9559999999999995,0.737
1906,,,,,5.854,0.829,5.982,0.736
1907,,,,,5.865,0.8300000000000001,5.987,0.74
1908,5.855,1.201,5.86,0.9259999999999999,5.881,0.821,5.974,0.74
1909,5.687,1.193,5.836,0.9159999999999999,5.913,0.813,5.964,0.736
1910,5.946,1.174,5.893,0.908,5.983,0.81,5.97,0.737
1911,5.892,1.187,5.927,0.897,6.019,0.8049999999999999,5.96,0.737
1912,6.085,1.17,6.0600000000000005,0.891,6.013,0.8069999999999999,5.969,0.735
1913,6.025,1.147,6.158,0.891,6.029,0.8,5.99,0.727
1914,6.352,1.147,6.191,0.885,6.021,0.8009999999999999,6.001,0.726
1915,6.435,1.153,6.152,0.888,6.051,0.8049999999999999,6.021,0.727
1916,6.0600000000000005,1.146,6.107,0.892,6.067,0.802,6.034,0.728
1917,5.886,1.174,6.035,0.904,6.073,0.798,6.048,0.72
1918,5.803,1.149,5.954,0.895,6.099,0.79,6.075,0.7130000000000001
1919,5.99,1.204,5.961,0.898,6.089,0.792,6.107,0.7110000000000001
1920,6.033,1.13,6.015,0.881,6.059,0.7969999999999999,6.115,0.714
1921,6.092,1.145,6.089,0.872,6.049,0.804,6.141,0.7150000000000001
1922,6.16,1.14,6.118,0.873,6.082,0.7889999999999999,6.167,0.7090000000000001
1923,6.172,1.131,6.132,0.889,6.121,0.784,6.176,0.7150000000000001
1924,6.135,1.179,6.195,0.879,6.193,0.775,6.17,0.712
1925,6.1,1.185,6.17,0.88,6.178,0.776,6.168,0.7130000000000001
1926,6.406,1.1260000000000001,6.234,0.876,6.216,0.779,6.166,0.7130000000000001
1927,6.034,1.121,6.257,0.865,6.26,0.775,6.171,0.708
1928,6.496,1.131,6.2780000000000005,0.863,6.254,0.7909999999999999,6.198,0.7130000000000001
1929,6.248,1.136,6.27,0.867,6.251,0.783,6.24,0.708
1930,6.207,1.152,6.35,0.875,6.277,0.781,6.259,0.702
1931,6.364,1.135,6.267,0.888,6.282,0.776,6.274,0.704
1932,6.436,1.161,6.267,0.888,6.259,0.782,6.28,0.7030000000000001
1933,6.079,1.177,6.3,0.882,6.276,0.794,6.304,0.7010000000000001
1934,6.247,1.133,6.232,0.886,6.286,0.7949999999999999,6.324,0.702
1935,6.376,1.132,6.177,0.903,6.339,0.784,6.3469999999999995,0.6910000000000001
1936,6.021,1.142,6.286,0.88,6.331,0.78,6.339,0.694
1937,6.161,1.241,6.371,0.881,6.301,0.781,6.338,0.6970000000000001
1938,6.625,1.127,6.339,0.866,6.354,0.762,6.3469999999999995,0.7
1939,6.671,1.169,6.425,0.865,6.396,0.769,6.344,0.6930000000000001
1940,6.217,1.341,6.474,0.862,6.417,0.745,6.366,0.696
1941,6.453,1.104,6.476,0.868,6.396,0.756,6.37,0.698
1942,6.402,0.911,6.452,0.877,6.417,0.759,6.344,0.694
1943,6.637,0.9890000000000001,6.46,0.7969999999999999,6.417,0.768,6.3629999999999995,0.69
1944,6.552,0.88,6.464,0.758,6.401,0.749,6.382,0.679
1945,6.256,0.823,6.386,0.792,6.393,0.773,6.408,0.671
1946,6.4719999999999995,0.835,6.372,0.728,6.409,0.739,6.456,0.661
1947,6.011,1.056,6.338,0.745,6.3870000000000005,0.716,6.508,0.655
1948,6.57,0.743,6.358,0.781,6.372,0.7130000000000001,6.518,0.639
1949,6.382,0.823,6.302,0.732,6.369,0.668,6.531,0.623
1950,6.356,0.996,6.351,0.6890000000000001,6.399,0.6759999999999999,6.521,0.614
1951,6.193,0.752,6.354,0.7010000000000001,6.517,0.633,6.533,0.592
1952,6.255,0.79,6.448,0.65,6.599,0.615,6.547,0.582
1953,6.584,0.769,6.553,0.618,6.619,0.589,6.566,0.5700000000000001
1954,6.855,0.725,6.786,0.622,6.66,0.581,6.545,0.5660000000000001
1955,6.878,0.629,6.921,0.618,6.649,0.583,6.551,0.5680000000000001
1956,7.359,0.7070000000000001,6.884,0.634,6.657,0.596,6.562,0.5680000000000001
1957,6.928,0.629,6.827,0.624,6.708,0.603,6.572,0.562
1958,6.4,0.749,6.763,0.648,6.76,0.618,6.577,0.5680000000000001
1959,6.57,0.764,6.564,0.663,6.721,0.624,6.586,0.5609999999999999
1960,6.559,0.725,6.587,0.672,6.703,0.633,6.594,0.5680000000000001
1961,6.365,0.671,6.627,0.681,6.608,0.645,6.634,0.571
1962,7.04,0.6930000000000001,6.564,0.666,6.544,0.643,6.693,0.575
1963,6.6,0.782,6.55,0.66,6.535,0.632,6.703,0.5780000000000001
1964,6.254,0.7190000000000001,6.589,0.651,6.5120000000000005,0.612,6.734,0.577
1965,6.489,0.702,6.433,0.643,6.539,0.609,6.765,0.5780000000000001
1966,6.561,0.712,6.482,0.614,6.611,0.598,6.761,0.582
1967,6.263,0.624,6.442,0.612,6.678,0.603,6.728,0.584
1968,6.841,0.6779999999999999,6.568,0.624,6.647,0.588,6.723,0.582
1969,6.058,0.753,6.757,0.598,6.746,0.575,6.747,0.5780000000000001
1970,7.118,0.692,6.86,0.592,6.827,0.577,6.786,0.56
1971,7.506,0.6990000000000001,6.881,0.59,6.914,0.5660000000000001,6.804,0.553
1972,6.779,0.622,7.131,0.569,6.912,0.5720000000000001,6.841,0.545
1973,6.942,0.651,7.216,0.565,6.911,0.581,6.802,0.532
1974,7.308,0.647,7.026,0.581,6.983,0.577,6.824,0.511
1975,7.542,0.592,6.999,0.586,7.033,0.539,6.862,0.502
1976,6.556,0.594,7.003,0.584,6.996,0.53,6.907,0.497
1977,6.644,0.712,6.945,0.557,7.004,0.507,6.932,0.5
1978,6.962,0.638,6.812,0.529,6.956,0.502,6.965,0.499
1979,7.021,0.594,6.976,0.532,6.902,0.489,7.013,0.491
1980,6.875,0.659,6.995,0.534,6.896,0.505,7.055,0.489
1981,7.379,0.634,6.85,0.569,6.9,0.523,7.068,0.496
1982,6.739,0.605,6.844,0.569,6.951,0.533,7.047,0.502
1983,6.235,0.7170000000000001,6.946,0.563,7.019,0.539,7.019,0.501
1984,6.995,0.6,6.873,0.5740000000000001,7.042,0.54,7.0,0.503
1985,7.384,0.645,6.93,0.587,7.076,0.518,6.963,0.514
1986,7.011,0.622,7.117,0.5589999999999999,7.141,0.535,6.973,0.526
1987,7.026,0.581,7.252,0.553,7.089,0.56,6.994,0.532
1988,7.172,0.631,7.333,0.5640000000000001,7.082,0.5660000000000001,7.015,0.539
1989,7.667,0.605,7.3100000000000005,0.59,7.098,0.56,7.047,0.542
1990,7.791,0.644,7.188,0.604,7.029,0.565,7.072,0.544
1991,6.895,0.671,7.088,0.584,7.045,0.575,7.093,0.55
1992,6.414,0.657,6.907,0.581,7.036,0.5720000000000001,7.109,0.5609999999999999
1993,6.675,0.672,6.756,0.603,7.011,0.569,7.159,0.563
1994,6.761,0.644,6.804,0.603,7.052,0.5660000000000001,7.184,0.55
1995,7.034,0.634,6.888,0.586,7.068,0.581,7.144,0.542
1996,7.138,0.594,7.064,0.573,7.046,0.5720000000000001,7.166,0.541
1997,6.833,0.552,7.275,0.567,7.128,0.575,7.16,0.538
1998,7.556,0.5609999999999999,7.371,0.547,7.237,0.575,7.162,0.531
1999,7.814,0.604,7.34,0.56,7.27,0.558,7.144,0.528
2000,7.514,0.5589999999999999,7.559,0.571,7.26,0.543,7.108,0.532
2001,6.984,0.643,7.434,0.579,7.286,0.557,7.106,0.541
2002,7.926,0.655,7.248,0.581,7.283,0.563,7.127,0.551
2003,6.931,0.7210000000000001,7.162,0.617,7.314,0.575,7.163,0.552
2004,6.884,0.683,7.219,0.649,7.237,0.587,,
2005,7.087,0.67,7.036,0.673,7.148,0.609,,
