year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1853,19.387,1.1520000000000001,,,,,,
1854,19.156000000000002,1.611,19.221,1.113,,,,
1855,19.194000000000003,1.299,19.188000000000002,1.0670000000000002,,,,
1856,19.286,1.12,19.144000000000002,1.033,19.27,0.8180000000000001,,
1857,,,19.231,0.833,19.259,0.778,,
1858,19.164,0.9560000000000001,19.281000000000002,0.746,19.293000000000003,0.736,,
1859,19.594,1.177,19.264000000000003,0.746,19.396,0.696,,
1860,19.442,0.878,19.376,0.78,19.457,0.724,,
1861,19.204,0.907,19.575000000000003,0.809,,,19.489,0.651
1862,,,19.623,0.806,19.614,0.8210000000000001,19.475,0.631
1863,,,,,19.697000000000003,0.851,19.497,0.67
1864,19.835,1.288,,,19.740000000000002,0.865,19.491,0.668
1865,,,,,19.71,0.852,19.503,0.6859999999999999
1866,,,19.92,1.017,19.709,0.849,19.507,0.714
1867,20.198,1.611,19.906000000000002,0.958,19.69,0.8180000000000001,19.532,0.73
1868,19.788,0.915,19.699,0.8140000000000001,19.701,0.841,19.568,0.7310000000000001
1869,19.763,1.062,19.560000000000002,0.758,19.585,0.812,19.628,0.745
1870,18.880000000000003,1.0939999999999999,19.441000000000003,0.73,19.549,0.751,19.624000000000002,0.732
1871,19.169,1.0790000000000002,19.361,0.797,19.499000000000002,0.772,19.647000000000002,0.766
1872,19.603,1.426,19.199,0.8240000000000001,19.450000000000003,0.744,19.672,0.773
1873,19.387,1.201,19.330000000000002,0.81,19.438000000000002,0.741,19.66,0.746
1874,18.955000000000002,1.021,19.384,0.921,19.517000000000003,0.773,19.642000000000003,0.742
1875,19.533,1.191,19.366,0.807,19.538,0.762,19.613,0.73
1876,19.443,1.0350000000000001,19.587,0.844,19.584,0.8250000000000001,19.587,0.7330000000000001
1877,19.514000000000003,1.233,19.774,0.861,19.653000000000002,0.847,19.558,0.7330000000000001
