year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1853,,,,,,,,
1854,20.092,1.0699999999999998,,,,,,
1855,19.91,0.928,19.999,0.719,,,,
1856,19.782,0.883,19.922,0.714,20.144,0.595,,
1857,19.72,0.726,19.986,0.567,20.159,0.5720000000000001,,
1858,20.102999999999998,0.751,20.073999999999998,0.502,20.194,0.515,,
1859,20.413,1.0430000000000001,20.201,0.51,20.246,0.486,20.323999999999998,0.451
1860,20.351,0.497,20.363999999999997,0.54,20.261,0.455,20.334999999999997,0.442
1861,20.418,0.789,20.555999999999997,0.611,20.394,0.509,20.358,0.429
1862,,,20.509999999999998,0.538,20.486,0.5469999999999999,20.355999999999998,0.429
1863,,,20.581,0.677,20.519,0.5489999999999999,20.349,0.441
1864,20.186999999999998,0.947,20.698,0.6920000000000001,20.590999999999998,0.622,20.339,0.459
1865,20.705,0.987,20.666,0.732,20.573,0.606,20.342,0.459
1866,21.000999999999998,0.918,20.544999999999998,0.6,20.570999999999998,0.637,20.351,0.489
1867,20.374,1.052,20.653,0.654,20.552999999999997,0.641,20.378999999999998,0.501
1868,20.458,0.614,20.596999999999998,0.629,20.505,0.599,20.387,0.493
1869,20.727999999999998,0.948,20.468,0.642,20.432,0.55,20.438,0.512
1870,20.426,0.706,20.419999999999998,0.5840000000000001,20.423,0.528,20.432,0.484
1871,20.352999999999998,0.799,20.334999999999997,0.5840000000000001,20.308,0.493,20.418,0.48
1872,20.134999999999998,0.826,20.195,0.504,20.272,0.488,20.427999999999997,0.468
1873,20.032,1.075,20.131999999999998,0.524,20.256,0.489,20.401,0.448
1874,20.026999999999997,0.662,20.072,0.606,20.284,0.493,20.372999999999998,0.447
1875,20.113,1.0310000000000001,20.058,0.579,20.29,0.509,20.343999999999998,0.452
1876,20.049999999999997,0.836,20.209,0.554,20.265,0.499,20.293,0.435
1877,20.069,0.698,20.332,0.644,20.304,0.497,20.275,0.42
1878,20.787,0.697,20.391,0.611,20.297,0.49,20.261,0.404
1879,20.639,0.991,20.462,0.526,20.314,0.468,20.25,0.399
1880,20.410999999999998,0.624,20.532999999999998,0.463,20.265,0.487,20.264,0.401
1881,20.403,0.494,20.407,0.452,20.279,0.449,20.253,0.403
1882,20.425,0.778,20.25,0.462,20.278,0.401,20.258,0.399
1883,20.154999999999998,0.536,20.13,0.443,20.266,0.391,20.233,0.389
1884,19.857,0.659,20.082,0.466,20.215,0.386,20.221999999999998,0.379
1885,19.808,0.5820000000000001,20.011,0.383,20.238999999999997,0.40700000000000003,20.223,0.361
1886,20.162,0.615,20.072,0.384,20.24,0.425,20.238999999999997,0.32
1887,20.073,0.644,20.226,0.46,20.212,0.426,20.255,0.321
1888,20.459,0.487,20.349,0.527,20.169,0.433,20.269,0.332
1889,20.628,0.838,20.378,0.529,20.13,0.428,20.226,0.328
1890,20.425,0.707,20.404999999999998,0.5489999999999999,20.182,0.437,20.215,0.315
1891,20.305999999999997,0.587,20.227,0.5640000000000001,20.2,0.41000000000000003,20.241999999999997,0.29500000000000004
1892,20.208,0.498,20.105999999999998,0.443,20.232,0.372,20.218,0.28300000000000003
1893,19.566,0.597,20.044999999999998,0.347,20.271,0.361,20.223,0.274
1894,20.022,0.508,20.067999999999998,0.311,20.237,0.326,20.224999999999998,0.27
1895,20.122999999999998,0.40700000000000003,20.122,0.34199999999999997,20.192,0.28800000000000003,20.244999999999997,0.263
1896,20.422,0.376,20.307,0.33399999999999996,20.243,0.26,20.262,0.264
1897,20.477,0.5509999999999999,20.291999999999998,0.345,20.224,0.263,20.269,0.256
1898,20.488,0.373,20.397,0.379,20.276,0.28500000000000003,20.262999999999998,0.248
1899,19.951999999999998,0.524,20.403,0.32,20.32,0.28700000000000003,20.250999999999998,0.239
1900,20.648,0.706,20.332,0.304,20.308,0.302,20.24,0.236
1901,20.448999999999998,0.378,20.322,0.29900000000000004,20.325,0.29400000000000004,20.238,0.243
1902,20.125,0.412,20.308,0.324,20.305999999999997,0.321,20.25,0.249
1903,20.436,0.503,20.197,0.328,20.256,0.316,20.279999999999998,0.248
1904,19.881,0.423,20.253,0.376,20.265,0.29800000000000004,20.308,0.253
1905,20.095,0.442,20.198999999999998,0.422,20.288,0.28500000000000003,20.337999999999997,0.249
1906,20.727,0.631,20.147,0.375,20.233999999999998,0.303,20.355,0.245
1907,19.855,0.508,20.252,0.357,20.276999999999997,0.29800000000000004,20.346,0.236
1908,20.177,0.31,20.317,0.33699999999999997,20.284,0.279,20.319,0.223
1909,20.404999999999998,0.325,20.212999999999997,0.29600000000000004,20.296,0.29200000000000004,20.314,0.229
1910,20.422,0.428,20.39,0.29500000000000004,20.366999999999997,0.28,20.332,0.227
1911,20.208,0.456,20.403,0.331,20.384999999999998,0.281,20.325,0.235
1912,20.74,0.434,20.401,0.33999999999999997,20.387,0.28600000000000003,20.340999999999998,0.23399999999999999
1913,20.238999999999997,0.521,20.494,0.365,20.381999999999998,0.279,20.366,0.23
1914,20.395,0.394,20.523,0.359,20.363999999999997,0.33499999999999996,20.394,0.236
